model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,999,baseline,-0.0272153802216053,0.03244893625378609,-0.1350908613204956,-0.08014001846313476,-0.1208258867263794,-0.02292346954345703,0.0,0.7575757575757576,-0.0272153802216053,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,train,999,baseline,-0.015670685097575188,0.054183416068553925,-0.2351312255859375,-0.06792559400200844,-0.1954566389322281,-0.00039299711352214217,-0.000185192990466021,1.0,-0.0272153802216053,0.011762280948460102,0.00021758775983471423,0.027211565524339676,0.9999629855155945,0.49740952253341675,0.9999939799308777,,,,,,,,,,
unhedged,val,999,baseline,-0.017063209787011147,0.017890455201268196,-0.04997209787368775,-0.044421398639678956,-0.05135977268218994,-0.006807446479797363,-0.0,0.7142857142857143,-0.017063209787011147,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,val,999,baseline,-0.006737563293427229,0.013036664575338364,-0.036207517124712464,-0.028968762047588824,-0.03801720589399338,-0.0003542906779330224,-8.647942013340074e-05,1.0,-0.017063209787011147,0.0105399489402771,0.0002143036836059764,0.026793625205755234,0.9998360276222229,0.4979473054409027,0.9999930262565613,,,,,,,,,,
unhedged,test,999,baseline,-0.014063939452171326,0.022495556622743607,-0.05806003928184509,-0.05445892214775085,-0.05896031856536865,-0.0014249682426452637,-0.0,0.5,-0.014063939452171326,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,test,999,baseline,-0.011688705533742905,0.014990326948463917,-0.04138507353141904,-0.03757492238655687,-0.04233761131763458,-0.0029582627466879785,-9.903045938699514e-05,1.0,-0.014063939452171326,0.002598152030259371,0.00022291892673820257,0.027842259034514427,0.9988510012626648,0.49689310789108276,0.9999780058860779,,,,,,,,,,
vanilla,train,999,vanilla,-0.10830145329236984,0.5046200752258301,-1.2162690305709838,-1.0412266731262207,-1.1791669130325317,-0.11956416070461273,0.696409237384796,0.6060606060606061,-0.0272153802216053,-0.07969247549772263,0.0013935882598161697,0.10000000149011612,0.42875003814697266,1.7554012537002563,2.0,cvar,33.0,20.0,2.0,,,,,,
vanilla,val,999,vanilla,0.12135821580886841,0.479279100894928,-0.8273811161518096,-0.6220604479312897,-0.8787112832069397,0.07197856903076172,0.6416167706251142,0.2857142857142857,-0.017063209787011147,0.13973286747932434,0.00131142302416265,0.10000000149011612,0.4281185567378998,1.7554011344909668,2.0,cvar,7.0,20.0,2.0,,,,,,
vanilla,test,999,vanilla,-0.27469122409820557,0.5137636065483093,-1.1873767518997191,-1.0803454637527465,-1.2141345739364624,-0.19662831723690033,0.29662347659468646,0.625,-0.014063939452171326,-0.25930774211883545,0.0013195215724408627,0.10000000149011612,0.4286895990371704,1.7553430795669556,2.0,cvar,8.0,20.0,2.0,,,,,,
proto_source=zero_k=2_weighted=1_learnw=0,train,999,proto,-0.027721649035811424,0.05480194836854935,-0.17129308342933655,-0.10398436635732651,-0.15431392192840576,-0.027266312390565872,0.04871353432536124,0.696969696969697,-0.0272153802216053,-0.00017606512119527906,0.00033020603586919606,0.034477055072784424,0.061360374093055725,0.36307448148727417,1.214433193206787,cvar,33.0,20.0,2.0,zero,2.0,True,False,0.06624489277601242,0.10455869883298874
proto_source=zero_k=2_weighted=1_learnw=0,val,999,proto,0.004319397266954184,0.04673358052968979,-0.0937175427377224,-0.06918733045458793,-0.09985009580850601,0.0072001125663518906,0.05374367423355578,0.14285714285714285,-0.017063209787011147,0.021705780178308487,0.00032317216391675174,0.03446559980511665,0.061225056648254395,0.36299288272857666,1.2097727060317993,cvar,7.0,20.0,2.0,zero,2.0,True,False,0.06624489277601242,0.10455869883298874
proto_source=zero_k=2_weighted=1_learnw=0,test,999,proto,-0.03317077085375786,0.05185544490814209,-0.12201628260314465,-0.10933802388608456,-0.12518584728240967,-0.015175036154687405,0.018425590218976138,0.5,-0.014063939452171326,-0.01878322847187519,0.0003236013581044972,0.03442493453621864,0.061332155019044876,0.36254554986953735,1.2086633443832397,cvar,8.0,20.0,2.0,zero,2.0,True,False,0.06624489277601242,0.10455869883298874
