model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,321,baseline,-0.037359900772571564,0.04137729853391647,-0.15688308238983154,-0.11647562980651854,-0.1548762321472168,-0.02623438835144043,0.0,0.7575757575757576,-0.037359900772571564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,train,321,baseline,-0.03441750630736351,0.042298100888729095,-0.1728675889968872,-0.09649313986301422,-0.15287919342517853,-0.02712762914597988,0.009901723451912403,0.8787878787878788,-0.037359900772571564,0.003162745386362076,0.00022035308938939124,0.027527809143066406,0.9998930096626282,0.49714091420173645,0.9999939799308777,0.0,0.0,0.0,0.0,,,,,,,,,,
unhedged,val,321,baseline,-0.02278740145266056,0.024022012948989868,-0.06561065435409547,-0.061314857006073,-0.06668460369110107,-0.01381981372833252,-0.0,0.7142857142857143,-0.02278740145266056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,val,321,baseline,-0.023870233446359634,0.020830225199460983,-0.050994999185204504,-0.05076207704842091,-0.051053229719400406,-0.02169513702392578,0.0026781875872984528,0.7142857142857143,-0.02278740145266056,-0.0008632601820863783,0.00021957446006126702,0.02743452973663807,0.999364972114563,0.49691227078437805,0.9999390244483948,0.0,0.0,0.0,0.0,,,,,,,,,,
unhedged,test,321,baseline,-0.028932824730873108,0.023365043103694916,-0.07186613917350769,-0.06627659201622009,-0.07326352596282959,-0.025477826595306396,-0.0004892885684967048,0.875,-0.028932824730873108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,test,321,baseline,-0.030300257727503777,0.023199038580060005,-0.07637269746512175,-0.06849924977868796,-0.0783410593867302,-0.021330240182578564,-0.005813004565425219,1.0,-0.028932824730873108,-0.001150551252067089,0.00021688209380954504,0.0270967036485672,0.9990890026092529,0.4975544810295105,0.9999880194664001,0.0,0.0,0.0,0.0,,,,,,,,,,
vanilla,train,321,vanilla,-0.009121020324528217,0.14844290912151337,-0.336022344827652,-0.31235016584396363,-0.329894483089447,-0.010237781330943108,0.2491244971752166,0.5757575757575758,-0.037359900772571564,0.029670748859643936,0.0014318652683869004,0.10000000149011612,0.47564083337783813,1.7161680459976196,2.0,0.675,0.275,0.4,1.0,cvar,33.0,20.0,2.0,,,,,,
vanilla,val,321,vanilla,-0.027155812829732895,0.1109897792339325,-0.19633566349744797,-0.17220575660467147,-0.2023681402206421,-0.037551943212747574,0.13632738441228856,0.5714285714285714,-0.02278740145266056,-0.003014874178916216,0.0013535380130633712,0.10000000149011612,0.4741431176662445,1.7161219120025635,2.0,0.675,0.275,0.4,1.0,cvar,7.0,20.0,2.0,,,,,,
vanilla,test,321,vanilla,0.005633199587464333,0.10353799164295197,-0.19238233096897603,-0.15746412314474584,-0.20111188292503357,0.028679808601737022,0.13322815038263794,0.375,-0.028932824730873108,0.035989969968795776,0.0014239461161196232,0.10000000149011612,0.47487208247184753,1.7162196636199951,2.0,0.675,0.275,0.4,1.0,cvar,8.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=2_weighted=1_learnw=0,train,321,proto,-0.03650680556893349,0.038783904165029526,-0.15069173872470856,-0.11142375767230987,-0.1497553586959839,-0.0241304449737072,0.001423409773269663,0.9393939393939394,-0.037359900772571564,0.0012927239295095205,0.00043962348718196154,0.043654367327690125,0.0784158706665039,0.44913652539253235,1.4850077629089355,0.0,0.0,0.0,0.0,cvar,33.0,20.0,2.0,spot_delta,2.0,True,False,0.06905551254749298,0.10733908414840698
proto_source=spot_delta_k=2_weighted=1_learnw=0,val,321,proto,-0.022936994209885597,0.020131312310695648,-0.062245222702622414,-0.05661444254219532,-0.06365291774272919,-0.011536180973052979,-0.005581130087375643,1.0,-0.02278740145266056,0.00027305856929160655,0.0004226522578392178,0.04346364736557007,0.07792186737060547,0.4472207725048065,1.4803746938705444,0.0,0.0,0.0,0.0,cvar,7.0,20.0,2.0,spot_delta,2.0,True,False,0.06905551254749298,0.10733908414840698
proto_source=spot_delta_k=2_weighted=1_learnw=0,test,321,proto,-0.025934621691703796,0.019677545875310898,-0.05836779035627842,-0.056280695274472235,-0.058889564126729965,-0.021622157655656338,-0.0008655858458951142,0.875,-0.028932824730873108,0.0034289436880499125,0.0004307414055801928,0.043678730726242065,0.07806193828582764,0.4494263529777527,1.4774448871612549,0.0,0.0,0.0,0.0,cvar,8.0,20.0,2.0,spot_delta,2.0,True,False,0.06905551254749298,0.10733908414840698
