model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,risk_measure,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.01996636390686035,0.027528047561645508,-0.1262304162979126,-0.06376550197601318,-0.1005103588104248,-0.010724067687988281,-0.0,0.6268656716417911,-0.01996636390686035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.020052341744303703,0.025781068950891495,-0.10833046332001686,-0.07010661289095878,-0.09302176535129547,-0.012936631217598915,0.008669275091961005,0.8208955223880597,-0.01996636390686035,0.0001332953106611967,0.00021927221678197384,0.02742925100028515,0.9999189972877502,0.49697262048721313,0.9999939799308777,0.008208955223880597,0.008208955223880597,0.0,0.26865671641791045,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.025966141372919083,0.023092664778232574,-0.07000216603279114,-0.06715818047523499,-0.07071316242218018,-0.02691781520843506,0.0,0.7142857142857143,-0.025966141372919083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.026424456387758255,0.02063865214586258,-0.0685237030684948,-0.05737035498023033,-0.07131204009056091,-0.030639631673693657,-0.0006199489347636718,0.9285714285714286,-0.025966141372919083,-0.0002403383405180648,0.0002179769944632426,0.02722601406276226,0.9999470114707947,0.4972141683101654,0.9999939799308777,0.017857142857142856,0.017857142857142856,0.0,0.42857142857142855,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.01724809780716896,0.02044823206961155,-0.05134747743606567,-0.050012266635894774,-0.0516812801361084,-0.00280916690826416,0.0,0.5333333333333333,-0.01724809780716896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.013530326075851917,0.01852751523256302,-0.050552406460046766,-0.04104941859841347,-0.05292815342545509,-0.010363815352320671,0.009494135156273838,0.7333333333333333,-0.01724809780716896,0.003934494685381651,0.0002167223283322528,0.027084751054644585,0.9999619722366333,0.49729248881340027,0.9999619722366333,0.006666666666666667,0.006666666666666667,0.0,0.2,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.03137662261724472,0.11430572718381882,-0.2798808443546295,-0.2328384354710579,-0.2653540074825287,-0.016861261799931526,0.16453793197870248,0.5970149253731343,-0.01996636390686035,-0.010703317821025848,0.0007069391431286931,0.05000000074505806,0.45342010259628296,0.9469066262245178,1.0,0.875,0.425,0.45,1.0,cvar,-1.0,0.23202316069975498,val_loss,,,,,67.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,0.014137627556920052,0.125388041138649,-0.15914246760308742,-0.1272008281201124,-0.16712787747383118,-0.016114812344312668,0.23293399959802624,0.6428571428571429,-0.025966141372919083,0.040775738656520844,0.0006719686207361519,0.05000000074505806,0.45291951298713684,0.9469070434570312,1.0,0.875,0.425,0.45,1.0,cvar,-1.0,0.23202316069975498,val_loss,,,,,14.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.0660301074385643,0.11755090951919556,-0.31988829612731934,-0.26905221939086915,-0.3325973153114319,-0.07680660486221313,0.06661470308899875,0.5333333333333333,-0.01724809780716896,-0.04809543117880821,0.0006865797913633287,0.05000000074505806,0.45281434059143066,0.9468805193901062,1.0,0.875,0.425,0.45,1.0,cvar,-1.0,0.23202316069975498,val_loss,,,,,15.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,-0.022171348333358765,0.04375112056732178,-0.13813856601715088,-0.10109572485089302,-0.12135960906744003,-0.015779484063386917,0.045417314395308495,0.6865671641791045,-0.01996636390686035,-0.0015086513012647629,0.000696333940140903,0.05000000074505806,0.11907234787940979,0.7420840859413147,1.0,0.4507462686567164,0.0,0.4507462686567164,1.0,cvar,0.0,0.15032076144590975,val_loss,0.05000000074505806,0.7382041811943054,0.45,1.0,67.0,20.0,2.0,spot_delta,10.0,False,False,0.13299277424812317,0.17060406506061554
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,-0.019304577261209488,0.035149313509464264,-0.08790405433624983,-0.06912455167621374,-0.09259893000125885,-0.0073314146138727665,0.0287600296549499,0.6428571428571429,-0.025966141372919083,0.007332379464060068,0.0006708151777274907,0.05000000074505806,0.1070098876953125,0.7419925928115845,1.0,0.45,0.0,0.45,1.0,cvar,0.0,0.15032076144590975,val_loss,0.05000000074505806,0.7382041811943054,0.45,1.0,14.0,20.0,2.0,spot_delta,10.0,False,False,0.13299277424812317,0.17060406506061554
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,-0.020806724205613136,0.028837472200393677,-0.06841110445559025,-0.06341817267239094,-0.06965933740139008,-0.014885342679917812,0.012191155739128576,0.6,-0.01724809780716896,-0.0028668863233178854,0.000691738270688802,0.05000000074505806,0.10733729600906372,0.7419102787971497,1.0,0.45,0.0,0.45,1.0,cvar,0.0,0.15032076144590975,val_loss,0.05000000074505806,0.7382041811943054,0.45,1.0,15.0,20.0,2.0,spot_delta,10.0,False,False,0.13299277424812317,0.17060406506061554
