model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.015112148287395636,0.0004158107617449465,-0.052075660725434625,-0.07147647688786189,0.9345121152586771,0.6635453303654989,0.017842140048742294,0.0,0.0,0.0,0.0,22.333333333333332,0.05664815553619216,0.0,0.0,,True,True,True,0.0004093407963713016,0.0004012665400902442,0.0003711522246400527,0.0003236864383022002,0.005802447597185761,0.004008673131465912,0.003703956802686051,0.0035805354515711374,-0.33857236411263913,-0.12835625409299267,-0.11918795022920747,0.03863785199738068
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.015239001251757145,0.00021801721215411395,-0.05243323594331741,-0.07202416161696117,0.9390962671905697,0.8005236784617106,0.016978968866169453,6.548788474132285e-05,0.0,6.548788474132285e-05,0.0006548788474132285,68.66666666666667,0.056769634925727876,0.00026298487836949375,0.003287310979618672,,True,True,True,0.00028248783200979233,0.0002744135757287349,0.0002442992602785434,0.00019683347394069094,0.005254762868086488,0.003460988402366638,0.003156272073586777,0.0030328507224718637,-0.3431565160445318,-0.13294040602488533,-0.12377210216110013,0.034053700065488024
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.015329577649633089,0.00013128859772298446,-0.054388204216957094,-0.07372700423002243,0.9672560576293385,0.45903430382410687,0.010980515430370966,0.0,0.0,0.0,0.0,5.0,0.056713291307290394,0.0,0.0,,True,True,True,0.00019191143413384813,0.00018383717785279072,0.00015372286240259922,0.00010625707606474674,0.0035519202550252232,0.0017581457893053737,0.0014534294605255127,0.0013300081094105992,-0.3713163064833006,-0.16110019646365414,-0.15193189259986895,0.005893909626719207
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.015330326743423939,6.25826991851414e-05,-0.05366335486372312,-0.07300718128681183,0.9345121152586772,0.7081203659375509,0.012841903294126192,0.0,0.0,0.0,0.0,8.0,0.056825634624434296,4.930966469428008e-05,0.0006574621959237344,,True,True,True,0.0001911623403429985,0.0001830880840619411,0.0001529737686117496,0.00010550798227389711,0.004271743198235825,0.0024779687325159755,0.0021732524037361145,0.002049831052621201,-0.33857236411263925,-0.12835625409299278,-0.11918795022920758,0.03863785199738057
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.015367290005087852,0.000194868389457079,-0.05248811443646748,-0.07259903599818547,0.9345121152586771,0.7887529134750366,0.022997490751246612,0.018664047151277015,0.018664047151277015,0.0,0.28094302554027506,148.0,0.0574700589152053,0.0,0.0,,True,True,True,0.00015419907867908478,0.00014612482239802736,0.00011601050694783586,6.854472060998339e-05,0.004679888486862183,0.002886114021142333,0.002581397692362472,0.0024579763412475586,-0.33857236411263913,-0.12835625409299267,-0.11918795022920747,0.03863785199738068
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.015375199106832346,9.441877440618997e-05,-0.05377259825666745,-0.07355777670939763,0.9194499017681729,0.6946137150128683,0.01344882013897101,4.911591355599214e-05,4.911591355599214e-05,0.0,0.0006548788474132285,27.0,0.05659925668655585,0.0,0.0,,True,True,True,0.00014628997693459135,0.00013821572065353394,0.00010810140520334244,6.063561886548996e-05,0.0037211477756500244,0.0019273733099301749,0.0016226569811503139,0.0014992356300354004,-0.32351015062213495,-0.11329404060248849,-0.10412573673870329,0.05370006548788486
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,3,-0.015399271622300148,0.0002278448468169717,-0.05434027537703514,-0.07406656940778096,0.8991486574983627,0.6704775343338648,0.015839841061582167,0.00036018336607727573,0.00036018336607727573,0.0,0.003929273084479371,215.66666666666666,0.05744357732627179,0.0003122945430637738,0.0026298487836949377,,True,True,True,0.00012221746146678925,0.00011414320518573183,8.402888973554033e-05,3.6563103397687854e-05,0.003212355077266693,0.0014185806115468436,0.0011138642827669826,0.000990442931652069,-0.3032089063523248,-0.09299279633267832,-0.08382449246889312,0.07400130975769503
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.015419869683682919,0.00010141714666601547,-0.05327427436908086,-0.07281332463026047,0.9489194499017682,0.6932896773020426,0.015740293078124523,0.0,0.0,0.0,0.0,9.666666666666666,0.056818770399938025,0.0,0.0,,True,True,True,0.00010161940008401871,9.354514380296129e-05,6.34308283527698e-05,1.5965042014917316e-05,0.004465599854787186,0.0026718253890673366,0.0023671090602874756,0.002243687709172562,-0.3529796987557303,-0.14276358873608386,-0.13359528487229866,0.024230517354289494
vanilla,vanilla,,,,,cvar,3,-0.015435834725697836,0.00010025409179365248,-0.05541838283340136,-0.07505701233943303,0.9731499672560577,0.36884541312853497,0.009636413926879564,0.0,0.0,0.0,0.0,77.66666666666667,0.056840909513024,0.0,0.0,,True,True,True,8.565435806910139e-05,7.758010178804398e-05,4.746578633785248e-05,0.0,0.002221912145614624,0.00042813767989477447,0.00012342135111491348,0.0,-0.3772102161100198,-0.16699410609037335,-0.15782580222658815,0.0
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.015456542062262693,0.00013260981174838997,-0.05353546564777692,-0.07309273133675258,0.922724296005239,0.8636828660964966,0.024255286281307537,0.04155206286836935,0.04155206286836935,0.0,0.32481990831696134,157.66666666666666,0.0645724896498742,0.0641354372123603,0.5825115055884287,,True,True,True,6.494702150424379e-05,5.687276522318638e-05,2.675844977299488e-05,-2.0707336564857598e-05,0.004186193148295075,0.002392418682575226,0.002087702353795365,0.0019642810026804514,-0.32678454485920105,-0.11656843483955459,-0.10740013097576939,0.05042567125081876
