model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.013417122885584831,0.0191777553409338,-0.08053059577941894,-0.052843236923217775,-0.06984962522983551,-0.003758072853088379,-0.0,0.5622625580413677,-0.013417122885584831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.013428408652544022,0.017983589321374893,-0.07168397516012191,-0.049290315806865694,-0.06485442072153091,-0.007967685349285603,0.004910377971827983,0.7948501477416632,-0.013417122885584831,0.00014331475540529937,0.00015460261784028262,0.019285017624497414,0.584227979183197,0.2583058476448059,0.5917689800262451,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.013363507576286793,0.017881838604807854,-0.07145846962928772,-0.04942556545138359,-0.06481890380382538,-0.007474638521671295,0.004394866712391375,0.8016040523427607,-0.013417122885584831,0.00015142957272473723,9.781585686141625e-05,0.01222640834748745,0.5342279672622681,0.24150705337524414,0.5417689681053162,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.014937514439225197,0.021770162507891655,-0.09705204248428345,-0.0559100866317749,-0.0792522132396698,-0.005938172340393066,-0.0,0.5857988165680473,-0.014937514439225197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.014819346368312836,0.020146911963820457,-0.09493314862251281,-0.05166846886277199,-0.07409153133630753,-0.00854156631976366,0.004691544128581881,0.7928994082840237,-0.014937514439225197,0.00027617390151135623,0.00015800524852238595,0.019686028361320496,0.5756049752235413,0.25847128033638,0.5868099927902222,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.014726202003657818,0.02009809948503971,-0.09479634344577789,-0.0514433715492487,-0.07383640110492706,-0.008599363267421722,0.004319679550826548,0.8027613412228797,-0.014937514439225197,0.00030943017918616533,9.811861673370004e-05,0.012262934818863869,0.5256049633026123,0.24209986627101898,0.5368099808692932,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.015525965951383114,0.020172227174043655,-0.08214826107025147,-0.05618791580200195,-0.0716593936085701,-0.0071762800216674805,-0.0,0.6070726915520629,-0.015525965951383114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.015527470037341118,0.019592251628637314,-0.0765245521068573,-0.05084098130464554,-0.07016037404537201,-0.009195053018629551,0.00475030988454818,0.8074656188605108,-0.015525965951383114,0.0001533257745904848,0.000154830064275302,0.019294098019599915,0.5942999720573425,0.2585732936859131,0.5942999720573425,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.015449581667780876,0.01946147345006466,-0.07594333559274674,-0.05126937180757522,-0.07007976621389389,-0.008698027580976486,0.004199300054460761,0.8231827111984283,-0.015525965951383114,0.0001743095926940441,9.792581113288179e-05,0.01223902776837349,0.5442999601364136,0.24178478121757507,0.5442999601364136,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.013379969634115696,0.01854528859257698,-0.07850399404764176,-0.05162348598241806,-0.06821344047784805,-0.0038931190501898527,-4.924461391055967e-05,0.9628535246939637,-0.013417122885584831,9.948988008545712e-05,6.233695603441447e-05,0.007163557223975658,0.020475102588534355,0.08483728021383286,0.29093384742736816,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,115.0,0.059007857283577325,val_loss,0.007406203076243401,0.08884282410144806,0.0,0.0,2369.0,20.0,2.0,,,,,,
