model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.03915594145655632,0.05088620260357857,-0.21911189079284668,-0.14242587089538572,-0.18875108659267426,-0.01949310302734375,0.0,0.6339509263895844,-0.03915594145655632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.038488227874040604,0.04927612468600273,-0.21152846932411193,-0.1350287139415741,-0.18211159110069275,-0.023287136107683182,0.011486081406474079,0.827741612418628,-0.03915594145655632,0.0008448554435744882,0.00017714238492771983,0.021986743435263634,0.7022129893302917,0.2634916603565216,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.03834521770477295,0.04906782507896423,-0.21005710780620576,-0.1344411253929138,-0.1818275898694992,-0.022972773760557175,0.011035019904375075,0.828242363545318,-0.03915594145655632,0.0009506242931820452,0.00013990014849696308,0.017408128827810287,0.6922129988670349,0.2628420889377594,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.037399422377347946,0.05106903612613678,-0.20721644401550293,-0.13893359303474426,-0.18747390806674957,-0.012713789939880371,-0.0,0.5981308411214953,-0.037399422377347946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.035898685455322266,0.04856414347887039,-0.19100744530558586,-0.13102174401283265,-0.17569085955619812,-0.019299475476145744,0.013136292295530417,0.7990654205607477,-0.037399422377347946,0.0016786342021077871,0.00017789566481951624,0.022124821320176125,0.5960649847984314,0.26377227902412415,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.03589538484811783,0.048423830419778824,-0.18951757609844208,-0.12908593863248824,-0.17568112909793854,-0.020025471225380898,0.010908407624810929,0.7850467289719626,-0.037399422377347946,0.0016447234665974975,0.0001406826195307076,0.01754496619105339,0.5860649943351746,0.263159841299057,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.04086930677294731,0.04889107868075371,-0.214325852394104,-0.13569221496582032,-0.17616143822669983,-0.024524211883544922,-0.0,0.6666666666666666,-0.04086930677294731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.03958997130393982,0.04621108993887901,-0.19168457686901091,-0.1326733648777008,-0.16556763648986816,-0.02677297405898571,0.008722032979130743,0.8508158508158508,-0.04086930677294731,0.0014550569467246532,0.00017572303477209061,0.021774431690573692,0.6559969782829285,0.2636964023113251,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.03951392322778702,0.04604581743478775,-0.18996843576431274,-0.13267447352409362,-0.16509036719799042,-0.02661154977977276,0.008586694113910191,0.8578088578088578,-0.04086930677294731,0.0014941187109798193,0.00013873724674340338,0.017245927825570107,0.6459969878196716,0.2629830837249756,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.03760267049074173,0.04574710503220558,-0.2023440808057785,-0.1311141610145569,-0.1732546091079712,-0.0195232555270195,0.0006041907588951246,0.929394091136705,-0.03915594145655632,0.0018199410988017917,0.00026666533085517585,0.02565781958401203,0.054773032665252686,0.2827954888343811,1.0,0.025,0.025,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,150.0,0.14873415055684747,val_loss,0.02562916837632656,0.2831399440765381,0.025,1.0,1997.0,20.0,2.0,,,,,,
