model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.014293743297457695,0.017842508852481842,-0.07673153877258301,-0.04877870082855225,-0.06499942392110825,-0.007752180099487305,-0.0,0.6357112705783031,-0.014293743297457695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.014026043005287647,0.01664433628320694,-0.06692193150520324,-0.04529655203223228,-0.05929548665881157,-0.010048050433397293,0.004549270495772361,0.8298860278598564,-0.014293743297457695,0.0004320225561968982,0.0001643231080379337,0.020484503358602524,0.6460080146789551,0.25848260521888733,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.014073389582335949,0.016595222055912018,-0.06735696285963058,-0.04527240991592407,-0.06009123846888542,-0.009357172064483166,0.003359162714332338,0.8425495989869143,-0.014293743297457695,0.0003087592194788158,8.840718510327861e-05,0.011049402877688408,0.5460079908370972,0.21816317737102509,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.015174128115177155,0.018563203513622284,-0.07401345491409302,-0.04646759033203125,-0.06753340363502502,-0.010187506675720215,-0.0,0.6449704142011834,-0.015174128115177155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.014833446592092514,0.01711263135075569,-0.07066744089126586,-0.04443255215883255,-0.06238440424203873,-0.011715471744537354,0.004101975564844902,0.8106508875739645,-0.015174128115177155,0.0005085722077637911,0.00016789065557532012,0.02091033011674881,0.6247119903564453,0.2588909864425659,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.014799169264733791,0.017134889960289,-0.07000734373927116,-0.04540840722620487,-0.06310772150754929,-0.011212943121790886,0.00327600126620382,0.8165680473372781,-0.015174128115177155,0.0004636906087398529,8.873196202330291e-05,0.011088965460658073,0.5247119665145874,0.21876806020736694,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.016201255843043327,0.01733245886862278,-0.06883163928985596,-0.051509952545166014,-0.06212851032614708,-0.012517094612121582,-0.0,0.693516699410609,-0.016201255843043327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.016120607033371925,0.01673477701842785,-0.0654171022772789,-0.05047912746667862,-0.06005904823541641,-0.013418719172477722,0.0034831432159990053,0.8683693516699411,-0.016201255843043327,0.00024262015358544886,0.0001619743270566687,0.020169874653220177,0.5882319808006287,0.2586522102355957,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.016059622168540955,0.016634201630949974,-0.06583147823810577,-0.051180115342140196,-0.06028503179550171,-0.012420139275491238,0.0024870853405445812,0.8722986247544204,-0.016201255843043327,0.00023000926012173295,8.837875793687999e-05,0.011043626815080643,0.48823198676109314,0.2181859314441681,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.013872185721993446,0.01617492362856865,-0.07097015500068665,-0.04513114765286445,-0.06034649536013603,-0.007257242687046528,0.0002907271962612864,0.9231743351625158,-0.014293743297457695,0.0006294815102592111,0.0002079251571558416,0.023399081081151962,0.05195162445306778,0.2552871108055115,0.9333845973014832,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,59.0,0.058678504833951595,val_loss,0.02356070466339588,0.2576509714126587,0.0,0.0,2369.0,20.0,2.0,,,,,,
