model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
vanilla,vanilla,,,,,cvar,3,-0.01198195448766152,0.00027076439519971334,-0.03807373121380806,-0.053213427464167275,0.9528487229862476,0.5258069833119711,0.013247964903712273,0.0,0.0,0.0,0.0,51.0,0.043807304973403606,0.0,0.0,,True,True,True,0.0002156635746359825,5.76116144657135e-05,7.843443502982515e-05,0.0,0.0021800572673479762,0.0009764209389686584,0.000931939731041595,0.0,-0.2671905697445973,-0.10019646365422386,-0.09626719056974453,0.0
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.012015167313317457,0.00015031213220537338,-0.03827480127414067,-0.05222255860765775,0.9194499017681729,0.60810653368632,0.01663932887216409,0.0022920759659463,0.0,0.0022920759659463,0.0045841519318926,39.333333333333336,0.04359467441066095,0.0011505588428665351,0.0026298487836949377,,True,True,True,0.00018245074898004532,2.4398788809776306e-05,4.522160937388796e-05,-3.3212825655937195e-05,0.003170926123857498,0.0019672897954781804,0.001922808587551117,0.000990868856509522,-0.23379174852652262,-0.06679764243614916,-0.06286836935166984,0.03339882121807469
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.01202159933745861,0.00028840546586516826,-0.03747950792312622,-0.05241609737277031,0.9554682383759004,0.45728854338328045,0.010923283795515696,0.0,0.0,0.0,0.0,6.333333333333333,0.043762630185422806,0.0,0.0,,True,True,True,0.00017601872483889204,1.7966764668623028e-05,3.878958523273468e-05,-3.964484979709047e-05,0.0029773873587449415,0.0017737510303656237,0.0017292698224385603,0.0007973300913969653,-0.2698100851342502,-0.10281597904387674,-0.09888670595939741,-0.0026195153896528822
spot_delta,baseline,,,,,,3,-0.012039566102127234,0.00013129622165903933,-0.03870738819241524,-0.05418984840313593,0.8526522593320237,0.6168549855550131,0.018492160364985466,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.000158051960170269,0.0,2.0822820564111652e-05,-5.76116144657135e-05,0.0012036363283793178,0.0,-4.448120792706345e-05,-0.0009764209389686584,-0.16699410609037346,0.0,0.003929273084479323,0.10019646365422386
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.012042478658258915,0.00031612934868069197,-0.03740623518824577,-0.05271573985616366,0.9489194499017682,0.4632187783718109,0.011383923081060251,0.0,0.0,0.0,0.0,8.333333333333334,0.0437144282553345,0.0,0.0,,True,True,True,0.00015513940403858763,-2.9125561316813847e-06,1.7910264432430267e-05,-6.0524170597394886e-05,0.0026777448753515926,0.0014741085469722748,0.0014296273390452113,0.0004976876080036163,-0.263261296660118,-0.09626719056974453,-0.09233791748526521,0.003929273084479323
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.01204369900127252,0.00013927946282648224,-0.037732816735903424,-0.05206922193368276,0.9390962671905697,0.7689230442047119,0.017552131166060764,0.08167976424361494,0.08167976424361494,0.0,0.3097576948264571,206.0,0.043554659096042225,0.00013149243918474687,0.003287310979618672,,True,True,True,0.00015391906102498257,-4.132899145286445e-06,1.6689921418825207e-05,-6.174451361099995e-05,0.003324262797832489,0.0021206264694531712,0.002076145261526108,0.0011442055304845128,-0.25343811394891946,-0.086444007858546,-0.08251473477406668,0.013752455795677854
spot_delta_band,baseline,,,,,,3,-0.012060388922691345,0.00015076036374618123,-0.0384966733554999,-0.05414536719520887,0.856581532416503,0.5935216546058655,0.014670984509090582,0.0,0.0,0.0,0.0,,,,,0.023333333333333334,True,True,True,0.00013722913960615736,-2.0822820564111652e-05,0.0,-7.843443502982515e-05,0.0012481175363063812,4.448120792706345e-05,0.0,-0.000931939731041595,-0.17092337917485279,-0.003929273084479323,0.0,0.09626719056974453
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.012060608714818954,0.00028461882791849515,-0.03811560273170471,-0.05313539629181226,0.9390962671905697,0.38114720582962036,0.009495889845614633,0.0,0.0,0.0,0.0,40.0,0.04351777482156952,0.0,0.0,,True,True,True,0.0001370093474785481,-2.1042612691720905e-05,-2.1979212760925293e-07,-7.86542271574344e-05,0.0022580884397029877,0.00105445211132367,0.0010099709033966064,7.803117235501145e-05,-0.25343811394891946,-0.086444007858546,-0.08251473477406668,0.013752455795677854
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.012072169532378515,0.00025718428621671134,-0.038498613983392715,-0.053108749290307365,0.9318925998690242,0.8459584712982178,0.010809800354763865,0.012982973149967257,0.012901113294040603,8.185985592665356e-05,0.06352324819908317,271.6666666666667,0.043427495501505646,0.001282051282051282,0.005259697567389875,,True,True,True,0.0001254485299189874,-3.260343025128162e-05,-1.1780609687169971e-05,-9.021504471699512e-05,0.0022847354412078857,0.001081099112828568,0.0010366179049015045,0.00010467817385990952,-0.24623444662737393,-0.07924034053700046,-0.07531106745252114,0.02095612311722339
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.012143808417022228,0.00033277235770430525,-0.038649282604455944,-0.053763182212909065,0.9679109364767519,0.355477253595988,0.00949717964977026,0.0,0.0,0.0,0.0,42.666666666666664,0.04344797412632032,0.0,0.0,,True,True,True,5.3809645275274334e-05,-0.00010424231489499468,-8.341949433088303e-05,-0.00016185392936070818,0.001630302518606186,0.00042666619022686814,0.0003821849822998047,-0.0005497547487417903,-0.2822527832351016,-0.11525867714472815,-0.11132940406024883,-0.015062213490504295
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.01218054878214995,0.00039974028391549354,-0.03759955689311028,-0.053349329779545464,0.9332023575638507,0.7395637035369873,0.01923545783696075,0.02221676489849378,0.02221676489849378,0.0,0.26981008513425014,407.3333333333333,0.045573456502698034,0.006886916502301117,0.11176857330703484,,True,True,True,1.706928014755249e-05,-0.00014098268002271652,-0.00012015985945860487,-0.00019859429448843002,0.002044154951969787,0.0008405186235904694,0.0007960374156634059,-0.0001359023153781891,-0.24754420432220048,-0.08055009823182702,-0.0766208251473477,0.01964636542239684
unhedged,baseline,,,,,,3,-0.012197618062297503,0.0002176379506910928,-0.039515964190165204,-0.05539348473151525,0.6856581532416502,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.000158051960170269,-0.00013722913960615736,-0.0002156635746359825,0.0,-0.0012036363283793178,-0.0012481175363063812,-0.0021800572673479762,0.0,0.16699410609037346,0.17092337917485279,0.2671905697445973
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.01220428105443716,0.00029123302809504344,-0.03893990740180015,-0.05413277198870977,0.914210870988867,0.5674161911010742,0.008762155969937643,0.0,0.0,0.0,0.0,248.0,0.04354045233456418,0.0,0.0,,True,True,True,-6.662992139657917e-06,-0.00016471495230992693,-0.00014389213174581528,-0.00022232656677564043,0.001260712742805481,5.707641442616318e-05,1.2595206499099731e-05,-0.0009193445245424953,-0.22855271774721675,-0.06155861165684329,-0.057629338572363964,0.03863785199738057
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,3,-0.01227225208034118,0.00037920215813961824,-0.03834717770417531,-0.05364145338535309,0.9482645710543549,0.6662500451008478,0.02096087873602907,0.01421087098886706,0.01421087098886706,0.0,0.28487229862475444,268.3333333333333,0.04523111847694963,0.008333333333333333,0.3333333333333333,,True,True,True,-7.463401804367817e-05,-0.00023268597821394718,-0.00021186315764983553,-0.0002902975926796607,0.0017520313461621626,0.0005483950177828448,0.0005039138098557813,-0.0004280259211858137,-0.26260641781270466,-0.0956123117223312,-0.09168303863785188,0.004584151931892655
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,3,-0.012383608147501945,0.0004259864743427826,-0.03906350980202357,-0.054973137875398,0.9397511460379829,0.49007556835810345,0.011294820345938206,0.0007694826457105435,0.0007694826457105435,0.0,0.010478061558611656,160.0,0.04434106408494896,0.0019888231426692968,0.022353714661406968,,True,True,True,-0.00018599008520444292,-0.00034404204537471193,-0.0003232192248106003,-0.00040165365984042543,0.00042034685611724854,-0.0007832894722620692,-0.0008277706801891327,-0.0017597104112307277,-0.2540929927963327,-0.08709888670595922,-0.0831696136214799,0.013097576948264633
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.012450851189593473,0.00031805143588107735,-0.039753591020902,-0.05520506948232651,0.9515389652914211,0.3013257086277008,0.009760445604721705,0.0,0.0,0.0,0.0,122.0,0.04414261082963397,0.0,0.0,,True,True,True,-0.0002532331272959709,-0.00041128508746623993,-0.0003904622669021283,-0.00046889670193195343,0.00018841524918874336,-0.0010152210791905744,-0.0010597022871176379,-0.001991642018159233,-0.2658808120497709,-0.09888670595939741,-0.09495743287491809,0.0013097576948264411
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.012470061890780926,0.00042084541258282846,-0.03924225345253945,-0.0547704150279363,0.9443352979698756,0.46376579503218335,0.014123041027535995,0.010920104780615586,0.010920104780615586,0.0,0.15193189259986903,133.0,0.04413289882782124,0.0006245890861275476,0.015121630506245891,,True,True,True,-0.0002724438284834232,-0.0004304957886536922,-0.00040967296808958054,-0.0004881074031194057,0.000623069703578949,-0.0005805666248003688,-0.0006250478327274323,-0.0015569875637690272,-0.25867714472822534,-0.09168303863785188,-0.08775376555337255,0.008513425016371978
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.012582552619278431,0.0009393071299075443,-0.03762963463862737,-0.051873426884412766,0.9698755730189914,0.8186924954255422,0.028388858772814274,0.05728552717747217,0.05728552717747217,0.0,0.6666666666666666,238.33333333333334,0.05283494423343179,0.07108809993425379,0.6666666666666666,,True,True,True,-0.00038493455698092836,-0.0005429865171511974,-0.0005221636965870857,-0.0006005981316169109,0.0035200578471024854,0.0023164215187231676,0.002271940310796104,0.0013400005797545092,-0.28421741977734116,-0.1172233136869677,-0.11329404060248838,-0.017026850032743845
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.012603848241269588,0.0005541330323088661,-0.03927388961116473,-0.054655157029628754,0.9430255402750491,0.6986311276753744,0.017662479542195797,0.03372626064178127,0.03372626064178127,0.0,0.36738703339882123,103.33333333333333,0.047748420398059634,0.03476331360946746,0.3339907955292571,,True,True,True,-0.0004062301789720859,-0.0005642821391423549,-0.0005434593185782433,-0.0006218937536080684,0.0007383277018864973,-0.0004653086264928205,-0.000509789834419884,-0.001441729565461479,-0.2573673870333989,-0.09037328094302544,-0.08644400785854611,0.00982318271119842
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,3,-0.013111734141906103,0.0017733531366065712,-0.03898088584343592,-0.05353624497850736,0.9744597249508841,0.7243556876977285,0.029643441860874493,0.09187950229207596,0.09187950229207596,0.0,0.3601833660772757,222.33333333333334,0.044759123962077714,0.00034516765285996055,0.006574621959237344,,True,True,True,-0.0009141160796086005,-0.0010721680397788695,-0.0010513452192147579,-0.001129779654244583,0.0018572397530078888,0.000653603424628571,0.0006091222167015076,-0.00032281751434008743,-0.2888015717092338,-0.12180746561886036,-0.11787819253438103,-0.0216110019646365
