model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.007937406189739704,0.012416317127645016,-0.05333748817443848,-0.03153778314590454,-0.04546043276786804,-0.0,0.0,0.4979919678714859,-0.007937406189739704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.007999840192496777,0.01185547560453415,-0.05147308323532343,-0.029894635360687972,-0.042927101254463196,-0.004667111439630389,0.004168679541908204,0.768574297188755,-0.007937406189739704,0.00010276192188030109,0.00016519660130143166,0.020647773519158363,0.577771008014679,0.2539401948451996,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.007950100116431713,0.011740301735699177,-0.052629031240940094,-0.029615454748272894,-0.0430610217154026,-0.0037492933915928006,0.002849099086597559,0.7801204819277109,-0.007937406189739704,6.486580241471529e-05,7.756023842375726e-05,0.009694673120975494,0.4277710020542145,0.18993297219276428,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.008103352040052414,0.012780033983290195,-0.055197328329086304,-0.03258267045021057,-0.047713540494441986,-0.0,-0.0,0.47417840375586856,-0.008103352040052414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.00832421611994505,0.012347579933702946,-0.04695773683488369,-0.03226327523589134,-0.04426545277237892,-0.005195146193727851,0.005148768541403115,0.744131455399061,-0.008103352040052414,-5.682456321665086e-05,0.00016404005873482674,0.020506132394075394,0.578885018825531,0.25404343008995056,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.008209454827010632,0.012178548611700535,-0.04809615481644869,-0.03136655129492283,-0.044646069407463074,-0.004031144315376878,0.0035156591911800206,0.7488262910798122,-0.008103352040052414,-2.849033808161039e-05,7.761348388157785e-05,0.009701081551611423,0.42888501286506653,0.19006744027137756,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.008871139958500862,0.012762068770825863,-0.05157181978225708,-0.03612444996833801,-0.04584077373147011,-0.0020508766174316406,-0.0,0.5280373831775701,-0.008871139958500862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.009459855034947395,0.01164768636226654,-0.04852571342140436,-0.03210105337202549,-0.041908591985702515,-0.006586592877283692,0.003409092000219967,0.8200934579439252,-0.008871139958500862,-0.00042638526065275073,0.00016233022324740887,0.020271241664886475,0.5764219760894775,0.2543640732765198,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.009245934896171093,0.01170739158987999,-0.049807741716504095,-0.03371951654553413,-0.04276954382658005,-0.00549385673366487,0.002274180285166949,0.8387850467289719,-0.008871139958500862,-0.0002973781665787101,7.741680747130886e-05,0.00967583991587162,0.42642197012901306,0.1897304803133011,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.008014225400984287,0.01200189907103777,-0.0521129984408617,-0.030674113892018795,-0.04442700371146202,-0.0011323101352900267,-5.6602391850902743e-05,0.9663654618473896,-0.007937406189739704,-1.1053174603148364e-05,6.57661075820215e-05,0.007149698678404093,0.018033891916275024,0.08166980743408203,0.28509044647216797,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,42.0,0.033165144235827025,val_loss,0.007882294245064259,0.09289353340864182,0.0,0.0,1992.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.008179916068911552,0.012335667386651039,-0.0543155986815691,-0.031873105093836784,-0.046618521213531494,-0.0011748630786314607,-1.942998824233655e-05,0.9530516431924883,-0.008103352040052414,-1.0903493603109382e-05,6.566173397004604e-05,0.007148606237024069,0.01803208515048027,0.08164773136377335,0.28450125455856323,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,42.0,0.033165144235827025,val_loss,0.007882294245064259,0.09289353340864182,0.0,0.0,426.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.008889395743608475,0.012324563227593899,-0.05038742285221815,-0.03526655193418264,-0.044763460755348206,-0.0019519281922839582,-5.917667294852554e-06,0.9532710280373832,-0.008871139958500862,4.720331708085723e-05,6.545858923345804e-05,0.0071417479775846004,0.018033012747764587,0.08159518241882324,0.2841135859489441,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,42.0,0.033165144235827025,val_loss,0.007882294245064259,0.09289353340864182,0.0,0.0,428.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,-0.007655313238501549,0.011947778053581715,-0.04729952733963728,-0.02910175984725356,-0.04275752604007721,-0.0014771047863177955,0.0005088698817417019,0.8614457831325302,-0.007937406189739704,0.0003681894449982792,8.609663927927613e-05,0.009451274760067463,0.7507100701332092,0.0699758231639862,1.0,2.5100401606425704e-05,0.0,2.5100401606425704e-05,0.001004016064257028,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,136.0,0.03209348747041076,val_loss,0.010414856486022472,0.06255856156349182,0.0,0.0,1992.0,20.0,2.0,spot_delta,10.0,False,False,0.22328218817710876,0.8286411762237549
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,-0.007728048134595156,0.012358414940536022,-0.05447642412036657,-0.03064383240416646,-0.04625610262155533,-0.0012486481573432684,0.0006584272050531581,0.8497652582159625,-0.008103352040052414,0.0004555506748147309,8.024787530303001e-05,0.009549480862915516,0.31450480222702026,0.06723088026046753,0.8760899305343628,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,136.0,0.03209348747041076,val_loss,0.010414856486022472,0.06255856156349182,0.0,0.0,426.0,20.0,2.0,spot_delta,10.0,False,False,0.22328218817710876,0.8286411762237549
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,-0.00852322205901146,0.01209943275898695,-0.04964765589684248,-0.03197331354022026,-0.04417368769645691,-0.002336566336452961,0.0005845592328114435,0.8574766355140186,-0.008871139958500862,0.0004342194297350943,8.63013556227088e-05,0.009713917039334774,0.7012157440185547,0.065046027302742,1.0,5.841121495327103e-05,0.0,5.841121495327103e-05,0.002336448598130841,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,136.0,0.03209348747041076,val_loss,0.010414856486022472,0.06255856156349182,0.0,0.0,428.0,20.0,2.0,spot_delta,10.0,False,False,0.22328218817710876,0.8286411762237549
