model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.015262996777892113,0.0006515249385059768,-0.06452680379152298,-0.09063425660133362,0.8766458766458767,0.9512816468874613,0.012241486925631762,0.0022522522522522522,0.0015246015246015248,0.0007276507276507277,0.02079002079002079,432.0,0.06583609906749592,0.0030381944444444445,0.024999999999999998,,True,True,True,3.886719544729175e-06,0.000259341051181158,0.0001670951023697853,0.00011865391085545164,0.0021984154979387965,0.0006571685274441991,0.0007794871926307678,-0.0023946563402811732,-0.3832293832293832,-0.11988911988911999,-0.11157311157311156,0.09216909216909219
unhedged,baseline,,,,,,3,-0.015266883497436842,0.0006830323107328819,-0.06661403179168701,-0.09283267209927241,0.49341649341649346,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,0.00025545433163642883,0.00016320838282505613,0.00011476719131072247,0.0,-0.0015412469704945975,-0.0014189283053080287,-0.00459307183821997,0.0,0.2633402633402632,0.27165627165627165,0.4753984753984754
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.01529599353671074,0.00046524630649709723,-0.06303601215283076,-0.08695806562900543,0.9078309078309079,0.7814120848973592,0.017924677580595016,1.7325017325017327e-05,0.0,1.7325017325017327e-05,0.000693000693000693,85.0,0.06580566197695831,0.00036458333333333335,0.004166666666666667,,True,True,True,-2.911003927389723e-05,0.0002263442923625316,0.0001340983435511589,8.565715203682524e-05,0.005874606470266983,0.004333359499772385,0.004455678164958954,0.0012815346320470128,-0.41441441441441446,-0.15107415107415123,-0.1427581427581428,0.06098406098406095
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.015334349746505419,0.0007205935204960785,-0.0651998519897461,-0.09070822844902675,0.8828828828828829,0.5801263948281606,0.005240870018800099,0.00010395010395010396,0.0,0.00010395010395010396,0.000693000693000693,10.666666666666666,0.0660918844703378,0.00017361111111111112,0.001388888888888889,,True,True,True,-6.746624906857693e-05,0.0001879880825678519,9.57421337564792e-05,4.730094224214554e-05,0.0021244436502456665,0.000583196679751069,0.0007055153449376378,-0.0024686281879743033,-0.3894663894663894,-0.12612612612612617,-0.11781011781011774,0.08593208593208601
vanilla,vanilla,,,,,cvar,3,-0.015381650688747564,0.0006641069962158797,-0.06309280171990395,-0.08823960026105244,0.9688149688149689,0.5391152501106262,0.013687438952426115,0.0,0.0,0.0,0.0,106.66666666666667,0.06658927774832894,0.0,0.0,,True,True,True,-0.00011476719131072247,0.00014068714032570637,4.844119151433367e-05,0.0,0.00459307183821997,0.0030518248677253723,0.003174143532911941,0.0,-0.4753984753984754,-0.21205821205821218,-0.20374220374220375,0.0
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.015387804557879766,0.0007646168806657462,-0.0627474660674731,-0.08889374136924744,0.9272349272349273,0.8442686597506205,0.015357512049376965,0.000641025641025641,0.0002598752598752599,0.0003811503811503812,0.011781011781011782,9.333333333333334,0.06628775862956214,0.00022569444444444446,0.003472222222222222,,True,True,True,-0.0001209210604429245,0.00013453327119350433,4.2287322382131634e-05,-6.153869132202033e-06,0.003938930730024978,0.0023976837595303807,0.0025200024247169495,-0.0006541411081949916,-0.4338184338184338,-0.1704781704781706,-0.16216216216216217,0.04158004158004158
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.015396061974267164,0.000719643443188804,-0.06197503705819448,-0.0873212218284607,0.8863478863478864,0.7567789455254873,0.01603458107759555,0.002027027027027027,0.0017844767844767846,0.00024255024255024257,0.006930006930006931,58.333333333333336,0.06587611494285779,0.0002777777777777778,0.0006944444444444445,,True,True,True,-0.00012917847683032238,0.00012627585480610645,3.402990599473375e-05,-1.4411285519599915e-05,0.005511450270811721,0.003970203300317124,0.004092521965503693,0.0009183784325917516,-0.39293139293139295,-0.12959112959112973,-0.1212751212751213,0.08246708246708245
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.015425495182474455,0.0005710636798817247,-0.06833020846048991,-0.09532713145017624,0.8295218295218295,0.6432228783766428,0.04838377113143603,0.0,0.0,0.0,0.0,60.666666666666664,0.06568894466540465,0.0,0.0,,True,True,True,-0.00015861168503761292,9.684264659881592e-05,4.5966977874432186e-06,-4.384449372689045e-05,-0.0024944593509038243,-0.004035706321398422,-0.003913387656211853,-0.007087531189123794,-0.33610533610533605,-0.07276507276507282,-0.0644490644490644,0.13929313929313936
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.015428493420282999,0.0004935704043430172,-0.06268374000986417,-0.09014293054739635,0.9203049203049204,0.7595716019471487,0.01770124739656846,6.930006930006931e-05,0.0,6.930006930006931e-05,0.002079002079002079,67.33333333333333,0.06609554564663106,0.0009201388888888889,0.011111111111111112,,True,True,True,-0.0001616099228461572,9.384440879027164e-05,1.5984599788989445e-06,-4.684273153543472e-05,0.002689741551876068,0.0011484945813814706,0.0012708132465680394,-0.0019033302863439017,-0.42688842688842693,-0.1635481635481637,-0.15523215523215528,0.048510048510048476
spot_delta_band,baseline,,,,,,3,-0.015430091880261898,0.0007515276467368207,-0.06435581296682358,-0.09141374379396439,0.7650727650727651,0.5072356561819712,0.011578379819790522,0.0,0.0,0.0,0.0,,,,,0.08333333333333333,True,True,True,-0.00016320838282505613,9.22459488113727e-05,0.0,-4.844119151433367e-05,0.0014189283053080287,-0.00012231866518656875,0.0,-0.003174143532911941,-0.27165627165627165,-0.008316008316008427,0.0,0.20374220374220375
