model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.016526661813259125,0.026834068819880486,-0.12257987022399902,-0.0681861937046051,-0.10283662378787994,-0.0020865797996520996,0.0,0.5308035714285714,-0.016526661813259125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.016533441841602325,0.025377970188856125,-0.11541594862937928,-0.06435846723616123,-0.09627984464168549,-0.008633439894765615,0.007022842927835876,0.7897321428571429,-0.016526661813259125,0.00016596524801570922,0.00017274591664317995,0.021575063467025757,0.5913040041923523,0.25697991251945496,0.5913040041923523,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.016498446464538574,0.02522646263241768,-0.11620032392442227,-0.06507230438292026,-0.09692205488681793,-0.008301164489239454,0.005968355247750873,0.7941964285714286,-0.016526661813259125,0.00012749021698255092,9.927577775670215e-05,0.01241198368370533,0.5413039922714233,0.24357973039150238,0.5413039922714233,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.0172888096421957,0.03052404522895813,-0.1464120101928711,-0.06989427804946899,-0.11445027589797974,-0.0015535354614257812,0.0,0.5166666666666667,-0.0172888096421957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.01733655110001564,0.027186822146177292,-0.11568229332566261,-0.06399628669023513,-0.10050242394208908,-0.008267542812973261,0.006187801575288173,0.7875,-0.0172888096421957,0.00012674594472628087,0.00017448714061174542,0.021766971796751022,0.5890989899635315,0.2570447027683258,0.5913040041923523,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.0171334408223629,0.027319392189383507,-0.11910430245101451,-0.06365052126348018,-0.10194921493530273,-0.00798439932987094,0.005376363336108624,0.8,-0.0172888096421957,0.00025511125568300486,9.974141721613705e-05,0.012466490268707275,0.5390989780426025,0.24384117126464844,0.5413039922714233,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.015421194955706596,0.025624390691518784,-0.10656120777130126,-0.06448507308959961,-0.0924038514494896,0.0,0.0,0.4760914760914761,-0.015421194955706596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.015585951507091522,0.02492346055805683,-0.10051489621400833,-0.06577817350625992,-0.09084618836641312,-0.0061611211858689785,0.0072505599819123745,0.7505197505197505,-0.015421194955706596,6.244794803933473e-06,0.00017100120021495968,0.021377401426434517,0.5836640000343323,0.2576090097427368,0.5890989899635315,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.015572799369692802,0.024874946102499962,-0.10210816860198975,-0.06648757308721542,-0.09125185012817383,-0.0060909162275493145,0.006641917861998081,0.7525987525987526,-0.015421194955706596,-5.211549432715401e-05,9.948820661520585e-05,0.012440772727131844,0.5336639881134033,0.24408908188343048,0.5390989780426025,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.016542360186576843,0.024719230830669403,-0.11523617006838321,-0.06439045332372188,-0.09671972692012787,-0.004493273561820388,-0.0004004359128884979,0.9933035714285714,-0.016526661813259125,0.0001323102624155581,0.00014800809731241316,0.015699101611971855,0.06052795797586441,0.2071063071489334,0.6244634985923767,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLE_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,172.0,0.06959521716460586,val_loss,0.015871595591306686,0.2105703055858612,0.0,0.0,2240.0,20.0,2.0,,,,,,
