model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
spot_delta_band,baseline,,,,,,3,-0.013059034943580627,0.0008347695344203168,-0.0430771429091692,-0.06192555402716001,0.8040935672514621,0.656938632329305,0.023184151699145634,0.0,0.0,0.0,0.0,,,,,0.03333333333333333,True,True,True,0.0002846447750926018,3.135328491528887e-05,0.0,0.00019700204332669634,0.004335824400186532,0.0006515619655450208,0.0,0.002329982817172997,-0.20321637426900585,-0.004385964912280826,0.0,0.12061403508771917
spot_delta,baseline,,,,,,3,-0.013090388228495916,0.0008413003912232187,-0.04308292083442211,-0.06257711599270503,0.7997076023391813,0.6902719736099243,0.03570115938782692,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0002532914901773129,0.0,-3.135328491528887e-05,0.00016564875841140747,0.003684262434641511,0.0,-0.0006515619655450208,0.0016784208516279764,-0.19883040935672502,0.0,0.004385964912280826,0.125
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.013180858455598354,0.0008266650845514708,-0.042382248056431614,-0.06238967180252075,0.8808479532163743,0.7372584939002991,0.020239753027757008,3.654970760233918e-05,0.0,3.654970760233918e-05,0.0014619883040935672,76.0,0.049420103669862665,1.8355359765051395e-05,0.0007342143906020559,,True,True,True,0.00016282126307487488,-9.047022710243803e-05,-0.0001218235120177269,7.517853130896944e-05,0.003871706624825791,0.00018744419018427994,-0.0004641177753607409,0.0018658650418122563,-0.2799707602339181,-0.08114035087719307,-0.07675438596491224,0.04385964912280693
vanilla,vanilla,,,,,cvar,3,-0.013256036986907324,0.0007296368614859429,-0.04230369285990795,-0.06425553684433301,0.9247076023391813,0.44225112597147626,0.011019029382926723,0.0,0.0,0.0,0.0,39.0,0.04951507285625364,0.0,0.0,,True,True,True,8.764273176590544e-05,-0.00016564875841140747,-0.00019700204332669634,0.0,0.0020058415830135345,-0.0016784208516279764,-0.002329982817172997,0.0,-0.323830409356725,-0.125,-0.12061403508771917,0.0
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.013335041391352812,0.000643018514004207,-0.04241413654138645,-0.06261626755197842,0.8961988304093568,1.0,0.029315028650065262,0.0017909356725146197,0.0001461988304093567,0.001644736842105263,0.015350877192982455,135.33333333333334,0.04928658380135111,0.00023861967694566814,0.0022026431718061676,,True,True,True,8.638327320417347e-06,-0.00024465316285689556,-0.00027600644777218443,-7.900440444548809e-05,0.0036451108753681183,-3.9151559273392644e-05,-0.0006907135248184135,0.0016392692923545837,-0.29532163742690054,-0.09649122807017552,-0.09210526315789469,0.028508771929824483
unhedged,baseline,,,,,,3,-0.01334367971867323,0.0007800196184028201,-0.043559630711873375,-0.06626137842734654,0.6008771929824562,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0002532914901773129,-0.0002846447750926018,-8.764273176590544e-05,0.0,-0.003684262434641511,-0.004335824400186532,-0.0020058415830135345,0.0,0.19883040935672502,0.20321637426900585,0.323830409356725
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.013347608347733816,0.0010956345680974736,-0.04219014818469683,-0.06164654716849327,0.9247076023391813,0.983283539613088,0.02847485865155856,0.0013706140350877192,0.0,0.0013706140350877192,0.024122807017543862,14.0,0.049631213320380896,0.0002936857562408223,0.0029368575624082235,,True,True,True,-3.928629060586872e-06,-0.0002572201192378998,-0.00028857340415318865,-9.157136082649231e-05,0.004614831258853272,0.000930568824211761,0.0002790068586667402,0.0026089896758397374,-0.323830409356725,-0.125,-0.12061403508771917,0.0
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.013365064437190691,0.0006122901022824177,-0.04207093951602777,-0.061677164087692894,0.875,0.8977660735448202,0.030476048588752747,0.12395833333333332,0.12395833333333332,0.0,0.6023391812865496,325.0,0.05400764238619945,0.02894640234948605,0.2092511013215859,,True,True,True,-2.1384718517461834e-05,-0.00027467620869477474,-0.0003060294936100636,-0.00010902745028336727,0.004584214339653649,0.0008999519050121377,0.00024838993946711685,0.002578372756640114,-0.27412280701754377,-0.07529239766081874,-0.07090643274853792,0.049707602339181256
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.013443689793348312,0.0001525572417847387,-0.04272738937288523,-0.0624740831553936,0.9115497076023392,0.9393653273582458,0.028587518259882927,0.002284356725146199,0.0002192982456140351,0.002065058479532164,0.011695906432748537,179.66666666666666,0.05011364568378394,0.0050293685756240825,0.02643171806167401,,True,True,True,-0.00010001007467508316,-0.00035330156485239607,-0.00038465484976768494,-0.0001876528064409886,0.0037872952719529424,0.00010303283731143142,-0.0005485291282335894,0.0017814536889394078,-0.310672514619883,-0.11184210526315796,-0.10745614035087714,0.013157894736842035
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.013459917468329271,0.00047514304819703266,-0.042292166501283646,-0.06405410543084145,0.9283625730994153,0.7354356646537781,0.014866887591779232,0.0006578947368421052,0.0,0.0006578947368421052,0.003654970760233918,51.333333333333336,0.04925881633540156,0.00020190895741556533,0.0036710719530102793,,True,True,True,-0.00011623774965604204,-0.00036952923983335495,-0.0004008825247486438,-0.00020388048142194748,0.002207272996505097,-0.001476989438136414,-0.002128551403681435,0.00020143141349156235,-0.32748538011695905,-0.12865497076023402,-0.1242690058479532,-0.003654970760234022
