model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.013905085623264313,0.018887603655457497,-0.08541048288345336,-0.04789999723434448,-0.0680147334933281,-0.006065189838409424,-0.0,0.6065032987747409,-0.013905085623264313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.013729889877140522,0.018441438674926758,-0.08160181790590286,-0.04573625717312097,-0.06558816879987717,-0.008454376365989447,0.005922185746021556,0.7935909519321395,-0.013905085623264313,0.00046107289381325245,0.00028587671113200486,0.035618435591459274,0.6902719736099243,0.2566879391670227,0.6902719736099243,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.013711906038224697,0.017829911783337593,-0.08370631121098995,-0.044820292852818966,-0.0643492043018341,-0.007885912898927927,0.004076108848676083,0.8157398680490103,-0.013905085623264313,0.000329150672769174,0.0001359709131065756,0.016970178112387657,0.6402719616889954,0.2520642578601837,0.6402719616889954,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.012664392590522766,0.016524814069271088,-0.06343249320983886,-0.04136366844177246,-0.05932687595486641,-0.00630873441696167,0.0,0.6035242290748899,-0.012664392590522766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.012297098524868488,0.015778256580233574,-0.05671860434114933,-0.03863229844719171,-0.05350959300994873,-0.008450291585177183,0.005574130732566115,0.8061674008810573,-0.012664392590522766,0.0006536194705404341,0.00028632613248191774,0.03564300760626793,0.6281219720840454,0.25639498233795166,0.6443529725074768,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.012229744344949722,0.015187527984380722,-0.05414574213325977,-0.038049607165157796,-0.052706193178892136,-0.008137438911944628,0.004269119002856307,0.8281938325991189,-0.012664392590522766,0.0005705083021894097,0.00013586039131041616,0.016934506595134735,0.5781219601631165,0.2520100176334381,0.5943529605865479,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.013486946001648903,0.01843079924583435,-0.08241109251976013,-0.04457804560661316,-0.06762611120939255,-0.005166769027709961,0.0,0.5833333333333334,-0.013486946001648903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.013320998288691044,0.018352540209889412,-0.07679166942834854,-0.04471685830503702,-0.06315800547599792,-0.009211031254380941,0.0064432715298607945,0.8026315789473685,-0.013486946001648903,0.0004516290791798383,0.00028568017296493053,0.03558596223592758,0.6351810097694397,0.2571134865283966,0.6902719736099243,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.013234181329607964,0.017719848081469536,-0.0771841511130333,-0.04429328069090843,-0.06256363540887833,-0.007951055653393269,0.004283044137991965,0.7894736842105263,-0.013486946001648903,0.0003862947633024305,0.00013353001850191504,0.016662590205669403,0.5851809978485107,0.25230634212493896,0.6402719616889954,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.013751798309385777,0.017705075442790985,-0.0814283226430416,-0.045563056319952014,-0.0647762268781662,-0.0065179027151316404,0.00014901681570336195,0.9274269557021678,-0.013905085623264313,0.00029364466900005937,0.00014035818458069116,0.015582505613565445,0.03565341979265213,0.16877475380897522,0.6190856695175171,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,88.0,0.05002043859101832,val_loss,0.015729369595646858,0.1707533895969391,0.0,0.0,2122.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.012553765438497066,0.015431582927703857,-0.060341371372342106,-0.039601648971438405,-0.05661802738904953,-0.0063649185467511415,8.603964161011357e-05,0.933920704845815,-0.012664392590522766,0.00025017873849719763,0.00013955205213278532,0.015574874356389046,0.03514152765274048,0.16866357624530792,0.618567168712616,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,88.0,0.05002043859101832,val_loss,0.015729369595646858,0.1707533895969391,0.0,0.0,454.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.013291887938976288,0.01732015050947666,-0.07916840240359306,-0.042493521235883236,-0.0645594671368599,-0.005059254355728626,0.00014240887685446069,0.9144736842105263,-0.013486946001648903,0.0003348511818330735,0.000139792071422562,0.01557573676109314,0.03574369102716446,0.16872616112232208,0.6177319884300232,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,88.0,0.05002043859101832,val_loss,0.015729369595646858,0.1707533895969391,0.0,0.0,456.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,-0.01385470386594534,0.01675276644527912,-0.07643964990973473,-0.04415853042155504,-0.06165127083659172,-0.006831303471699357,0.0007383244810625897,0.9194156456173421,-0.013905085623264313,0.0023695710115134716,0.0023191887885332108,0.03948367014527321,0.3193306624889374,0.3494120240211487,1.0,0.0002709707822808671,0.0,0.0002709707822808671,0.005655042412818096,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,14.0,0.05028781498339241,val_loss,0.029685718938708305,0.25482285022735596,5.506607929515419e-05,0.0022026431718061676,2122.0,20.0,2.0,spot_delta,10.0,False,False,0.1922495812177658,0.38359057903289795
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,-0.012677648104727268,0.014678174629807472,-0.059429770708084105,-0.03835125584155321,-0.05389131233096123,-0.007088425336405635,0.0004923654079902897,0.9229074889867841,-0.012664392590522766,0.0022163838148117065,0.0022296400275081396,0.038394995033741,0.31963855028152466,0.3459020256996155,1.0,0.00011013215859030837,0.0,0.00011013215859030837,0.0022026431718061676,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,14.0,0.05028781498339241,val_loss,0.029685718938708305,0.25482285022735596,5.506607929515419e-05,0.0022026431718061676,454.0,20.0,2.0,spot_delta,10.0,False,False,0.1922495812177658,0.38359057903289795
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,-0.013339487835764885,0.016582434996962547,-0.07474361695349216,-0.042184239253401756,-0.06174980103969574,-0.006538023706525564,0.0009492485551163554,0.8969298245614035,-0.013486946001648903,0.0024251125287264585,0.002277653431519866,0.038881126791238785,0.31869518756866455,0.34481140971183777,1.0,0.00010964912280701755,0.0,0.00010964912280701755,0.0043859649122807015,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,14.0,0.05028781498339241,val_loss,0.029685718938708305,0.25482285022735596,5.506607929515419e-05,0.0022026431718061676,456.0,20.0,2.0,spot_delta,10.0,False,False,0.1922495812177658,0.38359057903289795
