model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.010417906567454338,0.013895342126488686,-0.055822757482528684,-0.035714924335479736,-0.04945746809244156,-0.004492044448852539,0.0,0.5878787878787879,-0.010417906567454338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.010525171644985676,0.013561593368649483,-0.05280073769390583,-0.033673794381320475,-0.04828584939241409,-0.006959202932193875,0.0035972613026387986,0.8166666666666667,-0.010417906567454338,7.123500836314633e-05,0.00017850121366791427,0.022255100309848785,0.60760897397995,0.25741463899612427,0.60760897397995,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.010479694232344627,0.013514768332242966,-0.05267014820128679,-0.03371577952057123,-0.048190295696258545,-0.006963840452954173,0.0034869521507062003,0.8176767676767677,-0.010417906567454338,7.600331446155906e-05,0.00013779073196928948,0.017187919467687607,0.5976089835166931,0.25714796781539917,0.5976089835166931,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.011150320060551167,0.018210818991065025,-0.06953550815582275,-0.038621234893798824,-0.06508208066225052,-0.003930449485778809,-0.0,0.5849056603773585,-0.011150320060551167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.010582199320197105,0.015470800921320915,-0.06173260055482387,-0.03618068899959326,-0.05532803386449814,-0.0057928659953176975,0.003233471675775939,0.8018867924528302,-0.011150320060551167,0.0007473683799616992,0.0001792490656953305,0.022341186180710793,0.5931580066680908,0.25734761357307434,0.60760897397995,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.010554014705121517,0.015528031624853611,-0.06163490448147058,-0.03582572005689144,-0.05544556677341461,-0.005520550301298499,0.0031816907692700565,0.8042452830188679,-0.011150320060551167,0.0007348039653152227,0.00013849844981450588,0.017275415360927582,0.583158016204834,0.2569981813430786,0.5976089835166931,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.010633057914674282,0.014922143891453743,-0.04891428351402283,-0.03775036334991455,-0.051970697939395905,-0.002481400966644287,-0.0,0.5539906103286385,-0.010633057914674282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.010169717483222485,0.0138093875721097,-0.044965109787881374,-0.03440295439213514,-0.046564601361751556,-0.006178705021739006,0.004370104870758951,0.784037558685446,-0.010633057914674282,0.0006383737782016397,0.00017503314302302897,0.021821627393364906,0.6018829941749573,0.2580479383468628,0.60760897397995,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.010215320624411106,0.01376036275178194,-0.04490918945521116,-0.03407793305814266,-0.04651416465640068,-0.006072121672332287,0.004072416923008859,0.7910798122065728,-0.010633057914674282,0.0005529890768229961,0.0001352518011117354,0.01687302440404892,0.5918830037117004,0.2577821910381317,0.5976089835166931,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.010292327031493187,0.012778724543750286,-0.05240916062146425,-0.03380952775478363,-0.04655858874320984,-0.004567059455439448,7.356105488724992e-05,0.9404040404040404,-0.010417906567454338,0.0002913493080995977,0.00016577063070144504,0.019523175433278084,0.04473315179347992,0.21545735001564026,0.7796006798744202,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLV_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,147.0,0.04487314596772194,val_loss,0.019770920276641846,0.21905352175235748,0.0,0.0,1980.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.010927465744316578,0.016873540356755257,-0.06616576552391053,-0.0360549496486783,-0.061200544238090515,-0.004462170181795955,0.00022554819443030256,0.9198113207547169,-0.011150320060551167,0.0003888503706548363,0.0001659955596551299,0.019523970782756805,0.04472184181213379,0.2154562622308731,0.7818938493728638,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLV_full_paper_grid_800_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,147.0,0.04487314596772194,val_loss,0.019770920276641846,0.21905352175235748,0.0,0.0,424.0,20.0,2.0,,,,,,
