regime_type,regime,series,n,mean,p05,cvar05,shortfall_prob
return_regime,down,proto_gains,170,-0.004054982689472929,-0.013225556164979934,-0.020059832371771336,0.8117647058823529
return_regime,down,vanilla_gains,170,-0.004203488011861576,-0.015530541772022842,-0.022551834997203615,0.9882352941176471
return_regime,down,spot_delta_band_gains,170,-0.0036943769497798603,-0.019780816324055192,-0.022994505241513252,0.7176470588235294
return_regime,down,unhedged_gains,170,-0.0025958467932308423,-0.015457159280776976,-0.02196225855085585,0.2647058823529412
return_regime,middle,proto_gains,169,-0.01202710783856469,-0.02669677846133709,-0.029942450837956533,0.9881656804733728
return_regime,middle,vanilla_gains,169,-0.011627891543269648,-0.02942395582795143,-0.03176312810844845,0.8165680473372781
return_regime,middle,spot_delta_band_gains,169,-0.011977147079217895,-0.028150078281760214,-0.032105376943945885,0.9112426035502958
return_regime,middle,unhedged_gains,169,-0.012550571261073005,-0.03067011833190918,-0.03317627641889784,0.8284023668639053
return_regime,up,proto_gains,170,-0.03113008127958678,-0.05851861275732517,-0.06535922322008345,1.0
return_regime,up,vanilla_gains,170,-0.030622843961121842,-0.06015927195549011,-0.06630426479710473,0.9882352941176471
return_regime,up,spot_delta_band_gains,170,-0.03248333169749993,-0.06200018022209406,-0.07057265440622966,0.9882352941176471
return_regime,up,unhedged_gains,170,-0.03343586921691895,-0.06560635566711426,-0.0713190237681071,0.9882352941176471
vol_regime,low_vol,proto_gains,170,-0.013755792578398113,-0.03356882706284523,-0.04101746239595943,0.9823529411764705
vol_regime,low_vol,vanilla_gains,170,-0.01356883749112432,-0.03405647203326225,-0.042174326048956975,0.9294117647058824
vol_regime,low_vol,spot_delta_band_gains,170,-0.0138687610575289,-0.03656071927398443,-0.04202931953801049,0.9058823529411765
vol_regime,low_vol,unhedged_gains,170,-0.014511633620542638,-0.03669700026512146,-0.045133365525139704,0.8235294117647058
vol_regime,mid_vol,proto_gains,169,-0.016909099591258064,-0.048211995512247086,-0.057679570383495755,0.9230769230769231
vol_regime,mid_vol,vanilla_gains,169,-0.01677822012618906,-0.047870976477861406,-0.057585851185851626,0.9526627218934911
vol_regime,mid_vol,spot_delta_band_gains,169,-0.016881673024560374,-0.045550680905580516,-0.05708595158325301,0.8816568047337278
vol_regime,mid_vol,unhedged_gains,169,-0.0177598190025465,-0.05148012638092041,-0.06214658419291178,0.7337278106508875
vol_regime,high_vol,proto_gains,170,-0.016575997236513478,-0.05534928012639284,-0.061242194639311895,0.8941176470588236
vol_regime,high_vol,vanilla_gains,170,-0.01613746194942745,-0.05511091202497482,-0.06233749083346791,0.9117647058823529
vol_regime,high_vol,spot_delta_band_gains,170,-0.01743327179702807,-0.05780899859964848,-0.06749579558769862,0.8294117647058824
vol_regime,high_vol,unhedged_gains,170,-0.016341477281907026,-0.06089427471160888,-0.0673486524158054,0.5235294117647059
drawdown_regime,mild_dd,proto_gains,170,-0.007813031210475054,-0.030329061485826966,-0.04544402865899934,0.8117647058823529
drawdown_regime,mild_dd,vanilla_gains,170,-0.007680768141889369,-0.030228899605572224,-0.047238095560007624,0.8941176470588236
drawdown_regime,mild_dd,spot_delta_band_gains,170,-0.007765251572345732,-0.03159358948469162,-0.05267953831288549,0.7176470588235294
drawdown_regime,mild_dd,unhedged_gains,170,-0.006723760156070485,-0.031229740381240843,-0.05116800467173258,0.3352941176470588
drawdown_regime,mid_dd,proto_gains,169,-0.017059123382497904,-0.04847355112433433,-0.057433269917964935,0.9940828402366864
drawdown_regime,mid_dd,vanilla_gains,169,-0.016713134422980953,-0.04966074526309967,-0.058957266724771924,0.9112426035502958
drawdown_regime,mid_dd,spot_delta_band_gains,169,-0.01753909722721058,-0.05217661783099174,-0.0601935378379292,0.9230769230769231
drawdown_regime,mid_dd,unhedged_gains,169,-0.017969340967708792,-0.05326833724975586,-0.0635856654908922,0.7869822485207101
drawdown_regime,deep_dd,proto_gains,170,-0.022369617306086345,-0.050593139976263045,-0.05868272441956732,0.9941176470588236
drawdown_regime,deep_dd,vanilla_gains,170,-0.02209023414479281,-0.05038803052157163,-0.058821442226568856,0.9882352941176471
drawdown_regime,deep_dd,spot_delta_band_gains,170,-0.02288322428075309,-0.05258591454476118,-0.05988087670670615,0.9764705882352941
drawdown_regime,deep_dd,unhedged_gains,170,-0.023921061263364903,-0.054659235477447506,-0.06357015503777398,0.9588235294117647
