model,model_family,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure
spot_delta,baseline,1,-0.0199559479951858,,-0.0651537869125604,-0.0758246630430221,0.8048245614035088,0.6422320008277893,0.0246457159519195,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0006941705942153,0.0,0.0001136120408773,,0.0050273463129997,0.0,-0.0003411397337913,,-0.2456140350877192,0.0,0.0109649122807017,,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/AAPL_full_paper_grid_800_asian_call_step_robust,,,,,
spot_delta_band,baseline,1,-0.0200695600360631,,-0.0653299503028392,-0.0754835233092308,0.8157894736842105,0.5422319769859314,0.0114097231999039,0.0,0.0,0.0,0.0,,,,,0.1,True,True,True,0.000580558553338,-0.0001136120408773,0.0,,0.005368486046791,0.0003411397337913,0.0,,-0.256578947368421,-0.0109649122807017,0.0,,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/AAPL_full_paper_grid_800_asian_call_step_robust,,,,,
unhedged,baseline,1,-0.0206501185894012,,-0.069062203168869,-0.0808520093560218,0.5592105263157895,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0006941705942153,-0.000580558553338,,0.0,-0.0050273463129997,-0.005368486046791,,0.0,0.2456140350877192,0.256578947368421,,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/AAPL_full_paper_grid_800_asian_call_step_robust,,,,,
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,3,-0.0151121482873956,0.0004158107617449,-0.0520756607254346,-0.0714764768878618,0.9345121152586772,0.6635453303654989,0.0178421400487422,0.0,0.0,0.0,0.0,22.333333333333332,0.0566481555361921,0.0,0.0,,True,True,True,0.0004093407963713,0.0004012665400902,0.00037115222464,0.0003236864383022,0.0058024475971857,0.0040086731314659,0.003703956802686,0.0035805354515711,-0.3385723641126391,-0.1283562540929926,-0.1191879502292074,0.0386378519973806,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,spot_delta,100.0,True,False,cvar
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,3,-0.0152390012517571,0.0002180172121541,-0.0524332359433174,-0.0720241616169611,0.9390962671905696,0.8005236784617106,0.0169789688661694,6.548788474132285e-05,0.0,6.548788474132285e-05,0.0006548788474132,68.66666666666667,0.0567696349257278,0.0002629848783694,0.0032873109796186,,True,True,True,0.0002824878320097,0.0002744135757287,0.0002442992602785,0.0001968334739406,0.0052547628680864,0.0034609884023666,0.0031562720735867,0.0030328507224718,-0.3431565160445318,-0.1329404060248853,-0.1237721021611001,0.034053700065488,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,spot_delta,25.0,False,False,cvar
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,3,-0.015329577649633,0.0001312885977229,-0.054388204216957,-0.0737270042300224,0.9672560576293384,0.4590343038241068,0.0109805154303709,0.0,0.0,0.0,0.0,5.0,0.0567132913072903,0.0,0.0,,True,True,True,0.0001919114341338,0.0001838371778527,0.0001537228624025,0.0001062570760647,0.0035519202550252,0.0017581457893053,0.0014534294605255,0.0013300081094105,-0.3713163064833006,-0.1611001964636541,-0.1519318925998689,0.0058939096267192,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,spot_delta,10.0,True,False,cvar
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,3,-0.0153303267434239,6.25826991851414e-05,-0.0536633548637231,-0.0730071812868118,0.9345121152586772,0.7081203659375509,0.0128419032941261,0.0,0.0,0.0,0.0,8.0,0.0568256346244342,4.930966469428008e-05,0.0006574621959237,,True,True,True,0.0001911623403429,0.0001830880840619,0.0001529737686117,0.0001055079822738,0.0042717431982358,0.0024779687325159,0.0021732524037361,0.0020498310526212,-0.3385723641126392,-0.1283562540929927,-0.1191879502292075,0.0386378519973805,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,spot_delta,25.0,True,False,cvar
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,3,-0.0153672900050878,0.000194868389457,-0.0524881144364674,-0.0725990359981854,0.9345121152586772,0.7887529134750366,0.0229974907512466,0.018664047151277,0.018664047151277,0.0,0.280943025540275,148.0,0.0574700589152053,0.0,0.0,,True,True,True,0.000154199078679,0.000146124822398,0.0001160105069478,6.854472060998339e-05,0.0046798884868621,0.0028861140211423,0.0025813976923624,0.0024579763412475,-0.3385723641126391,-0.1283562540929926,-0.1191879502292074,0.0386378519973806,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,vanilla,10.0,False,False,cvar
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,3,-0.0153751991068323,9.441877440618996e-05,-0.0537725982566674,-0.0735577767093976,0.9194499017681728,0.6946137150128683,0.013448820138971,4.911591355599214e-05,4.911591355599214e-05,0.0,0.0006548788474132,27.0,0.0565992566865558,0.0,0.0,,True,True,True,0.0001462899769345,0.0001382157206535,0.0001081014052033,6.063561886548996e-05,0.00372114777565,0.0019273733099301,0.0016226569811503,0.0014992356300354,-0.3235101506221349,-0.1132940406024884,-0.1041257367387032,0.0537000654878848,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,spot_delta,10.0,False,False,cvar
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,3,-0.0153992716223001,0.0002278448468169,-0.0543402753770351,-0.0740665694077809,0.8991486574983627,0.6704775343338648,0.0158398410615821,0.0003601833660772,0.0003601833660772,0.0,0.0039292730844793,215.66666666666663,0.0574435773262717,0.0003122945430637,0.0026298487836949,,True,True,True,0.0001222174614667,0.0001141432051857,8.402888973554033e-05,3.6563103397687854e-05,0.0032123550772666,0.0014185806115468,0.0011138642827669,0.000990442931652,-0.3032089063523248,-0.0929927963326783,-0.0838244924688931,0.074001309757695,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,vanilla,100.0,False,False,cvar
