selection,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,paper_label,output_dir
best_screened_proto_mean,proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.0151121482873956,0.0004158107617449,-0.0520756607254346,-0.0714764768878618,0.9345121152586772,0.6635453303654989,0.0178421400487422,0.0,0.0,0.0,0.0,22.333333333333332,0.0566481555361921,0.0,0.0,,True,True,True,0.0004093407963713,0.0004012665400902,0.00037115222464,0.0003236864383022,0.0058024475971857,0.0040086731314659,0.003703956802686,0.0035805354515711,-0.3385723641126391,-0.1283562540929926,-0.1191879502292074,0.0386378519973806,IWM,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust
best_screened_proto_cvar05,proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.0151121482873956,0.0004158107617449,-0.0520756607254346,-0.0714764768878618,0.9345121152586772,0.6635453303654989,0.0178421400487422,0.0,0.0,0.0,0.0,22.333333333333332,0.0566481555361921,0.0,0.0,,True,True,True,0.0004093407963713,0.0004012665400902,0.00037115222464,0.0003236864383022,0.0058024475971857,0.0040086731314659,0.003703956802686,0.0035805354515711,-0.3385723641126391,-0.1283562540929926,-0.1191879502292074,0.0386378519973806,IWM,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,3,-0.0158876441419124,0.000311832012793,-0.0558088925977547,-0.0748912145694096,0.8592010478061559,0.6030687913298607,0.020313227471585,0.0337426326129666,0.0337426326129666,0.0,0.2789783889980353,410.0,0.0606263828266149,0.024835634451019,0.2636423405654175,,True,True,True,-0.0003661550581455,-0.0003742293144265,-0.0004043436298767,-0.0004518094162146,0.0023877099156379,0.0005939354499181,0.0002892191211382,0.0001657977700233,-0.263261296660118,-0.0530451866404715,-0.0438768827766863,0.1139489194499018,IWM,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust
best_screened_proto_mean,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0363756418228149,0.0021262469808738,-0.1255041892329851,-0.1772408485412597,0.8422688422688424,0.937448263168335,0.0543503202497959,0.1675407925407925,0.1165889665889666,0.0509518259518259,0.5625485625485626,285.3333333333333,0.1595235158808564,0.0998442367601246,0.573208722741433,,True,True,True,0.001875369499127,0.0007292578617731,0.0006216342250506,0.0011679728825887,0.0028779904047648,-0.0066678176323572,-0.0071183939774831,-0.0100878477096557,-0.2113442113442114,-0.0170940170940172,-0.0155400155400156,0.1072261072261071,NVDA,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust
best_screened_proto_cvar05,proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.037490307042996,0.0018864827699141,-0.1215137218435605,-0.1635487824678421,0.9572649572649572,1.0,0.0334436651319265,0.1948717948717948,0.1676961926961927,0.0271756021756021,0.9945609945609948,109.0,0.1712171437434643,0.1571845794392523,0.7180685358255451,,True,True,True,0.0007607042789459,-0.0003854073584079,-0.0004930309951305,5.330766240756179e-05,0.0165700564781824,0.0070242484410603,0.0065736720959345,0.0036042183637619,-0.3263403263403264,-0.1320901320901322,-0.1305361305361305,-0.0077700077700078,NVDA,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.0394493490457534,0.0031035703540024,-0.1388689408699671,-0.1814392606417338,0.7995337995337994,1.0,0.0291362510373195,0.0462315462315462,0.0013791763791763,0.0448523698523698,0.303030303030303,62.666666666666664,0.1546359294189598,0.0222546728971962,0.2133956386292834,,True,True,True,-0.0011983377238114,-0.0023444493611653,-0.0024520729978879,-0.0019057343403498,-0.0013204216957092,-0.0108662297328313,-0.0113168060779571,-0.0142862598101297,-0.1686091686091685,0.0256410256410256,0.0271950271950273,0.14996114996115,NVDA,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust
best_screened_proto_mean,proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,2,-0.0155747225508093,0.0002403542574345,-0.0479778986424207,-0.0583347491919994,0.918467583497053,0.7581852674484253,0.0219471091404557,0.0,0.0,0.0,0.0,14.5,0.0575156556116417,0.0,0.0,,True,True,True,0.0004172334447503,0.0001084161922335,0.0001089119662841,-0.0002082443485657,0.0093144848942756,0.0061013636489709,0.0062285674115021,0.0043748592336972,-0.241977734119188,-0.0684348395546824,-0.0658153241650293,0.0094957432874918,QQQ,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust
best_screened_proto_cvar05,proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,2,-0.0155747225508093,0.0002403542574345,-0.0479778986424207,-0.0583347491919994,0.918467583497053,0.7581852674484253,0.0219471091404557,0.0,0.0,0.0,0.0,14.5,0.0575156556116417,0.0,0.0,,True,True,True,0.0004172334447503,0.0001084161922335,0.0001089119662841,-0.0002082443485657,0.0093144848942756,0.0061013636489709,0.0062285674115021,0.0043748592336972,-0.241977734119188,-0.0684348395546824,-0.0658153241650293,0.0094957432874918,QQQ,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,2,-0.0157633353956043,0.0002025781688231,-0.0501857981085777,-0.0617254134267568,0.8939096267190569,0.6492115259170532,0.0128483711741864,0.0,0.0,0.0,0.0,39.0,0.0575287170195952,0.0,0.0,,True,True,True,0.0002286205999553,-8.019665256142616e-05,-7.970087851087368e-05,-0.0003968571933607,0.0059238206595182,0.0027106994142134,0.0028379031767447,0.0009841949989398,-0.2174197773411919,-0.0438768827766863,-0.0412573673870332,0.0340537000654879,QQQ,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust
best_screened_proto_mean,proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.0120151673133174,0.0001503121322053,-0.0382748012741406,-0.0522225586076577,0.9194499017681728,0.60810653368632,0.016639328872164,0.0022920759659463,0.0,0.0022920759659463,0.0045841519318926,39.333333333333336,0.0435946744106609,0.0011505588428665,0.0026298487836949,,True,True,True,0.00018245074898,2.4398788809776303e-05,4.522160937388796e-05,-3.3212825655937195e-05,0.0031709261238574,0.0019672897954781,0.0019228085875511,0.0009908688565095,-0.2337917485265226,-0.0667976424361491,-0.0628683693516698,0.0333988212180746,SPY,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust
