model,model_family,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,paper_label,selection,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure
unhedged,baseline,1,-0.0206501185894012,,-0.069062203168869,-0.0808520093560218,0.5592105263157895,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0006941705942153,-0.000580558553338,,0.0,-0.0050273463129997,-0.005368486046791,,0.0,0.2456140350877192,0.256578947368421,,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/AAPL_full_paper_grid_800_asian_call_step_robust,Unhedged,unhedged,,,,,
spot_delta,baseline,1,-0.0199559479951858,,-0.0651537869125604,-0.0758246630430221,0.8048245614035088,0.6422320008277893,0.0246457159519195,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0006941705942153,0.0,0.0001136120408773,,0.0050273463129997,0.0,-0.0003411397337913,,-0.2456140350877192,0.0,0.0109649122807017,,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/AAPL_full_paper_grid_800_asian_call_step_robust,Spot-Delta,spot_delta,,,,,
spot_delta_band,baseline,1,-0.0200695600360631,,-0.0653299503028392,-0.0754835233092308,0.8157894736842105,0.5422319769859314,0.0114097231999039,0.0,0.0,0.0,0.0,,,,,0.1,True,True,True,0.000580558553338,-0.0001136120408773,0.0,,0.005368486046791,0.0003411397337913,0.0,,-0.256578947368421,-0.0109649122807017,0.0,,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/AAPL_full_paper_grid_800_asian_call_step_robust,Spot-Delta Band,spot_delta_band,,,,,
unhedged,baseline,3,-0.0155214890837669,0.0001008794895626,-0.0568685452143351,-0.0772789244850476,0.5959397511460379,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-8.074256281057415e-06,-3.818857173124891e-05,-8.565435806910139e-05,0.0,-0.0017937744657198,-0.0020984907944997,-0.0022219121456146,0.0,0.2102161100196464,0.2193844138834316,0.3772102161100198,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,Unhedged,unhedged,,,,,
spot_delta,baseline,3,-0.0155134148274858,0.0001890591080137,-0.0538096052904923,-0.0754851500193278,0.8061558611656844,0.5909596482912699,0.0193859878927469,0.0,0.0,0.0,0.0,,,,,,True,True,True,8.074256281057415e-06,0.0,-3.0114315450191494e-05,-7.758010178804398e-05,0.0017937744657198,0.0,-0.0003047163287798,-0.0004281376798947,-0.2102161100196464,0.0,0.0091683038637851,0.1669941060903733,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,Spot-Delta,spot_delta,,,,,
spot_delta_band,baseline,3,-0.0154833005120356,0.0001610868509344,-0.0537938925127188,-0.0751804336905479,0.8153241650294696,0.5076263050238291,0.0113904997706413,0.0,0.0,0.0,0.0,,,,,0.0833333333333333,True,True,True,3.818857173124891e-05,3.0114315450191494e-05,0.0,-4.746578633785248e-05,0.0020984907944997,0.0003047163287798,0.0,-0.0001234213511149,-0.2193844138834316,-0.0091683038637851,0.0,0.1578258022265881,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,Spot-Delta Band,spot_delta_band,,,,,
vanilla,vanilla,3,-0.0154358347256978,0.0001002540917936,-0.0554183828334013,-0.075057012339433,0.9731499672560576,0.3688454131285349,0.0096364139268795,0.0,0.0,0.0,0.0,77.66666666666667,0.056840909513024,0.0,0.0,,True,True,True,8.565435806910139e-05,7.758010178804398e-05,4.746578633785248e-05,0.0,0.0022219121456146,0.0004281376798947,0.0001234213511149,0.0,-0.3772102161100198,-0.1669941060903733,-0.1578258022265881,0.0,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,Vanilla DH,vanilla,,,,,cvar
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,3,-0.0151121482873956,0.0004158107617449,-0.0520756607254346,-0.0714764768878618,0.9345121152586772,0.6635453303654989,0.0178421400487422,0.0,0.0,0.0,0.0,22.333333333333332,0.0566481555361921,0.0,0.0,,True,True,True,0.0004093407963713,0.0004012665400902,0.00037115222464,0.0003236864383022,0.0058024475971857,0.0040086731314659,0.003703956802686,0.0035805354515711,-0.3385723641126391,-0.1283562540929926,-0.1191879502292074,0.0386378519973806,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,100.0,True,False,cvar
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,3,-0.0151121482873956,0.0004158107617449,-0.0520756607254346,-0.0714764768878618,0.9345121152586772,0.6635453303654989,0.0178421400487422,0.0,0.0,0.0,0.0,22.333333333333332,0.0566481555361921,0.0,0.0,,True,True,True,0.0004093407963713,0.0004012665400902,0.00037115222464,0.0003236864383022,0.0058024475971857,0.0040086731314659,0.003703956802686,0.0035805354515711,-0.3385723641126391,-0.1283562540929926,-0.1191879502292074,0.0386378519973806,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,spot_delta,100.0,True,False,cvar
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,3,-0.0158876441419124,0.000311832012793,-0.0558088925977547,-0.0748912145694096,0.8592010478061559,0.6030687913298607,0.020313227471585,0.0337426326129666,0.0337426326129666,0.0,0.2789783889980353,410.0,0.0606263828266149,0.024835634451019,0.2636423405654175,,True,True,True,-0.0003661550581455,-0.0003742293144265,-0.0004043436298767,-0.0004518094162146,0.0023877099156379,0.0005939354499181,0.0002892191211382,0.0001657977700233,-0.263261296660118,-0.0530451866404715,-0.0438768827766863,0.1139489194499018,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Shortfall frontier),best_screened_proto_shortfall,vanilla,50.0,False,False,cvar
