model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.010812900960445404,0.014228319749236107,-0.060567612648010256,-0.037189173698425296,-0.05228669196367264,-0.005922555923461914,-0.0,0.6475306036302237,-0.010812900960445404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.010606721043586731,0.013405488803982735,-0.05297134757041931,-0.03513488098978996,-0.04785517230629921,-0.007265734486281872,0.0034674682654440387,0.830308146897425,-0.010812900960445404,0.0003540700417943299,0.00014788944099564105,0.018450746312737465,0.6231619715690613,0.2567652463912964,0.6231619715690613,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.010648832656443119,0.013329789973795414,-0.0532836440205574,-0.03504281863570213,-0.0479213185608387,-0.007320255972445011,0.0032330382615327826,0.8357956943858168,-0.010812900960445404,0.00027199837495572865,0.00010793080582516268,0.013484452851116657,0.6031619906425476,0.2534923255443573,0.6031619906425476,0.0,0.0,0.0,0.0,0.02,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.01142459362745285,0.01583361066877842,-0.06796369791030883,-0.03588908910751343,-0.05780043825507164,-0.00764155387878418,-0.0,0.6410256410256411,-0.01142459362745285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.011230518110096455,0.014249353669583797,-0.061617585867643355,-0.035586484149098395,-0.05293780937790871,-0.00787121057510376,0.003211371554061767,0.8500986193293886,-0.01142459362745285,0.0003431429504416883,0.0001490673894295469,0.01859399676322937,0.6140170097351074,0.2571861743927002,0.6231619715690613,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.011215087957680225,0.0141762625426054,-0.06178316205739975,-0.03544212989509106,-0.052898868918418884,-0.00784776359796524,0.0030428335769101963,0.8500986193293886,-0.01142459362745285,0.00031811659573577344,0.0001086113479686901,0.01356873195618391,0.5940170288085938,0.2539448142051697,0.6031619906425476,0.0,0.0,0.0,0.0,0.02,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.012164087034761906,0.013611574657261372,-0.05801255226135254,-0.038180756568908694,-0.04954439774155617,-0.008543729782104492,-0.0,0.7013752455795678,-0.012164087034761906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.012126432731747627,0.0135132921859622,-0.054799141585826876,-0.03660512566566467,-0.04973217099905014,-0.009344736114144325,0.002876707632094619,0.8703339882121808,-0.012164087034761906,0.00018626336532179266,0.00014860890223644674,0.018523411825299263,0.5905979871749878,0.2570958733558655,0.6231619715690613,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.01212232280522585,0.013339745812118053,-0.05504509314894676,-0.03602077439427376,-0.04957026243209839,-0.00907902792096138,0.00246823565103113,0.8722986247544204,-0.012164087034761906,0.0001500031357863918,0.00010824007040355355,0.013519174419343472,0.5705980062484741,0.2539888322353363,0.6031619906425476,0.0,0.0,0.0,0.0,0.02,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.01295321062207222,0.011788834817707539,-0.052890733778476716,-0.034130828082561494,-0.04720230773091316,-0.009495093487203121,-0.0018575489521026613,0.9915576192486281,-0.010812900960445404,0.00043401270522736013,0.0025743222795426846,0.05000000074505806,0.22081738710403442,0.8772894144058228,1.0,0.725,0.325,0.4,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,0.0,0.12504325428977608,val_loss,0.05000000074505806,0.8786643147468567,0.725,1.0,2369.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.013443602249026299,0.012954633682966232,-0.05903197035193443,-0.032835672795772555,-0.05132883042097092,-0.010271446779370308,-0.0020446497714146973,0.9921104536489151,-0.01142459362745285,0.0005588901694864035,0.0025778997223824263,0.05000000074505806,0.2205744981765747,0.8772876262664795,1.0,0.725,0.325,0.4,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,0.0,0.12504325428977608,val_loss,0.05000000074505806,0.8786643147468567,0.725,1.0,507.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.014012224040925503,0.011330812238156796,-0.052714980244636535,-0.03525807857513428,-0.04588441178202629,-0.011453330516815186,-0.0019965543877333413,0.9941060903732809,-0.012164087034761906,0.0007272229413501918,0.002575360704213381,0.05000000074505806,0.22011148929595947,0.8772875070571899,1.0,0.725,0.325,0.4,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,0.0,0.12504325428977608,val_loss,0.05000000074505806,0.8786643147468567,0.725,1.0,509.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,-0.013846385292708874,0.015733549371361732,-0.066562480032444,-0.04241620302200318,-0.05881816893815994,-0.009121464565396309,0.0003897674847394223,0.9316167159138877,-0.010812900960445404,-0.00046175901661626995,0.0025717259850353003,0.04999999329447746,0.10978853702545166,0.6816735863685608,1.0,0.34931405656395104,0.0,0.34931405656395104,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,0.0,0.08936627730910889,val_loss,0.05000000447034836,0.6800323128700256,0.3450197238658777,1.0,2369.0,20.0,2.0,spot_delta,10.0,False,False,0.11864098161458969,0.15664663910865784
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,-0.014411305077373981,0.01744319126009941,-0.07491688132286071,-0.041103043407201764,-0.06453114002943039,-0.010738449171185493,0.0008867214666679487,0.9171597633136095,-0.01142459362745285,-0.0004130218585487455,0.002573690377175808,0.05000000074505806,0.10945820808410645,0.6815585494041443,1.0,0.34916173570019726,0.0,0.34916173570019726,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,0.0,0.08936627730910889,val_loss,0.05000000447034836,0.6800323128700256,0.3450197238658777,1.0,507.0,20.0,2.0,spot_delta,10.0,False,False,0.11864098161458969,0.15664663910865784
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,-0.015437249094247818,0.015098849311470985,-0.06585107207298278,-0.04342280924320221,-0.05635015293955803,-0.012313819490373135,0.000362416682764886,0.93713163064833,-0.012164087034761906,-0.0006987775559537113,0.00257438444532454,0.05000000074505806,0.10956525802612305,0.6816667318344116,1.0,0.34945972495088407,0.0,0.34945972495088407,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,0.0,0.08936627730910889,val_loss,0.05000000447034836,0.6800323128700256,0.3450197238658777,1.0,509.0,20.0,2.0,spot_delta,10.0,False,False,0.11864098161458969,0.15664663910865784
proto_source=spot_delta_k=25_weighted=0_learnw=0,train,1234,proto,-0.01385409664362669,0.01586197502911091,-0.06733234733343124,-0.042774944752454754,-0.05907819792628288,-0.009154404513537884,0.0006506707984954088,0.9273955255382018,-0.010812900960445404,-0.00046793767251074314,0.002573257777839899,0.05000000074505806,0.08882606029510498,0.6781337261199951,1.0,0.32554875474883915,0.0,0.32554875474883915,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,0.0,0.08740070553011531,val_loss,0.05000000074505806,0.6759275197982788,0.32514792899408285,1.0,2369.0,20.0,2.0,spot_delta,25.0,False,False,0.11276176571846008,0.1520136147737503
proto_source=spot_delta_k=25_weighted=0_learnw=0,val,1234,proto,-0.01439234521239996,0.017488569021224976,-0.07581785142421722,-0.04095304496586323,-0.06472991406917572,-0.010876432061195374,0.0007884086575359099,0.9092702169625246,-0.01142459362745285,-0.0003936962748412043,0.0025740559212863445,0.05000000074505806,0.08873975276947021,0.6781325340270996,1.0,0.32569033530571995,0.0,0.32569033530571995,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,0.0,0.08740070553011531,val_loss,0.05000000074505806,0.6759275197982788,0.32514792899408285,1.0,507.0,20.0,2.0,spot_delta,25.0,False,False,0.11276176571846008,0.1520136147737503
proto_source=spot_delta_k=25_weighted=0_learnw=0,test,1234,proto,-0.015436730347573757,0.015220553614199162,-0.06597663223743438,-0.043702194839715956,-0.0565279982984066,-0.012169554829597473,0.0005220115650445206,0.93713163064833,-0.012164087034761906,-0.0006969422684051096,0.002575700171291828,0.05000000074505806,0.08717614412307739,0.6780970096588135,1.0,0.32544204322200393,0.0,0.32544204322200393,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke3/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,0.0,0.08740070553011531,val_loss,0.05000000074505806,0.6759275197982788,0.32514792899408285,1.0,509.0,20.0,2.0,spot_delta,25.0,False,False,0.11276176571846008,0.1520136147737503
