model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,3,-0.03787431245048841,0.002828180042985284,-0.127182778591911,-0.150609423716863,0.9437134502923977,0.970511774222056,0.031571044897039734,0.06487573099415204,0.06487573099415204,0.0,0.27923976608187134,161.0,0.15272572046278451,0.016611600587371513,0.1659324522760646,,True,True,True,0.0011485181748867035,0.0008936276038487706,0.0008896005650361333,0.0017533612747987065,0.003373458981513977,-0.0013550917307535992,-0.0007940779129664288,-0.002682730555534363,-0.32675438596491235,-0.13157894736842113,-0.125,0.056286549707602274
spot_delta_band,baseline,,,,,,3,-0.038763913015524544,0.0013327061745255881,-0.12643848359584808,-0.14981534580389658,0.8187134502923977,0.5422319869200388,0.011546604335308075,0.0,0.0,0.0,0.0,,,,,0.09999999999999999,True,True,True,0.0002589176098505702,4.027038812637329e-06,0.0,0.0008637607097625732,0.004167536894480406,-0.0005610138177871704,0.0,-0.001888652642567934,-0.20175438596491235,-0.006578947368421129,0.0,0.18128654970760227
spot_delta,baseline,,,,,,3,-0.03876794005433718,0.0012394963973335,-0.12617243764301142,-0.1492543319861094,0.8121345029239766,0.6422320008277893,0.024356046070655186,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0002548905710379329,0.0,-4.027038812637329e-06,0.0008597336709499359,0.004728550712267576,0.0,0.0005610138177871704,-0.0013276388247807636,-0.19517543859649122,0.0,0.006578947368421129,0.1878654970760234
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.038854061315457024,0.001746470508043929,-0.12453354833026727,-0.14892035722732544,0.9195906432748538,1.0,0.020533477266629536,0.004806286549707602,0.0044225146198830405,0.00038377192982456146,0.09576023391812866,37.666666666666664,0.15007636831189874,0.0004955947136563877,0.007342143906020559,,True,True,True,0.00016876930991809036,-8.612126111984253e-05,-9.014829993247986e-05,0.0007736124098300934,0.005062525471051543,0.000333974758783967,0.0008949885765711374,-0.0009936640659967966,-0.3026315789473685,-0.10745614035087725,-0.10087719298245612,0.08040935672514615
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,3,-0.038909597943226494,0.0019215490235995826,-0.12384441681206226,-0.14702852567036948,0.9473684210526315,0.9279790123303732,0.025989112133781116,0.12490862573099415,0.12487207602339183,3.654970760233918e-05,0.6637426900584796,265.3333333333333,0.1509343858793236,0.0037995594713656385,0.15051395007342142,,True,True,True,0.00011323268214862015,-0.00014165788888931274,-0.00014568492770195007,0.0007180757820606232,0.006954357028007507,0.002225806315739931,0.0027868201335271015,0.0008981674909591675,-0.33040935672514615,-0.13523391812865493,-0.1286549707602338,0.052631578947368474
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.038932050267855324,0.0020347169818881058,-0.12465691069761912,-0.14819722374280295,0.9671052631578947,0.7644700507322947,0.021488476855059464,0.041264619883040934,0.041264619883040934,0.0,0.6418128654970761,7.333333333333333,0.1509807829291624,0.0025697503671071953,0.09177679882525697,,True,True,True,9.078035751979019e-05,-0.0001641102135181427,-0.00016813725233078003,0.0006956234574317932,0.005785658955574036,0.0010571082433064594,0.0016181220610936298,-0.0002705305814743042,-0.3501461988304093,-0.1549707602339181,-0.14839181286549696,0.03289473684210531
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.03895316024621328,0.00190766774099286,-0.12549500415722528,-0.1490186800559362,0.9298245614035089,0.9117435415585836,0.020513384292523067,0.07136330409356725,0.07136330409356725,0.0,0.3296783625730994,409.0,0.15143931943577923,0.0002936857562408223,0.008076358296622614,,True,True,True,6.967037916183472e-05,-0.00018522019187609817,-0.0001892472306887355,0.0006745134790738377,0.004964202642440796,0.00023565193017321961,0.00079666574796039,-0.001091986894607544,-0.3128654970760235,-0.11769005847953229,-0.11111111111111116,0.07017543859649111
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.03900307541092237,0.0018058397886251422,-0.12491006528337796,-0.1479251484076182,0.8918128654970761,1.0,0.02804795652627945,0.0012792397660818713,0.0007309941520467836,0.0005482456140350877,0.00804093567251462,34.0,0.15002725321934907,0.00033039647577092515,0.004405286343612335,,True,True,True,1.975521445274353e-05,-0.00023513535658518936,-0.0002391623953978267,0.0006245983143647466,0.006057734290758787,0.001329183578491211,0.0018901973962783813,1.5447537104473774e-06,-0.2748538011695907,-0.07967836257309946,-0.07309941520467833,0.10818713450292394
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,3,-0.039010648926099144,0.0017985541570553919,-0.12507987581193447,-0.1490987092256546,0.9671052631578947,0.8049969971179962,0.020308127626776695,0.0013157894736842105,0.0013157894736842105,0.0,0.007309941520467836,160.66666666666666,0.15060299689721499,0.0003671071953010279,0.0022026431718061676,,True,True,True,1.2181699275970459e-05,-0.00024270887176196243,-0.00024673591057459976,0.0006170247991879735,0.004884173472722381,0.0001556227604548044,0.0007166365782419748,-0.0011720160643259592,-0.3501461988304093,-0.1549707602339181,-0.14839181286549696,0.03289473684210531
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.03901735693216324,0.0017155534007370675,-0.12408492527902126,-0.14637091755867004,0.9722222222222222,1.0,0.025736064960559208,0.009594298245614035,0.008351608187134504,0.001242690058479532,0.14108187134502925,446.0,0.15115116635772363,0.0029552129221732744,0.054331864904552135,,True,True,True,5.473693211875685e-06,-0.0002494168778260572,-0.00025344391663869453,0.0006103167931238787,0.007611965139706939,0.0028834144274393625,0.003444428245226533,0.001555775602658599,-0.35526315789473684,-0.1600877192982456,-0.15350877192982448,0.02777777777777779
unhedged,baseline,,,,,,3,-0.039022830625375114,0.0017610023770476754,-0.1294522484143575,-0.15398288269837698,0.6169590643274854,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0002548905710379329,-0.0002589176098505702,0.000604843099912003,0.0,-0.004728550712267576,-0.004167536894480406,-0.00605618953704834,0.0,0.19517543859649122,0.20175438596491235,0.3830409356725146
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.03903620565931002,0.0017259240592119778,-0.12364816044767697,-0.14794125159581503,0.956140350877193,0.9051714738210043,0.023756550004084904,0.0044225146198830405,0.0038011695906432752,0.000621345029239766,0.09795321637426901,25.0,0.15002539345096091,0.0004588839941262848,0.004405286343612335,,True,True,True,-1.3375033934906466e-05,-0.00026826560497283936,-0.0002722926437854767,0.0005914680659770966,0.006041631102561951,0.0013130803902943744,0.0018740942080815448,-1.455843448638916e-05,-0.3391812865497076,-0.14400584795321636,-0.13742690058479523,0.04385964912280704
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.03908586253722509,0.0018698538290069962,-0.1257984098047018,-0.15117580691973367,0.915204678362573,0.913515547911326,0.021401563348869484,0.028709795321637425,0.028709795321637425,0.0,0.24780701754385961,65.0,0.15009853001900028,0.0012848751835535977,0.02643171806167401,,True,True,True,-6.303191184997559e-05,-0.0003179224828879085,-0.0003219495217005458,0.0005418111880620274,0.0028070757786433087,-0.0019214749336242676,-0.0013604611158370972,-0.003249113758405031,-0.29824561403508765,-0.10307017543859642,-0.0964912280701753,0.08479532163742698
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.03918673967321714,0.0016909945804860615,-0.12384929197529952,-0.14930385847886404,0.8691520467836257,0.9742626349131266,0.027585484087467194,0.01114766081871345,0.010654239766081873,0.000493421052631579,0.10233918128654972,57.333333333333336,0.14989070472430585,0.0006791483113069017,0.005873715124816447,,True,True,True,-0.00016390904784202576,-0.00041879961887995865,-0.000422826657692596,0.00044093405206997727,0.0046790242195129395,-4.952649275463683e-05,0.0005114873250325336,-0.0013771653175354004,-0.2521929824561403,-0.05701754385964908,-0.05043859649122795,0.13084795321637432
