model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.02437899261713028,0.0326961874961853,-0.13335646629333497,-0.09242570400238037,-0.11856567859649658,-0.01033926010131836,-0.0,0.585901224145209,-0.02437899261713028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02439028024673462,0.03192264586687088,-0.13047454953193666,-0.09062395542860031,-0.11539239436388016,-0.013182871043682098,0.005443972814828156,0.7969607429295061,-0.02437899261713028,0.00014331475540529937,0.00015460261784028262,0.019285017624497414,0.584227979183197,0.2583058476448059,0.5917689800262451,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.024325378239154816,0.031823091208934784,-0.13141347885131835,-0.09030923545360565,-0.11524704843759537,-0.012845560908317566,0.004819997772574423,0.7986492190797805,-0.02437899261713028,0.00015142957272473723,9.781585686141625e-05,0.01222640834748745,0.5342279672622681,0.24150705337524414,0.5417689681053162,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.02649381011724472,0.03641517087817192,-0.14404468536376952,-0.09211417436599731,-0.13208924233913422,-0.01181340217590332,-0.0,0.6074950690335306,-0.02649381011724472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.02637564018368721,0.035432636737823486,-0.14152523130178452,-0.08948093578219414,-0.12769566476345062,-0.013527323491871357,0.005680637760087846,0.7790927021696252,-0.02649381011724472,0.00027617390151135623,0.00015800524852238595,0.019686028361320496,0.5756049752235413,0.25847128033638,0.5868099927902222,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.026282500475645065,0.03535647317767143,-0.14228909611701965,-0.0894127756357193,-0.1275378167629242,-0.013214707374572754,0.005110757611691949,0.7869822485207101,-0.02649381011724472,0.00030943017918616533,9.811861673370004e-05,0.012262934818863869,0.5256049633026123,0.24209986627101898,0.5368099808692932,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.027852093800902367,0.03413837403059006,-0.13462761878967286,-0.09756858348846435,-0.12290962040424347,-0.016820669174194336,-0.0,0.630648330058939,-0.027852093800902367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.027853598818182945,0.03420223295688629,-0.13961808860301972,-0.09291243702173232,-0.1252089887857437,-0.016879485920071602,0.005206029769033192,0.8192534381139489,-0.027852093800902367,0.0001533257745904848,0.000154830064275302,0.019294098019599915,0.5942999720573425,0.2585732936859131,0.5942999720573425,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.027775710448622704,0.03407963365316391,-0.13829476833343507,-0.09223947077989578,-0.12458308041095734,-0.01694580167531967,0.004576604533940551,0.8212180746561886,-0.027852093800902367,0.0001743095926940441,9.792581113288179e-05,0.01223902776837349,0.5442999601364136,0.24178478121757507,0.5442999601364136,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.024193160235881805,0.03044113516807556,-0.1272309136390686,-0.08763692826032639,-0.11280980706214905,-0.010823078453540802,0.0006618314306251668,0.9164204305614183,-0.02437899261713028,0.0003985984658356756,0.00021276749612297863,0.025126932188868523,0.16655200719833374,0.25203976035118103,1.0,0.0997256226255804,0.0997256226255804,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,585.0,0.10365475442706877,val_loss,0.02084890939295292,0.1629946380853653,0.00014792899408284024,0.005917159763313609,2369.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.026169700548052788,0.034014735370874405,-0.136832312643528,-0.08783807903528214,-0.12588442862033844,-0.01219906285405159,0.0005881425808183842,0.9072978303747534,-0.02649381011724472,0.0005373030435293913,0.00021319107327144593,0.025126522406935692,0.1560078263282776,0.2516990303993225,1.0,0.09940828402366864,0.09940828402366864,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,585.0,0.10365475442706877,val_loss,0.02084890939295292,0.1629946380853653,0.00014792899408284024,0.005917159763313609,507.0,20.0,2.0,,,,,,
