model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.06987978766361873,0.0009629975677378946,-0.2590915004412333,-0.3243991235891978,0.8313908313908315,1.0,0.04518115520477295,0.2754467754467755,0.2753302253302254,0.00011655011655011655,0.93006993006993,313.3333333333333,0.28927158817265913,0.06508956386292834,0.795171339563863,,True,True,True,0.0032891506950060434,0.0021430402994155884,0.00203541914621988,0.0024949361880620274,0.018331478039423588,0.008319646120071411,0.008254140615463257,0.0021343926588693884,-0.19891219891219902,-0.010101010101010277,-0.011655011655011704,0.15928515928515918
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.07099294662475586,0.0015924588534360564,-0.24941060145696003,-0.33562705914179486,0.8531468531468532,1.0,0.040299575154980026,0.2795648795648796,0.2748251748251748,0.00473970473970474,0.8935508935508936,504.0,0.28909820456249274,0.07891355140186916,0.6238317757009345,,True,True,True,0.002175991733868912,0.0010298813382784572,0.0009222601850827489,0.0013817772269248962,0.007103542486826542,-0.0029082894325256348,-0.002973794937133789,-0.009093542893727657,-0.22066822066822078,-0.03185703185703204,-0.033411033411033464,0.13752913752913742
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.07102794448534648,0.0031646211025510526,-0.24900310536225637,-0.32389141122500104,0.8943278943278944,1.0,0.0321793258190155,0.1261849261849262,0.12554390054390055,0.000641025641025641,0.35975135975135974,188.33333333333334,0.29018098479644555,0.023539719626168226,0.5763239875389409,,True,True,True,0.0021409938732782907,0.0009948834776878357,0.0008872623244921274,0.0013467793663342748,0.018839190403620365,0.008827358484268188,0.008761852979660034,0.002642105023066166,-0.26184926184926194,-0.07303807303807319,-0.07459207459207462,0.09634809634809627
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.07130938271681468,0.0032997612855606355,-0.2557662109533945,-0.3203637699286143,0.975135975135975,0.9464661876360575,0.025762140130003292,0.011596736596736596,0.011577311577311579,1.9425019425019425e-05,0.38383838383838387,358.3333333333333,0.2905076827895697,0.011000778816199376,0.36604361370716504,,True,True,True,0.00185955564181009,0.000713445246219635,0.0006058240930239267,0.001065341134866074,0.022366831700007084,0.012354999780654907,0.012289494276046753,0.0061697463194528845,-0.3426573426573426,-0.15384615384615385,-0.15540015540015528,0.015540015540015606
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.07134842872619629,0.002150650111595339,-0.2630605101585388,-0.331489235162735,0.85003885003885,1.0,0.0394633865604798,0.035450660450660455,0.035450660450660455,0.0,0.3752913752913753,206.66666666666666,0.29003788653444906,0.001207165109034268,0.034267912772585674,,True,True,True,0.0018205096324284825,0.0006743992368380275,0.0005667780836423192,0.0010262951254844666,0.011241366465886415,0.0012295345465342389,0.0011640290419260846,-0.004955718914667784,-0.2175602175602176,-0.02874902874902885,-0.030303030303030276,0.1406371406371406
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,3,-0.07135142634312312,0.003482678252090132,-0.25701928536097207,-0.3251672883828481,0.9020979020979021,0.9952584505081177,0.0380531990279754,0.04372571872571873,0.04372571872571873,0.0,0.38694638694638694,126.66666666666667,0.29118026534820735,0.017854361370716512,0.3045171339563863,,True,True,True,0.0018175120155016489,0.0006714016199111938,0.0005637804667154855,0.001023297508557633,0.017563313245773315,0.007551481326421139,0.007485975821812985,0.0013662278652191162,-0.26961926961926963,-0.08080808080808088,-0.08236208236208231,0.08857808857808858
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.07147729148467381,0.0017718095556907441,-0.2588386317094167,-0.3298407296339671,0.8850038850038849,0.8229324420293173,0.023083055391907692,0.14019036519036518,0.14019036519036518,0.0,0.3333333333333333,314.6666666666667,0.2935100764721179,0.0291082554517134,0.3177570093457944,,True,True,True,0.0016916468739509583,0.0005455364783605032,0.0004379153251647949,0.0008974323670069423,0.0128898719946543,0.002878040075302124,0.0028125345706939697,-0.0033072133858998987,-0.2525252525252525,-0.06371406371406374,-0.06526806526806517,0.10567210567210572
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.07158853362003963,0.001997647266607519,-0.26226256489753724,-0.32637904087702435,0.8733488733488733,1.0,0.026731992761294048,0.15574980574980574,0.15155400155400153,0.004195804195804196,0.6052836052836054,77.0,0.2902124745087449,0.020560747663551402,0.31542056074766356,,True,True,True,0.001580404738585145,0.00043429434299468994,0.00032667318979898163,0.000786190231641129,0.01635156075159705,0.006339728832244873,0.006274223327636719,0.00015447537104285036,-0.2408702408702409,-0.05205905205905215,-0.053613053613053574,0.11732711732711731
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.07188203434149425,0.0027256255167621957,-0.2567137042681376,-0.3327500323454539,0.8818958818958819,1.0,0.0381003183623155,0.16540404040404041,0.16466588966588966,0.0007381507381507383,0.763014763014763,115.66666666666667,0.2903911187568813,0.04384735202492212,0.6386292834890965,,True,True,True,0.0012869040171305246,0.00014079362154006958,3.317246834436127e-05,0.0004926895101865086,0.009980569283167484,-3.126263618469238e-05,-9.676814079284668e-05,-0.006216516097386715,-0.2494172494172494,-0.06060606060606066,-0.06216006216006209,0.1087801087801088
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.07189990828434627,0.0026742762883146657,-0.2610527078310649,-0.33712705969810486,0.8671328671328672,0.7153765360514323,0.02485290604333083,0.0,0.0,0.0,0.0,319.3333333333333,0.28891093644203264,1.9470404984423677e-05,0.000778816199376947,,True,True,True,0.0012690300742785043,0.00012291967868804932,1.529852549234101e-05,0.0004748155673344884,0.005603541930516542,-0.004408289988835634,-0.0044737954934437885,-0.010593543450037657,-0.23465423465423474,-0.04584304584304599,-0.04739704739704742,0.12354312354312347
spot_delta_band,baseline,,,,,,3,-0.07191520680983861,0.0026119691429269515,-0.25978020032246907,-0.33265326420466107,0.8197358197358198,0.6922129988670349,0.017435498535633087,0.0,0.0,0.0,0.0,,,,,0.01,True,True,True,0.0012537315487861633,0.00010762115319570831,0.0,0.00045951704184214737,0.01007733742396033,6.55055046081543e-05,0.0,-0.006119747956593868,-0.18725718725718732,0.0015540015540014274,0.0,0.1709401709401709
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.07195709397395451,0.002231532069693555,-0.25906525254249574,-0.33004717032114667,0.9735819735819735,0.925007184346517,0.025579463690519333,0.012490287490287492,0.012490287490287492,0.0,0.29215229215229216,164.0,0.29120806856115705,0.013590342679127726,0.3224299065420561,,True,True,True,0.0012118443846702576,6.573398907980255e-05,-4.188716411590576e-05,0.0004176298777262416,0.012683431307474735,0.0026715993881225586,0.0026060938835144043,-0.003513654073079464,-0.34110334110334106,-0.15229215229215232,-0.15384615384615374,0.017094017094017144
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,3,-0.0720035508275032,0.002559875508839031,-0.2599249472220739,-0.3274593651294708,0.9743589743589743,1.0,0.026350568359096844,0.03032245532245532,0.03032245532245532,0.0,0.49805749805749805,245.0,0.29020501380475855,0.0,0.0,,True,True,True,0.0011653875311215672,1.927713553111221e-05,-8.83440176645961e-05,0.00037117302417755127,0.015271236499150576,0.005259404579798399,0.005193899075190245,-0.0009258488814036236,-0.3418803418803419,-0.15306915306915314,-0.15462315462315457,0.01631701631701632
spot_delta,baseline,,,,,,3,-0.07202282796303432,0.002619385568900161,-0.2591034988562266,-0.3327187697092692,0.8212898212898212,0.7022129893302917,0.0220250536998113,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.001146110395590455,0.0,-0.00010762115319570831,0.00035189588864643906,0.010011831919352177,0.0,-6.55055046081543e-05,-0.006185253461202023,-0.18881118881118875,0.0,-0.0015540015540014274,0.16938616938616946
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.07230500876903534,0.002227914794550228,-0.26052923798561095,-0.32947973410288495,0.9440559440559441,0.9720088442166647,0.027985783914724987,0.0021173271173271172,0.0021173271173271172,0.0,0.016317016317016316,237.66666666666666,0.290732125616705,0.0036993769470404984,0.06619937694704049,,True,True,True,0.0008639295895894322,-0.0002821808060010228,-0.0003898019591967311,6.971508264541626e-05,0.013250867525736454,0.0032390356063842773,0.003173530101776123,-0.0029462178548177453,-0.3115773115773116,-0.12276612276612286,-0.12432012432012429,0.046620046620046596
