model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.07296176999807358,0.09157296270132065,-0.3847979736328125,-0.267383074760437,-0.34344014525413513,-0.03887975215911865,0.0,0.6394591887831748,-0.07296176999807358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.07229405641555786,0.09016776829957962,-0.38079386234283447,-0.2666109800338745,-0.33702293038368225,-0.03993569314479828,0.012329616956412786,0.8262393590385578,-0.07296176999807358,0.0008448554435744882,0.00017714238492771983,0.021986743435263634,0.7022129893302917,0.2634916603565216,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.07215104252099991,0.09008754044771194,-0.3815350568294525,-0.2653661370277405,-0.33702194690704346,-0.03979210928082466,0.011770099774003019,0.8222333500250375,-0.07296176999807358,0.0009506242931820452,0.00013990014849696308,0.017408128827810287,0.6922129988670349,0.2628420889377594,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.07164458930492401,0.09229672700166702,-0.3615736413002014,-0.27375803589820863,-0.3361976146697998,-0.034088313579559326,-0.0,0.6401869158878505,-0.07164458930492401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.07014384865760803,0.09010681509971619,-0.3507318902015686,-0.2705140620470047,-0.3264501094818115,-0.03726113401353359,0.01136307297274469,0.8014018691588785,-0.07164458930492401,0.0016786342021077871,0.00017789566481951624,0.022124821320176125,0.5960649847984314,0.26377227902412415,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.0701405480504036,0.09007696807384491,-0.3515187668800354,-0.2708451047539711,-0.32690465450286865,-0.03830202296376228,0.010526938177645197,0.794392523364486,-0.07164458930492401,0.0016447234665974975,0.0001406826195307076,0.01754496619105339,0.5860649943351746,0.263159841299057,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.07581628859043121,0.09179158508777618,-0.37134269714355467,-0.2643189668655395,-0.3346540629863739,-0.047538161277770996,-0.0,0.6666666666666666,-0.07581628859043121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.07453694939613342,0.0898440033197403,-0.36802510380744935,-0.25443211793899534,-0.3229532539844513,-0.04838462918996811,0.010493111796677107,0.8391608391608392,-0.07581628859043121,0.0014550569467246532,0.00017572303477209061,0.021774431690573692,0.6559969782829285,0.2636964023113251,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.07446090877056122,0.08973999321460724,-0.36888176918029786,-0.2562214732170105,-0.3228987157344818,-0.048096634447574615,0.010177427344024145,0.8391608391608392,-0.07581628859043121,0.0014941187109798193,0.00013873724674340338,0.017245927825570107,0.6459969878196716,0.2629830837249756,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.07144089788198471,0.08570897579193115,-0.3660425531864166,-0.2543347299098968,-0.3266938030719757,-0.039496202021837234,-0.0009053243207745297,1.0,-0.07296176999807358,0.0017533370992168784,0.00023246793716680259,0.025115637108683586,0.050686538219451904,0.26401370763778687,1.0,2.5037556334501753e-05,2.5037556334501753e-05,0.0,0.00100150225338007,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,271.0,0.273001158060506,val_loss,0.024638498201966286,0.2565566897392273,0.0,0.0,1997.0,20.0,2.0,,,,,,
