model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.026662301272153854,0.03072747029364109,-0.12224320411682128,-0.0834491491317749,-0.11141950637102127,-0.017903447151184082,-0.0,0.6737019839594766,-0.026662301272153854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02639460191130638,0.029773779213428497,-0.11727109551429749,-0.08205988854169846,-0.10699289292097092,-0.018776701763272285,0.005038955342024564,0.8442380751371887,-0.026662301272153854,0.0004320225561968982,0.0001643231080379337,0.020484503358602524,0.6460080146789551,0.25848260521888733,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.026441948488354683,0.029801437631249428,-0.11728992313146591,-0.08290974795818329,-0.10778909921646118,-0.018333163112401962,0.003681411780416959,0.8471929084001688,-0.026662301272153854,0.0003087592194788158,8.840718510327861e-05,0.011049402877688408,0.5460079908370972,0.21816317737102509,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.02663908153772354,0.02977326698601246,-0.11842375516891479,-0.07949483394622803,-0.10728414356708527,-0.01992034912109375,-0.0,0.6568047337278107,-0.02663908153772354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.02629839815199375,0.02899668551981449,-0.11384592577815056,-0.07649334222078323,-0.10280342400074005,-0.02035430260002613,0.005377248581498859,0.8067061143984221,-0.02663908153772354,0.0005085722077637911,0.00016789065557532012,0.02091033011674881,0.6247119903564453,0.2588909864425659,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.026264121755957603,0.028987614437937737,-0.11438524186611175,-0.076889718323946,-0.10332177579402924,-0.019778139889240265,0.004301875596866011,0.796844181459566,-0.02663908153772354,0.0004636906087398529,8.873196202330291e-05,0.011088965460658073,0.5247119665145874,0.21876806020736694,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.03000466339290142,0.030030563473701477,-0.12231046199798584,-0.09188811779022217,-0.10915521532297134,-0.02465689182281494,-0.0,0.730844793713163,-0.03000466339290142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.029924016445875168,0.02981552481651306,-0.12132799506187439,-0.0930969849228859,-0.10823529213666916,-0.02490328811109066,0.0033699135296046696,0.8801571709233792,-0.03000466339290142,0.00024262015358544886,0.0001619743270566687,0.020169874653220177,0.5882319808006287,0.2586522102355957,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.029863031581044197,0.02975403517484665,-0.1210240975022316,-0.09302146881818771,-0.10827244073152542,-0.024679260328412056,0.002799667185172438,0.8821218074656189,-0.03000466339290142,0.00023000926012173295,8.837875793687999e-05,0.011043626815080643,0.48823198676109314,0.2181859314441681,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.026141226291656494,0.028588075190782547,-0.11571506381034852,-0.07937228381633758,-0.10588102042675018,-0.016947537660598755,0.00010797198629006626,0.941747572815534,-0.026662301272153854,0.0007260800921358168,0.00020500535902101547,0.025041727349162102,0.09469163417816162,0.29799243807792664,1.0,0.12653018151118617,0.12653018151118617,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,274.0,0.10014229085296393,val_loss,0.02123119682073593,0.15939082205295563,0.0,0.0,2369.0,20.0,2.0,,,,,,
