model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.02002580277621746,0.023889049887657166,-0.09810293674468994,-0.06463291645050048,-0.08654581755399704,-0.014034032821655273,-0.0,0.6631490080202617,-0.02002580277621746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.01981962099671364,0.02323462814092636,-0.09033684492111206,-0.06159602105617523,-0.08346758782863617,-0.014453201554715633,0.003568141441792248,0.8315745040101309,-0.02002580277621746,0.0003540700417943299,0.00014788944099564105,0.018450746312737465,0.6231619715690613,0.2567652463912964,0.6231619715690613,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.01986173540353775,0.023201007395982742,-0.09076619625091553,-0.06105689406394958,-0.08355219662189484,-0.01447388157248497,0.0034164726268500084,0.8383284086112284,-0.02002580277621746,0.00027199837495572865,0.00010793080582516268,0.013484452851116657,0.6031619906425476,0.2534923255443573,0.6031619906425476,0.0,0.0,0.0,0.0,0.02,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.019907590001821518,0.0243665874004364,-0.10012899398803711,-0.05809561014175415,-0.08730576932430267,-0.013670921325683594,-0.0,0.6390532544378699,-0.019907590001821518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.019713515415787697,0.02339213900268078,-0.09283812314271926,-0.05814926475286484,-0.0831327959895134,-0.014734483323991299,0.004807975329458712,0.8007889546351085,-0.019907590001821518,0.0003431429504416883,0.0001490673894295469,0.01859399676322937,0.6140170097351074,0.2571861743927002,0.6231619715690613,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.019698085263371468,0.023325487971305847,-0.09268236488103866,-0.057628406956791875,-0.08311421424150467,-0.014681508764624596,0.004493886185809968,0.8106508875739645,-0.019907590001821518,0.00031811659573577344,0.0001086113479686901,0.01356873195618391,0.5940170288085938,0.2539448142051697,0.6031619906425476,0.0,0.0,0.0,0.0,0.02,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.02270982787013054,0.022992994636297226,-0.09667526245117188,-0.06542623043060303,-0.08414293825626373,-0.018745064735412598,-0.0,0.7367387033398821,-0.02270982787013054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.022672172635793686,0.023327607661485672,-0.10409903436899186,-0.06266278028488159,-0.08687356114387512,-0.01926313154399395,0.0026461729779839504,0.8762278978388998,-0.02270982787013054,0.00018626336532179266,0.00014860890223644674,0.018523411825299263,0.5905979871749878,0.2570958733558655,0.6231619715690613,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.02266806736588478,0.023185158148407936,-0.10434117168188095,-0.06308454275131226,-0.08648217469453812,-0.019378462806344032,0.00234147673472762,0.8742632612966601,-0.02270982787013054,0.0001500031357863918,0.00010824007040355355,0.013519174419343472,0.5705980062484741,0.2539888322353363,0.6031619906425476,0.0,0.0,0.0,0.0,0.02,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.019729917868971825,0.02220536768436432,-0.09300982594490051,-0.06170929968357086,-0.08234362304210663,-0.013487900607287884,0.0003730520489625611,0.9282397636133389,-0.02002580277621746,0.0004982821410521865,0.00020239503646735102,0.025018492713570595,0.11303454637527466,0.3068626821041107,1.0,0.15150907555930773,0.15150907555930773,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,265.0,0.07594174667720774,val_loss,0.019589805975556374,0.1279274970293045,4.930966469428008e-05,0.0019723865877712033,2369.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.019753348082304,0.02271878905594349,-0.0958017310500145,-0.05676158368587494,-0.08319135010242462,-0.012910840101540089,0.00039010256296023716,0.9112426035502958,-0.019907590001821518,0.0003566863015294075,0.00020244474580977112,0.025018351152539253,0.11337566375732422,0.30681106448173523,1.0,0.15157790927021697,0.15157790927021697,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,265.0,0.07594174667720774,val_loss,0.019589805975556374,0.1279274970293045,4.930966469428008e-05,0.0019723865877712033,507.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.022131912410259247,0.02126367576420307,-0.09095163822174072,-0.0629141241312027,-0.07964588701725006,-0.018036028370261192,0.00012106139329261999,0.9430255402750491,-0.02270982787013054,0.0007807809161022305,0.0002028653398156166,0.025018293410539627,0.1073462963104248,0.30666854977607727,1.0,0.1512770137524558,0.1512770137524558,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,265.0,0.07594174667720774,val_loss,0.019589805975556374,0.1279274970293045,4.930966469428008e-05,0.0019723865877712033,509.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,-0.02006780356168747,0.02303306758403778,-0.09328681319952012,-0.062281164526939395,-0.084343820810318,-0.013960287906229496,0.0010217076633125537,0.8860278598564796,-0.02002580277621746,0.0002718749747145921,0.00031387610943056643,0.020756160840392113,0.1426476389169693,0.24182641506195068,1.0,0.0033769523005487546,0.0033769523005487546,0.0,0.043478260869565216,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,16.0,0.07616342954247587,val_loss,0.019948387518525124,0.10984525829553604,0.0006903353057199211,0.01775147928994083,2369.0,20.0,2.0,spot_delta,10.0,False,False,0.08576512336730957,0.1525057554244995
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,-0.019854340702295303,0.02321579121053219,-0.09533102110028267,-0.058265833929181096,-0.08401286602020264,-0.014569828286767006,0.001418413571082055,0.854043392504931,-0.019907590001821518,0.0003566679370123893,0.0003034152032341808,0.020650330930948257,0.1424892246723175,0.24049705266952515,1.0,0.0038461538461538464,0.0038461538461538464,0.0,0.047337278106508875,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,16.0,0.07616342954247587,val_loss,0.019948387518525124,0.10984525829553604,0.0006903353057199211,0.01775147928994083,507.0,20.0,2.0,spot_delta,10.0,False,False,0.08576512336730957,0.1525057554244995
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,-0.02259977161884308,0.022356020286679268,-0.09964025497436524,-0.06262332797050477,-0.08247888088226318,-0.019031157717108727,0.0007698443136177924,0.9115913555992141,-0.02270982787013054,0.00043007786734960973,0.00032002152875065804,0.02043592371046543,0.13966426253318787,0.23849666118621826,1.0,0.002455795677799607,0.002455795677799607,0.0,0.029469548133595286,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,16.0,0.07616342954247587,val_loss,0.019948387518525124,0.10984525829553604,0.0006903353057199211,0.01775147928994083,509.0,20.0,2.0,spot_delta,10.0,False,False,0.08576512336730957,0.1525057554244995
