model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.013643952086567879,0.02162337303161621,-0.09455298781394958,-0.056599622964859,-0.08098996430635452,-0.0,0.0,0.4864457831325301,-0.013643952086567879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.013706386089324951,0.021183697506785393,-0.09360888972878456,-0.0564065495505929,-0.0790354311466217,-0.005398278823122382,0.004790517105720935,0.7555220883534136,-0.013643952086567879,0.00010276192188030109,0.00016519660130143166,0.020647773519158363,0.577771008014679,0.2539401948451996,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.013656646013259888,0.02115653268992901,-0.09168755508959293,-0.05596575383096933,-0.07942140102386475,-0.004070964176207781,0.003386384120676664,0.7585341365461847,-0.013643952086567879,6.486580241471529e-05,7.756023842375726e-05,0.009694673120975494,0.4277710020542145,0.18993297219276428,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.014999108389019966,0.023169515654444695,-0.10650461912155151,-0.05816337466239929,-0.08381586521863937,-0.0006363987922668457,-0.0,0.5070422535211268,-0.014999108389019966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.015219973400235176,0.02273002453148365,-0.10143733769655228,-0.05641981679946184,-0.08334214985370636,-0.006408267421647906,0.004854772589169443,0.7746478873239436,-0.014999108389019966,-5.682456321665086e-05,0.00016404005873482674,0.020506132394075394,0.578885018825531,0.25404343008995056,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.015105213038623333,0.022673100233078003,-0.10286465659737587,-0.056311517022550106,-0.08293108642101288,-0.004900783067569137,0.0034118116018362343,0.7676056338028169,-0.014999108389019966,-2.849033808161039e-05,7.761348388157785e-05,0.009701081551611423,0.42888501286506653,0.19006744027137756,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.016239458695054054,0.02358030527830124,-0.09147556781768798,-0.06596497893333435,-0.08474922925233841,-0.004446506500244141,-0.0,0.5537383177570093,-0.016239458695054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.016828173771500587,0.02274325117468834,-0.08996533691883087,-0.06553810909390449,-0.08233105391263962,-0.008091192226856947,0.0036677749711088834,0.8154205607476636,-0.016239458695054054,-0.00042638526065275073,0.00016233022324740887,0.020271241664886475,0.5764219760894775,0.2543640732765198,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.01661425270140171,0.02283043973147869,-0.0908678787946701,-0.06493521593511105,-0.08279126137495041,-0.00658210483379662,0.002919669647235419,0.8200934579439252,-0.016239458695054054,-0.0002973781665787101,7.741680747130886e-05,0.00967583991587162,0.42642197012901306,0.1897304803133011,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.013691329397261143,0.02133271098136902,-0.09375359512865543,-0.05611799303442239,-0.08026621490716934,-0.0007573602779302746,-8.356673461094034e-05,0.9979919678714859,-0.013643952086567879,-7.780876330798492e-06,3.959669265896082e-05,0.004821084439754486,0.011238381266593933,0.04869641363620758,0.2007984220981598,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/TLT_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,181.0,0.0600653792952653,val_loss,0.0024747110437601805,0.009747587144374847,0.0,0.0,1992.0,20.0,2.0,,,,,,
