model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
unhedged,baseline,,,,,,3,-0.02847656173010667,0.001672140673828953,-0.11749617258707683,-0.17678495248158774,0.5065835065835066,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,0.0002554549525181464,0.00016320931414763248,8.351790408293522e-05,0.0,-0.0012092739343643188,-0.0011464456717173444,-0.006264259417851775,0.0,0.2571032571032572,0.25918225918225923,0.4934164934164934
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,3,-0.028504791979988415,0.0015166420970129213,-0.1130542904138565,-0.16957967976729074,0.9376299376299376,0.9895784457524618,0.020005827924857538,0.0003291753291753292,0.0003291753291753292,0.0,0.011088011088011088,23.0,0.1175368996804787,3.472222222222222e-05,0.0006944444444444445,,True,True,True,-2.8230249881744385e-05,0.00022722470263640202,0.0001349790642658881,5.5287654201190833e-05,0.007205272714296995,0.005995998779932676,0.006058827042579651,0.00094101329644522,-0.43104643104643103,-0.17394317394317382,-0.1718641718641718,0.062370062370062374
vanilla,vanilla,,,,,cvar,3,-0.028560079634189606,0.0015335818686176771,-0.11339995265007019,-0.17052069306373596,1.0,0.7350402275721232,0.018271127405265968,0.0,0.0,0.0,0.0,140.66666666666666,0.11719280914093057,0.0,0.0,,True,True,True,-8.351790408293522e-05,0.00017193704843521118,7.969141006469727e-05,0.0,0.006264259417851775,0.005054985483487456,0.005117813746134431,0.0,-0.4934164934164934,-0.2363132363132362,-0.23423423423423417,0.0
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.02856442704796791,0.0015465454101500898,-0.11519212524096172,-0.17381356159845987,0.7338877338877339,0.6739599704742432,0.015636717590192955,0.02583160083160083,0.02583160083160083,0.0,0.21760221760221762,78.0,0.11634640823346047,0.004027777777777778,0.12083333333333333,,True,True,True,-8.786531786124027e-05,0.00016758963465690613,7.534399628639221e-05,-4.347413778305054e-06,0.002971390883127867,0.001762116948763548,0.0018249452114105225,-0.0032928685347239084,-0.22730422730422728,0.02979902979902993,0.031878031878031954,0.2661122661122661
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.02858000248670578,0.0012534867346544062,-0.11505310237407684,-0.17358181377251944,0.7408177408177408,0.9460124572118124,0.028287007783850033,0.047227997227997226,0.00036382536382536385,0.04686417186417186,0.27165627165627165,63.333333333333336,0.11653087620002528,0.0,0.0,,True,True,True,-0.00010344075659910953,0.00015201419591903687,5.976855754852295e-05,-1.9922852516174316e-05,0.0032031387090682983,0.0019938647747039795,0.002056693037350954,-0.003061120708783477,-0.23423423423423417,0.022869022869023037,0.02494802494802506,0.25918225918225923
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.02863118425011635,0.0015979610696664685,-0.11322874327500661,-0.17111696302890778,0.9417879417879419,0.7691880663235983,0.019623357492188614,0.0,0.0,0.0,0.0,271.6666666666667,0.11720535188758124,0.0,0.0,,True,True,True,-0.00015462252000967777,0.00010083243250846863,8.586794137954712e-06,-7.110461592674255e-05,0.005667989452679961,0.004458715518315642,0.004521543780962617,-0.000596269965171814,-0.4352044352044353,-0.1781011781011781,-0.17602217602217607,0.058212058212058104
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.028638598198692005,0.001963251402699063,-0.11335942645867665,-0.17045349876085916,0.8295218295218296,0.825357993443807,0.03879268281161785,0.05973665973665974,0.05935550935550935,0.0003811503811503812,0.3167013167013167,200.66666666666666,0.11615751383846833,0.002638888888888889,0.07847222222222222,,True,True,True,-0.00016203646858533455,9.341848393281185e-05,1.1728455622979361e-06,-7.851856450239933e-05,0.006331453720728575,0.005122179786364256,0.0051850080490112305,6.719430287679962e-05,-0.32293832293832303,-0.06583506583506582,-0.0637560637560638,0.17047817047817038
spot_delta_band,baseline,,,,,,3,-0.028639771044254303,0.0017436782784634667,-0.11824078112840652,-0.1756385068098704,0.7657657657657658,0.5072356561819712,0.011578379819790522,0.0,0.0,0.0,0.0,,,,,0.08333333333333333,True,True,True,-0.00016320931414763248,9.224563837051392e-05,0.0,-7.969141006469727e-05,0.0011464456717173444,-6.28282626469745e-05,0.0,-0.005117813746134431,-0.25918225918225923,-0.0020790020790020236,0.0,0.23423423423423417
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.028675181170304615,0.0017501531502219446,-0.11404202630122502,-0.1716635823249817,0.9064449064449064,0.9287147323290507,0.020597377015898626,0.0018364518364518366,0.00148995148995149,0.0003465003465003465,0.040194040194040194,31.666666666666668,0.11649959689606394,0.00022569444444444446,0.008333333333333333,,True,True,True,-0.00019861944019794464,5.683551232020176e-05,-3.541012605031216e-05,-0.00011510153611500942,0.005121370156606048,0.003912096222241729,0.003974924484888703,-0.0011428892612457275,-0.3998613998613998,-0.14275814275814258,-0.14067914067914056,0.09355509355509362
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.028712839509050053,0.0015281007348183788,-0.11254829913377762,-0.17301161587238312,0.8662508662508662,0.9935841162999471,0.019959954544901848,0.001178101178101178,0.0010914760914760915,8.662508662508663e-05,0.014553014553014554,237.33333333333334,0.11648865100234333,0.0003993055555555555,0.009027777777777779,,True,True,True,-0.00023627777894338203,1.9177173574764367e-05,-7.306846479574955e-05,-0.00015275987486044681,0.0037733366092046194,0.0025640626748403006,0.002626890937487275,-0.0024909228086471558,-0.35966735966735963,-0.10256410256410242,-0.1004851004851004,0.13374913374913378
