model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.027801254764199257,0.03165970742702484,-0.12730738520622253,-0.08868418335914612,-0.11401500552892685,-0.01862126588821411,0.0,0.6656626506024096,-0.027801254764199257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.027540218085050583,0.030768075957894325,-0.1195710239559412,-0.08567239157855511,-0.10900130122900009,-0.01974401529878378,0.00541150080971419,0.8433734939759037,-0.027801254764199257,0.0004624662396963686,0.00020142871653661132,0.02506070025265217,0.6374130249023438,0.2577696144580841,0.6374130249023438,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.027540218085050583,0.030768075957894325,-0.1195710239559412,-0.08567239157855511,-0.10900130122900009,-0.01974401529878378,0.00541150080971419,0.8433734939759037,-0.027801254764199257,0.0004624662396963686,0.00020142871653661132,0.02506070025265217,0.6374130249023438,0.2577696144580841,0.6374130249023438,0.0,0.0,0.0,0.0,0.0,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.02913888543844223,0.03237207606434822,-0.12412756681442261,-0.08778160810470581,-0.11768434196710587,-0.020896434783935547,-0.0,0.7300469483568075,-0.02913888543844223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.028540946543216705,0.030791427940130234,-0.11428319662809372,-0.08801802806556225,-0.10993579030036926,-0.021591531112790108,0.005109465564601123,0.863849765258216,-0.02913888543844223,0.0008001625537872314,0.00020222700550220907,0.02515173889696598,0.6312080025672913,0.2578669488430023,0.6312080025672913,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.028540946543216705,0.030791427940130234,-0.11428319662809372,-0.08801802806556225,-0.10993579030036926,-0.021591531112790108,0.005109465564601123,0.863849765258216,-0.02913888543844223,0.0008001625537872314,0.00020222700550220907,0.02515173889696598,0.6312080025672913,0.2578669488430023,0.6312080025672913,0.0,0.0,0.0,0.0,0.0,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.028681358322501183,0.03261413425207138,-0.11549923062324524,-0.08832020759582519,-0.11221597343683243,-0.017145752906799316,-0.0,0.6425233644859814,-0.028681358322501183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.028760312125086784,0.031708043068647385,-0.11745456151664257,-0.08550730682909488,-0.10976462811231613,-0.019769232720136642,0.007158061978407204,0.8364485981308412,-0.028681358322501183,0.00011368362174835056,0.00019263653666712344,0.02399340458214283,0.6284639835357666,0.2577458918094635,0.6312080025672913,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.028760312125086784,0.031708043068647385,-0.11745456151664257,-0.08550730682909488,-0.10976462811231613,-0.019769232720136642,0.007158061978407204,0.8364485981308412,-0.028681358322501183,0.00011368362174835056,0.00019263653666712344,0.02399340458214283,0.6284639835357666,0.2577458918094635,0.6312080025672913,0.0,0.0,0.0,0.0,0.0,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.02733350172638893,0.02966609224677086,-0.12164732865989208,-0.08476321585476398,-0.10895448923110962,-0.017915552482008934,-0.00045885071303928366,0.998995983935743,-0.027801254764199257,0.0006599175976589322,0.0001921652292367071,0.023406632244586945,0.052192091941833496,0.23977740108966827,0.9582832455635071,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/XLK_full_paper_grid_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,262.0,0.10653458793647587,val_loss,0.021945545449852943,0.22014375030994415,0.0,0.0,1992.0,20.0,2.0,,,,,,
