model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,3,-0.0378743124504884,0.0028281800429852,-0.127182778591911,-0.150609423716863,0.9437134502923976,0.970511774222056,0.0315710448970397,0.064875730994152,0.064875730994152,0.0,0.2792397660818713,161.0,0.1527257204627845,0.0166116005873715,0.1659324522760646,,True,True,True,0.0011485181748867,0.0008936276038487,0.0008896005650361,0.0017533612747987,0.0033734589815139,-0.0013550917307535,-0.0007940779129664,-0.0026827305555343,-0.3267543859649123,-0.1315789473684211,-0.125,0.0562865497076022,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
spot_delta_band,baseline,,,,,,3,-0.0387639130155245,0.0013327061745255,-0.126438483595848,-0.1498153458038965,0.8187134502923977,0.5422319869200388,0.011546604335308,0.0,0.0,0.0,0.0,,,,,0.0999999999999999,True,True,True,0.0002589176098505,4.027038812637329e-06,0.0,0.0008637607097625,0.0041675368944804,-0.0005610138177871,0.0,-0.0018886526425679,-0.2017543859649123,-0.0065789473684211,0.0,0.1812865497076022,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
spot_delta,baseline,,,,,,3,-0.0387679400543371,0.0012394963973335,-0.1261724376430114,-0.1492543319861094,0.8121345029239766,0.6422320008277893,0.0243560460706551,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0002548905710379,0.0,-4.027038812637329e-06,0.0008597336709499,0.0047285507122675,0.0,0.0005610138177871,-0.0013276388247807,-0.1951754385964912,0.0,0.0065789473684211,0.1878654970760234,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.038854061315457,0.0017464705080439,-0.1245335483302672,-0.1489203572273254,0.9195906432748538,1.0,0.0205334772666295,0.0048062865497076,0.004422514619883,0.0003837719298245,0.0957602339181286,37.666666666666664,0.1500763683118987,0.0004955947136563,0.0073421439060205,,True,True,True,0.000168769309918,-8.612126111984253e-05,-9.014829993247986e-05,0.00077361240983,0.0050625254710515,0.0003339747587839,0.0008949885765711,-0.0009936640659967,-0.3026315789473685,-0.1074561403508772,-0.1008771929824561,0.0804093567251461,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,3,-0.0389095979432264,0.0019215490235995,-0.1238444168120622,-0.1470285256703694,0.9473684210526316,0.9279790123303732,0.0259891121337811,0.1249086257309941,0.1248720760233918,3.654970760233918e-05,0.6637426900584796,265.3333333333333,0.1509343858793236,0.0037995594713656,0.1505139500734214,,True,True,True,0.0001132326821486,-0.0001416578888893,-0.0001456849277019,0.0007180757820606,0.0069543570280075,0.0022258063157399,0.0027868201335271,0.0008981674909591,-0.3304093567251461,-0.1352339181286549,-0.1286549707602338,0.0526315789473684,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.0389320502678553,0.0020347169818881,-0.1246569106976191,-0.1481972237428029,0.9671052631578948,0.7644700507322947,0.0214884768550594,0.0412646198830409,0.0412646198830409,0.0,0.6418128654970761,7.333333333333333,0.1509807829291624,0.0025697503671071,0.0917767988252569,,True,True,True,9.07803575197902e-05,-0.0001641102135181,-0.0001681372523307,0.0006956234574317,0.005785658955574,0.0010571082433064,0.0016181220610936,-0.0002705305814743,-0.3501461988304093,-0.1549707602339181,-0.1483918128654969,0.0328947368421053,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.0389531602462132,0.0019076677409928,-0.1254950041572252,-0.1490186800559362,0.9298245614035088,0.9117435415585836,0.020513384292523,0.0713633040935672,0.0713633040935672,0.0,0.3296783625730994,409.0,0.1514393194357792,0.0002936857562408,0.0080763582966226,,True,True,True,6.967037916183472e-05,-0.000185220191876,-0.0001892472306887,0.0006745134790738,0.0049642026424407,0.0002356519301732,0.0007966657479603,-0.0010919868946075,-0.3128654970760235,-0.1176900584795322,-0.1111111111111111,0.0701754385964911,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0390030754109223,0.0018058397886251,-0.1249100652833779,-0.1479251484076182,0.8918128654970761,1.0,0.0280479565262794,0.0012792397660818,0.0007309941520467,0.000548245614035,0.0080409356725146,34.0,0.150027253219349,0.0003303964757709,0.0044052863436123,,True,True,True,1.975521445274353e-05,-0.0002351353565851,-0.0002391623953978,0.0006245983143647,0.0060577342907587,0.0013291835784912,0.0018901973962783,1.5447537104473774e-06,-0.2748538011695907,-0.0796783625730994,-0.0730994152046783,0.1081871345029239,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,3,-0.0390106489260991,0.0017985541570553,-0.1250798758119344,-0.1490987092256546,0.9671052631578948,0.8049969971179962,0.0203081276267766,0.0013157894736842,0.0013157894736842,0.0,0.0073099415204678,160.66666666666666,0.1506029968972149,0.000367107195301,0.0022026431718061,,True,True,True,1.218169927597046e-05,-0.0002427088717619,-0.0002467359105745,0.0006170247991879,0.0048841734727223,0.0001556227604548,0.0007166365782419,-0.0011720160643259,-0.3501461988304093,-0.1549707602339181,-0.1483918128654969,0.0328947368421053,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.0390173569321632,0.001715553400737,-0.1240849252790212,-0.14637091755867,0.9722222222222222,1.0,0.0257360649605592,0.009594298245614,0.0083516081871345,0.0012426900584795,0.1410818713450292,446.0,0.1511511663577236,0.0029552129221732,0.0543318649045521,,True,True,True,5.473693211875685e-06,-0.000249416877826,-0.0002534439166386,0.0006103167931238,0.0076119651397069,0.0028834144274393,0.0034444282452265,0.0015557756026585,-0.3552631578947368,-0.1600877192982456,-0.1535087719298244,0.0277777777777777,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
