model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,paper_label,selection
unhedged,baseline,,,,,,3,-0.0390228306253751,0.0017610023770476,-0.1294522484143575,-0.1539828826983769,0.6169590643274854,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0002548905710379,-0.0002589176098505,0.000604843099912,0.0,-0.0047285507122675,-0.0041675368944804,-0.0060561895370483,0.0,0.1951754385964912,0.2017543859649123,0.3830409356725146,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,Unhedged,unhedged
spot_delta,baseline,,,,,,3,-0.0387679400543371,0.0012394963973335,-0.1261724376430114,-0.1492543319861094,0.8121345029239766,0.6422320008277893,0.0243560460706551,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0002548905710379,0.0,-4.027038812637329e-06,0.0008597336709499,0.0047285507122675,0.0,0.0005610138177871,-0.0013276388247807,-0.1951754385964912,0.0,0.0065789473684211,0.1878654970760234,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,Spot-Delta,spot_delta
spot_delta_band,baseline,,,,,,3,-0.0387639130155245,0.0013327061745255,-0.126438483595848,-0.1498153458038965,0.8187134502923977,0.5422319869200388,0.011546604335308,0.0,0.0,0.0,0.0,,,,,0.0999999999999999,True,True,True,0.0002589176098505,4.027038812637329e-06,0.0,0.0008637607097625,0.0041675368944804,-0.0005610138177871,0.0,-0.0018886526425679,-0.2017543859649123,-0.0065789473684211,0.0,0.1812865497076022,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,Spot-Delta Band,spot_delta_band
vanilla,vanilla,,,,,cvar,3,-0.0396276737252871,0.0021370210862994,-0.1246225163340568,-0.1479266931613286,1.0,0.9471570452054342,0.030568620810906,0.1250365497076023,3.654970760233918e-05,0.125,0.3347953216374268,141.0,0.1652240714803338,0.125,0.3333333333333333,,True,True,True,-0.000604843099912,-0.0008597336709499,-0.0008637607097625,0.0,0.0060561895370483,0.0013276388247807,0.0018886526425679,0.0,-0.3830409356725146,-0.1878654970760234,-0.1812865497076022,0.0,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,Vanilla DH,vanilla
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,3,-0.0378743124504884,0.0028281800429852,-0.127182778591911,-0.150609423716863,0.9437134502923976,0.970511774222056,0.0315710448970397,0.064875730994152,0.064875730994152,0.0,0.2792397660818713,161.0,0.1527257204627845,0.0166116005873715,0.1659324522760646,,True,True,True,0.0011485181748867,0.0008936276038487,0.0008896005650361,0.0017533612747987,0.0033734589815139,-0.0013550917307535,-0.0007940779129664,-0.0026827305555343,-0.3267543859649123,-0.1315789473684211,-0.125,0.0562865497076022,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.0390173569321632,0.001715553400737,-0.1240849252790212,-0.14637091755867,0.9722222222222222,1.0,0.0257360649605592,0.009594298245614,0.0083516081871345,0.0012426900584795,0.1410818713450292,446.0,0.1511511663577236,0.0029552129221732,0.0543318649045521,,True,True,True,5.473693211875685e-06,-0.000249416877826,-0.0002534439166386,0.0006103167931238,0.0076119651397069,0.0028834144274393,0.0034444282452265,0.0015557756026585,-0.3552631578947368,-0.1600877192982456,-0.1535087719298244,0.0277777777777777,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.0393500241140524,0.0021832719731349,-0.127247588088115,-0.1523969074090322,0.8391812865497076,1.0,0.0266659446060657,0.0341008771929824,0.016703216374269,0.0173976608187134,0.581140350877193,30.0,0.1499573683281594,0.0005873715124816,0.0095447870778267,,True,True,True,-0.0003271934886773,-0.0005820840597152,-0.0005861110985279,0.0002776496112346,0.0015859752893447,-0.0031425754229227,-0.0025815616051356,-0.0044702142477035,-0.2222222222222222,-0.0270467836257309,-0.0204678362573098,0.1608187134502924,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,ProtoHedge (Shortfall frontier),best_screened_proto_shortfall
unhedged,baseline,,,,,,3,-0.0275905188173055,0.0004892693194098,-0.1001339038213093,-0.1306070039669672,0.618860510805501,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-8.074566721916199e-06,-3.818795084953308e-05,-0.0004779535035292,0.0,-0.0001205106576283,-0.0007405479749043,-0.0066257293025652,0.0,0.1938441388343157,0.1958087753765552,0.326784544859201,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,Unhedged,unhedged
spot_delta,baseline,,,,,,3,-0.0275824442505836,0.0004180021509198,-0.0970875024795532,-0.1304864933093389,0.8127046496398167,0.5909596482912699,0.0193859878927469,0.0,0.0,0.0,0.0,,,,,,True,True,True,8.074566721916199e-06,0.0,-3.011338412761688e-05,-0.0004698789368073,0.0001205106576283,0.0,-0.000620037317276,-0.0065052186449368,-0.1938441388343157,0.0,0.0019646365422395,0.1329404060248853,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,Spot-Delta,spot_delta
spot_delta_band,baseline,,,,,,3,-0.027552330866456,0.0004228978660512,-0.0972503324349721,-0.1298664559920629,0.8146692861820563,0.5076263050238291,0.0113904997706413,0.0,0.0,0.0,0.0,,,,,0.0833333333333333,True,True,True,3.818795084953308e-05,3.011338412761688e-05,0.0,-0.0004397655526796,0.0007405479749043,0.000620037317276,0.0,-0.0058851813276608,-0.1958087753765552,-0.0019646365422395,0.0,0.1309757694826457,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,Spot-Delta Band,spot_delta_band
vanilla,vanilla,,,,,cvar,3,-0.0271125653137763,0.0004092848851479,-0.0946559965610504,-0.123981274664402,0.945645055664702,1.0,0.0250967827936013,0.0907007203667321,0.0907007203667321,0.0,1.0,542.6666666666666,0.0998653120949391,0.0001314924391847,0.0052596975673898,,True,True,True,0.0004779535035292,0.0004698789368073,0.0004397655526796,0.0,0.0066257293025652,0.0065052186449368,0.0058851813276608,0.0,-0.326784544859201,-0.1329404060248853,-0.1309757694826457,0.0,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,Vanilla DH,vanilla
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.0269900653511285,0.0004974629118461,-0.0935913314421971,-0.1247269958257675,0.9286182056319582,0.9436107476552328,0.0201027154301603,0.1002292075965946,0.1002292075965946,0.0,0.3313686967910936,454.0,0.099231561317986,0.0002794214332675,0.0111768573307034,,True,True,True,0.0006004534661769,0.000592378899455,0.0005622655153274,0.0001224999626477,0.0058800081411997,0.0057594974835713,0.0051394601662953,-0.0007457211613655,-0.3097576948264572,-0.1159135559921414,-0.1139489194499019,0.0170268500327438,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.0271917786449193,0.0003969407229053,-0.0931245004137357,-0.1225073412060737,0.8932547478716438,0.92140797773997,0.0307835210114717,0.0027504911591355,0.0027504911591355,0.0,0.0648330058939096,17.0,0.0992475038750267,8.21827744904668e-05,0.0019723865877712,,True,True,True,0.0003987401723861,0.0003906656056642,0.0003605522215366,-7.921333114306248e-05,0.0080996627608934,0.0079791521032651,0.0073591147859891,0.0014739334583282,-0.2743942370661428,-0.0805500982318271,-0.0785854616895875,0.0523903077930582,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.0276984081914027,0.0005457004080301,-0.1003196408351262,-0.1302671357989311,0.8664047151277013,0.1615225945909818,0.0059870639039824,0.0,0.0,0.0,0.0,61.0,0.100043766706173,0.0,0.0,,True,True,True,-0.0001078893740971,-0.0001159639408191,-0.0001460773249467,-0.0005858428776264,0.0003398681680361,0.0002193575104077,-0.0004006798068682,-0.0062858611345291,-0.2475442043222003,-0.0537000654878846,-0.051735428945645,0.0792403405370006,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,ProtoHedge (Shortfall frontier),best_screened_proto_shortfall
unhedged,baseline,,,,,,3,-0.0731689383586247,0.0025483685683093,-0.2701599597930908,-0.3427306016286214,0.6324786324786325,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0011461103955904,-0.0012537315487861,-0.000794214506944,0.0,-0.0100118319193521,-0.0100773374239603,-0.0161970853805542,0.0,0.1888111888111887,0.1872571872571873,0.3581973581973582,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust,Unhedged,unhedged
spot_delta,baseline,,,,,,3,-0.0720228279630343,0.0026193855689001,-0.2591034988562266,-0.3327187697092692,0.8212898212898212,0.7022129893302917,0.0220250536998113,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0011461103955904,0.0,-0.0001076211531957,0.0003518958886464,0.0100118319193521,0.0,-6.55055046081543e-05,-0.006185253461202,-0.1888111888111887,0.0,-0.0015540015540014,0.1693861693861694,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust,Spot-Delta,spot_delta
spot_delta_band,baseline,,,,,,3,-0.0719152068098386,0.0026119691429269,-0.259780200322469,-0.332653264204661,0.8197358197358198,0.6922129988670349,0.017435498535633,0.0,0.0,0.0,0.0,,,,,0.01,True,True,True,0.0012537315487861,0.0001076211531957,0.0,0.0004595170418421,0.0100773374239603,6.55055046081543e-05,0.0,-0.0061197479565938,-0.1872571872571873,0.0015540015540014,0.0,0.1709401709401709,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust,Spot-Delta Band,spot_delta_band
vanilla,vanilla,,,,,cvar,3,-0.0723747238516807,0.0015207997071557,-0.2576099147399266,-0.3265335162480672,0.9906759906759908,0.999686598777771,0.0334328444053729,0.1743978243978244,0.0243978243978243,0.15,0.6666666666666666,286.0,0.3073140550424806,0.1500194704049844,0.3341121495327102,,True,True,True,0.000794214506944,-0.0003518958886464,-0.0004595170418421,0.0,0.0161970853805542,0.006185253461202,0.0061197479565938,0.0,-0.3581973581973582,-0.1693861693861694,-0.1709401709401709,0.0,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust,Vanilla DH,vanilla
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.0698797876636187,0.0009629975677378,-0.2590915004412333,-0.3243991235891978,0.8313908313908315,1.0,0.0451811552047729,0.2754467754467755,0.2753302253302254,0.0001165501165501,0.93006993006993,313.3333333333333,0.2892715881726591,0.0650895638629283,0.795171339563863,,True,True,True,0.003289150695006,0.0021430402994155,0.0020354191462198,0.002494936188062,0.0183314780394235,0.0083196461200714,0.0082541406154632,0.0021343926588693,-0.198912198912199,-0.0101010101010102,-0.0116550116550117,0.1592851592851591,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean
