model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.02437899261713028,0.0326961874961853,-0.1333564668893814,-0.09242570400238037,-0.11856567859649658,-0.01033926010131836,-0.0,0.585901224145209,-0.02437899261713028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02439028024673462,0.03192264586687088,-0.13047455251216888,-0.09062395244836807,-0.11539239436388016,-0.013182871043682098,0.005443970672786236,0.7969607429295061,-0.02437899261713028,0.00014331475540529937,0.00015460261784028262,0.019285017624497414,0.584227979183197,0.2583058476448059,0.5917689800262451,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.024325378239154816,0.031823091208934784,-0.13141347467899323,-0.09030923247337341,-0.11524704843759537,-0.012845560908317566,0.004819994792342186,0.7986492190797805,-0.02437899261713028,0.00015142957272473723,9.781585686141625e-05,0.01222640834748745,0.5342279672622681,0.24150705337524414,0.5417689681053162,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.02649381011724472,0.03641517087817192,-0.1440446823835373,-0.0921141728758812,-0.13208924233913422,-0.01181340217590332,-0.0,0.6074950690335306,-0.02649381011724472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.02637564018368721,0.035432636737823486,-0.1415252387523651,-0.0894809365272522,-0.12769566476345062,-0.013527323491871357,0.005680634640157223,0.7790927021696252,-0.02649381011724472,0.00027617390151135623,0.00015800524852238595,0.019686028361320496,0.5756049752235413,0.25847128033638,0.5868099927902222,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.026282500475645065,0.03535647317767143,-0.14228910207748413,-0.08941277861595154,-0.1275378167629242,-0.013214707374572754,0.005110753700137138,0.7869822485207101,-0.02649381011724472,0.00030943017918616533,9.811861673370004e-05,0.012262934818863869,0.5256049633026123,0.24209986627101898,0.5368099808692932,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.027852093800902367,0.03413837403059006,-0.13462762534618378,-0.0975685864686966,-0.12290962040424347,-0.016820669174194336,-0.0,0.630648330058939,-0.027852093800902367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.027853598818182945,0.03420223295688629,-0.13961808383464813,-0.09291243553161621,-0.1252089887857437,-0.016879485920071602,0.005206029862165451,0.8192534381139489,-0.027852093800902367,0.0001533257745904848,0.000154830064275302,0.019294098019599915,0.5942999720573425,0.2585732936859131,0.5942999720573425,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.027775710448622704,0.03407963365316391,-0.1382947713136673,-0.09223946928977966,-0.12458308041095734,-0.01694580167531967,0.004576604813337326,0.8212180746561886,-0.027852093800902367,0.0001743095926940441,9.792581113288179e-05,0.01223902776837349,0.5442999601364136,0.24178478121757507,0.5442999601364136,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.02417626604437828,0.030453568324446678,-0.12684868276119232,-0.0872715413570404,-0.11285863071680069,-0.010795410722494125,0.0006072057294659317,0.908400168847615,-0.02437899261713028,0.00041095894994214177,0.0002082324936054647,0.025080112740397453,0.16845464706420898,0.26801034808158875,1.0,0.12279442802870409,0.12279442802870409,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/IWM_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,585.0,0.10370803785394633,val_loss,0.023166894912719727,0.17512691020965576,0.0008875739644970414,0.03353057199211045,2369.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.02619977667927742,0.03390074521303177,-0.1372387558221817,-0.08782516419887543,-0.12521421909332275,-0.012691008858382702,0.0004655701923184097,0.9211045364891519,-0.02649381011724472,0.0005026906146667898,0.00020865778787992895,0.025079866871237755,0.1523725986480713,0.2677004039287567,1.0,0.1222879684418146,0.1222879684418146,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/IWM_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,585.0,0.10370803785394633,val_loss,0.023166894912719727,0.17512691020965576,0.0008875739644970414,0.03353057199211045,507.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.027319934219121933,0.03174080327153206,-0.12423160672187805,-0.0921097993850708,-0.11646834015846252,-0.016469227150082588,0.00037728124880231917,0.925343811394892,-0.027852093800902367,0.000741193478461355,0.00020903372205793858,0.02507934905588627,0.15160596370697021,0.26761847734451294,1.0,0.12244597249508841,0.12244597249508841,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/IWM_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,585.0,0.10370803785394633,val_loss,0.023166894912719727,0.17512691020965576,0.0008875739644970414,0.03353057199211045,509.0,20.0,2.0,,,,,,
