model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.07296176999807358,0.09157296270132065,-0.38479799032211304,-0.26738306879997253,-0.34344014525413513,-0.03887975215911865,0.0,0.6394591887831748,-0.07296176999807358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.07229405641555786,0.09016776829957962,-0.38079386949539185,-0.2666109800338745,-0.33702293038368225,-0.03993569314479828,0.012329614721238613,0.8262393590385578,-0.07296176999807358,0.0008448554435744882,0.00017714238492771983,0.021986743435263634,0.7022129893302917,0.2634916603565216,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.07215104252099991,0.09008754044771194,-0.38153505325317383,-0.2653661370277405,-0.33702194690704346,-0.03979210928082466,0.011770096607506275,0.8222333500250375,-0.07296176999807358,0.0009506242931820452,0.00013990014849696308,0.017408128827810287,0.6922129988670349,0.2628420889377594,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.07164458930492401,0.09229672700166702,-0.36157363653182983,-0.27375802397727966,-0.3361976146697998,-0.034088313579559326,-0.0,0.6401869158878505,-0.07164458930492401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.07014384865760803,0.09010681509971619,-0.35073187947273254,-0.2705140709877014,-0.3264501094818115,-0.03726113587617874,0.011363069526851177,0.8014018691588785,-0.07164458930492401,0.0016786342021077871,0.00017789566481951624,0.022124821320176125,0.5960649847984314,0.26377227902412415,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.0701405480504036,0.09007696807384491,-0.35151877999305725,-0.27084511518478394,-0.32690465450286865,-0.03830202296376228,0.010526935569941998,0.794392523364486,-0.07164458930492401,0.0016447234665974975,0.0001406826195307076,0.01754496619105339,0.5860649943351746,0.263159841299057,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.07581628859043121,0.09179158508777618,-0.3713426887989044,-0.26431897282600403,-0.3346540629863739,-0.047538161277770996,-0.0,0.6666666666666666,-0.07581628859043121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.07453694939613342,0.0898440033197403,-0.3680250942707062,-0.2544321119785309,-0.3229532539844513,-0.04838462918996811,0.010493112727999687,0.8391608391608392,-0.07581628859043121,0.0014550569467246532,0.00017572303477209061,0.021774431690573692,0.6559969782829285,0.2636964023113251,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.07446090877056122,0.08973999321460724,-0.3688817620277405,-0.2562214732170105,-0.3228987157344818,-0.048096634447574615,0.010177433490753174,0.8391608391608392,-0.07581628859043121,0.0014941187109798193,0.00013873724674340338,0.017245927825570107,0.6459969878196716,0.2629830837249756,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.0738925039768219,0.08579494059085846,-0.3718316853046417,-0.25688040256500244,-0.3290080726146698,-0.041785828769207,-0.0021292155142873526,0.9849774661992989,-0.07296176999807358,0.0016708479961380363,0.002601577201858163,0.05000000447034836,0.47929370403289795,0.7435875535011292,1.0,0.475,0.025,0.45,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,71.0,0.3252596856839955,val_loss,0.04964521899819374,0.7364972829818726,0.45,1.0,1997.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.07257059216499329,0.0864049568772316,-0.3437737822532654,-0.2609250247478485,-0.32169368863105774,-0.037908248603343964,-0.0017315595177933574,0.9742990654205608,-0.07164458930492401,0.0016760631697252393,0.0026020759250968695,0.05000000074505806,0.4788338243961334,0.7435937523841858,1.0,0.475,0.025,0.45,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,71.0,0.3252596856839955,val_loss,0.04964521899819374,0.7364972829818726,0.45,1.0,428.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.07647401094436646,0.08612042665481567,-0.3550553619861603,-0.25396841764450073,-0.3219597041606903,-0.048931848257780075,-0.001926138298586011,0.986013986013986,-0.07581628859043121,0.0019439086318016052,0.0026016344781965017,0.04999999701976776,0.47897326946258545,0.7435908317565918,1.0,0.475,0.025,0.45,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,71.0,0.3252596856839955,val_loss,0.04964521899819374,0.7364972829818726,0.45,1.0,429.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,-0.06879406422376633,0.09052658081054688,-0.38615718483924866,-0.24405767023563385,-0.33304935693740845,-0.0393388569355011,0.016975566744804382,0.8357536304456685,-0.07296176999807358,0.005569786299020052,0.0014020809903740883,0.07039394229650497,1.1094970703125,0.489516019821167,1.0,0.24943665498247372,0.24820981472208312,0.001226840260390586,0.9654481722583875,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,795.0,0.2762494415615764,val_loss,0.06523105502128601,0.3437913656234741,0.11839953271028038,0.9602803738317757,1997.0,20.0,2.0,spot_delta,10.0,False,False,0.41231951117515564,1.201965570449829
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,-0.0704447478055954,0.09218847751617432,-0.35575589537620544,-0.2624730169773102,-0.33582356572151184,-0.03857304900884628,0.014130990952253342,0.8247663551401869,-0.07164458930492401,0.002601613523438573,0.0014017727226018906,0.06945083290338516,1.1094970703125,0.49303025007247925,1.0,0.25005841121495326,0.2488317757009346,0.0012266355140186916,0.9579439252336449,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,795.0,0.2762494415615764,val_loss,0.06523105502128601,0.3437913656234741,0.11839953271028038,0.9602803738317757,428.0,20.0,2.0,spot_delta,10.0,False,False,0.41231951117515564,1.201965570449829
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,-0.07188589125871658,0.09820815175771713,-0.3910956382751465,-0.2558804154396057,-0.3590497076511383,-0.04349325969815254,0.016546428203582764,0.8298368298368298,-0.07581628859043121,0.005412083584815264,0.0014816829934716225,0.07320602983236313,1.1094970703125,0.49199530482292175,1.0,0.24562937062937062,0.24417249417249418,0.001456876456876457,0.965034965034965,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,795.0,0.2762494415615764,val_loss,0.06523105502128601,0.3437913656234741,0.11839953271028038,0.9602803738317757,429.0,20.0,2.0,spot_delta,10.0,False,False,0.41231951117515564,1.201965570449829
proto_source=spot_delta_k=25_weighted=0_learnw=0,train,1234,proto,-0.06989431381225586,0.08926182240247726,-0.4151701331138611,-0.23772594332695007,-0.3331837058067322,-0.041144318878650665,0.015804411843419075,0.8222333500250375,-0.07296176999807358,0.005259995814412832,0.0021925370674580336,0.059890225529670715,1.0443978309631348,0.6086485981941223,1.0,0.42545067601402103,0.38910866299449176,0.036342013019529294,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,769.0,0.2844887766370846,val_loss,0.07375609129667282,0.4182322919368744,0.2132593457943925,0.9766355140186916,1997.0,20.0,2.0,spot_delta,25.0,False,False,0.4469223916530609,1.0448246002197266
proto_source=spot_delta_k=25_weighted=0_learnw=0,val,1234,proto,-0.06783732026815414,0.08714316040277481,-0.38204920291900635,-0.2467915266752243,-0.32031285762786865,-0.040853358805179596,0.014698600396513939,0.8177570093457944,-0.07164458930492401,0.0061250547878444195,0.0023177885450422764,0.05978650599718094,1.0443978309631348,0.6262725591659546,1.0,0.4382593457943925,0.39567757009345794,0.04258177570093458,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,769.0,0.2844887766370846,val_loss,0.07375609129667282,0.4182322919368744,0.2132593457943925,0.9766355140186916,428.0,20.0,2.0,spot_delta,25.0,False,False,0.4469223916530609,1.0448246002197266
proto_source=spot_delta_k=25_weighted=0_learnw=0,test,1234,proto,-0.07182914763689041,0.0903410091996193,-0.36800453066825867,-0.24099837243556976,-0.32181060314178467,-0.047822900116443634,0.017654122784733772,0.8228438228438228,-0.07581628859043121,0.006214173045009375,0.0022270362824201584,0.06060591712594032,1.0443978309631348,0.6153923273086548,1.0,0.4291375291375291,0.38974358974358975,0.03939393939393939,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/NVDA_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,769.0,0.2844887766370846,val_loss,0.07375609129667282,0.4182322919368744,0.2132593457943925,0.9766355140186916,429.0,20.0,2.0,spot_delta,25.0,False,False,0.4469223916530609,1.0448246002197266
unhedged,train,2345,baseline,-0.0730072632431984,0.09050963819026947,-0.38465332984924316,-0.26246166229248047,-0.3385505974292755,-0.04204821586608887,0.0,0.6494742113169755,-0.0730072632431984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,2345,baseline,-0.07240806519985199,0.08889664709568024,-0.3817404806613922,-0.2602890729904175,-0.33026453852653503,-0.04139437898993492,0.011671326123178005,0.828743114672008,-0.0730072632431984,0.000775920576415956,0.0001767247886164114,0.021934282034635544,0.7022129893302917,0.26351022720336914,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,2345,baseline,-0.07227088510990143,0.08883894979953766,-0.3833717703819275,-0.2587032914161682,-0.3304070234298706,-0.04151742160320282,0.01082663331180811,0.8242363545317977,-0.0730072632431984,0.0008758556796237826,0.00013947382103651762,0.017358703538775444,0.6922129988670349,0.2628559470176697,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,2345,baseline,-0.07652778178453445,0.09310490638017654,-0.3881024718284607,-0.2748655676841736,-0.3424536883831024,-0.04356515407562256,-0.0,0.6448598130841121,-0.07652778178453445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,2345,baseline,-0.07485149055719376,0.09147525578737259,-0.3660743236541748,-0.2727312445640564,-0.33805525302886963,-0.045949049293994904,0.012268444523215294,0.8317757009345794,-0.07652778178453445,0.0018535982817411423,0.0001773076510289684,0.02195989340543747,0.6559969782829285,0.26371872425079346,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,2345,baseline,-0.07481282949447632,0.0913163423538208,-0.36615315079689026,-0.2734951376914978,-0.3378858268260956,-0.04568341001868248,0.011711101047694683,0.822429906542056,-0.07652778178453445,0.001855539157986641,0.0001405808434356004,0.017459968104958534,0.6459969878196716,0.26303619146347046,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,2345,baseline,-0.07073268294334412,0.09575854241847992,-0.3684829771518707,-0.2841503322124481,-0.3488062024116516,-0.030728816986083984,-0.0,0.6153846153846154,-0.07073268294334412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,2345,baseline,-0.0693095475435257,0.09422167390584946,-0.36373406648635864,-0.2704814374446869,-0.34171292185783386,-0.031513843685388565,0.013250167481601238,0.7972027972027972,-0.07073268294334412,0.0016013938002288342,0.0001782535546226427,0.022183183580636978,0.5986350178718567,0.26366350054740906,0.7022129893302917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,2345,baseline,-0.06924166530370712,0.094141885638237,-0.36252546310424805,-0.27126994729042053,-0.3414635956287384,-0.03233234956860542,0.01242911722511053,0.8018648018648019,-0.07073268294334412,0.0016318437410518527,0.00014082324923947453,0.017560800537467003,0.5886350274085999,0.26304197311401367,0.6922129988670349,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
