model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.026662301272153854,0.03072747029364109,-0.12224320322275162,-0.08344914764165878,-0.11141950637102127,-0.017903447151184082,-0.0,0.6737019839594766,-0.026662301272153854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02639460191130638,0.029773779213428497,-0.11727109551429749,-0.08205989003181458,-0.10699289292097092,-0.018776701763272285,0.00503895478323102,0.8442380751371887,-0.026662301272153854,0.0004320225561968982,0.0001643231080379337,0.020484503358602524,0.6460080146789551,0.25848260521888733,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.026441948488354683,0.029801437631249428,-0.11728992313146591,-0.08290974795818329,-0.10778909921646118,-0.018333163112401962,0.0036814012564718723,0.8471929084001688,-0.026662301272153854,0.0003087592194788158,8.840718510327861e-05,0.011049402877688408,0.5460079908370972,0.21816317737102509,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.02663908153772354,0.02977326698601246,-0.11842375248670578,-0.07949483394622803,-0.10728414356708527,-0.01992034912109375,-0.0,0.6568047337278107,-0.02663908153772354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.02629839815199375,0.02899668551981449,-0.11384592950344086,-0.07649334520101547,-0.10280342400074005,-0.02035430260002613,0.005377245135605335,0.8067061143984221,-0.02663908153772354,0.0005085722077637911,0.00016789065557532012,0.02091033011674881,0.6247119903564453,0.2588909864425659,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.026264121755957603,0.028987614437937737,-0.11438523977994919,-0.07688971608877182,-0.10332177579402924,-0.019778139889240265,0.004301873501390219,0.796844181459566,-0.02663908153772354,0.0004636906087398529,8.873196202330291e-05,0.011088965460658073,0.5247119665145874,0.21876806020736694,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.03000466339290142,0.030030563473701477,-0.12231045961380005,-0.09188811480998993,-0.10915521532297134,-0.02465689182281494,-0.0,0.730844793713163,-0.03000466339290142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.029924016445875168,0.02981552481651306,-0.12132799625396729,-0.09309698641300201,-0.10823529213666916,-0.02490328811109066,0.003369914134964347,0.8801571709233792,-0.03000466339290142,0.00024262015358544886,0.0001619743270566687,0.020169874653220177,0.5882319808006287,0.2586522102355957,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.029863031581044197,0.02975403517484665,-0.12102409452199936,-0.0930214673280716,-0.10827244073152542,-0.024679260328412056,0.0027996671851724386,0.8821218074656189,-0.03000466339290142,0.00023000926012173295,8.837875793687999e-05,0.011043626815080643,0.48823198676109314,0.2181859314441681,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.026152359321713448,0.028607897460460663,-0.1161826103925705,-0.07902082800865173,-0.10600513219833374,-0.017128508538007736,0.0004956981283612549,0.9206416209371042,-0.026662301272153854,0.0007191658951342106,0.00020922604016959667,0.02508782222867012,0.11739885807037354,0.3250049948692322,1.0,0.17779653862389194,0.17779653862389194,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,310.0,0.10009858330621713,val_loss,0.022751813754439354,0.1546095460653305,0.0006903353057199211,0.02564102564102564,2369.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.026249831542372704,0.027607129886746407,-0.11175419390201569,-0.07605758309364319,-0.10183544456958771,-0.01916244812309742,0.0007162096444517374,0.9132149901380671,-0.02663908153772354,0.0005987419281154871,0.00020949433383066207,0.02508760429918766,0.11749863624572754,0.3248552680015564,1.0,0.1777120315581854,0.1777120315581854,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,310.0,0.10009858330621713,val_loss,0.022751813754439354,0.1546095460653305,0.0006903353057199211,0.02564102564102564,507.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.029088180512189865,0.027881035581231117,-0.11242037266492844,-0.08667556941509247,-0.10323330014944077,-0.02349567599594593,0.00035603452124632895,0.9135559921414538,-0.03000466339290142,0.0011262120679020882,0.00020972813945263624,0.025087403133511543,0.11465555429458618,0.3248167932033539,1.0,0.1775049115913556,0.1775049115913556,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,310.0,0.10009858330621713,val_loss,0.022751813754439354,0.1546095460653305,0.0006903353057199211,0.02564102564102564,509.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,-0.026333099231123924,0.029591815546154976,-0.11863531172275543,-0.08121449500322342,-0.10843820869922638,-0.017309334129095078,0.00044600441469810903,0.9109328830730266,-0.026662301272153854,0.00046288585872389376,0.00013368413783609867,0.015212844125926495,0.09728306531906128,0.19655680656433105,0.9992189407348633,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,3.0,0.10028053142596037,val_loss,0.013971985317766666,0.11055964976549149,0.0,0.0,2369.0,20.0,2.0,spot_delta,10.0,False,False,0.09181103110313416,0.14121297001838684
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,-0.02623995579779148,0.02862299233675003,-0.11683698743581772,-0.07871421426534653,-0.10384759306907654,-0.01959318295121193,0.0007715477840974927,0.8816568047337278,-0.02663908153772354,0.000533042591996491,0.00013391906395554543,0.01524531003087759,0.08698415756225586,0.19565516710281372,0.9962728023529053,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,3.0,0.10028053142596037,val_loss,0.013971985317766666,0.11055964976549149,0.0,0.0,507.0,20.0,2.0,spot_delta,10.0,False,False,0.09181103110313416,0.14121297001838684
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,-0.029476409777998924,0.028998102992773056,-0.1172560453414917,-0.09008786082267761,-0.10618536919355392,-0.023411165922880173,0.0005837681237608194,0.9115913555992141,-0.03000466339290142,0.0006600141059607267,0.0001317597780143842,0.014958662912249565,0.09165063500404358,0.1947685331106186,0.9993807077407837,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,3.0,0.10028053142596037,val_loss,0.013971985317766666,0.11055964976549149,0.0,0.0,509.0,20.0,2.0,spot_delta,10.0,False,False,0.09181103110313416,0.14121297001838684
proto_source=spot_delta_k=25_weighted=0_learnw=0,train,1234,proto,-0.02614119090139866,0.029001737013459206,-0.11600885540246964,-0.08041275292634964,-0.10598248988389969,-0.0179180558770895,0.002292062621563673,0.8872942169691853,-0.026662301272153854,0.000816606217995286,0.00029549613827839494,0.02899651974439621,0.32847821712493896,0.33662670850753784,1.0,0.007925284930350359,0.007925284930350359,0.0,0.14731954411143944,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,53.0,0.0994992163264481,val_loss,0.022325783967971802,0.12229856103658676,4.930966469428008e-05,0.0019723865877712033,2369.0,20.0,2.0,spot_delta,25.0,False,False,0.1121126189827919,0.32868146896362305
proto_source=spot_delta_k=25_weighted=0_learnw=0,val,1234,proto,-0.025967277586460114,0.028193974867463112,-0.11738674342632294,-0.07552853971719742,-0.10221265256404877,-0.019649997353553772,0.0028707704041153193,0.8560157790927022,-0.02663908153772354,0.0009639674099162221,0.00029216616530902684,0.028858553618192673,0.3284863829612732,0.3341301381587982,1.0,0.005917159763313609,0.005917159763313609,0.0,0.1341222879684418,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,53.0,0.0994992163264481,val_loss,0.022325783967971802,0.12229856103658676,4.930966469428008e-05,0.0019723865877712033,507.0,20.0,2.0,spot_delta,25.0,False,False,0.1121126189827919,0.32868146896362305
proto_source=spot_delta_k=25_weighted=0_learnw=0,test,1234,proto,-0.029212284833192825,0.028272049501538277,-0.11908333748579025,-0.08897323161363602,-0.1045149564743042,-0.02519717440009117,0.0023974815849214792,0.899803536345776,-0.03000466339290142,0.0010858289897441864,0.0002934507792815566,0.028718404471874237,0.32731252908706665,0.33748844265937805,1.0,0.008447937131630648,0.008447937131630648,0.0,0.18271119842829076,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,53.0,0.0994992163264481,val_loss,0.022325783967971802,0.12229856103658676,4.930966469428008e-05,0.0019723865877712033,509.0,20.0,2.0,spot_delta,25.0,False,False,0.1121126189827919,0.32868146896362305
unhedged,train,2345,baseline,-0.026826728135347366,0.029421282932162285,-0.11633431166410446,-0.08263387531042099,-0.1060757115483284,-0.019631266593933105,-0.0,0.6787674124102997,-0.026826728135347366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,2345,baseline,-0.02657952904701233,0.028686298057436943,-0.1138404980301857,-0.08202298730611801,-0.10312635451555252,-0.019919143989682198,0.005014507099986076,0.8438159560996201,-0.026826728135347366,0.0004120721132494509,0.00016487296670675278,0.02054806612432003,0.6460080146789551,0.2585102915763855,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,2345,baseline,-0.02659819833934307,0.028675789013504982,-0.11249560862779617,-0.08290974795818329,-0.1036890298128128,-0.01930154860019684,0.003874856047332287,0.8455044322498945,-0.026826728135347366,0.0003169768024235964,8.844534022500739e-05,0.011053991504013538,0.5460079908370972,0.21824336051940918,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,2345,baseline,-0.02615988813340664,0.03281106799840927,-0.1276412308216095,-0.0821576789021492,-0.12250255048274994,-0.014992833137512207,-0.0,0.6725838264299803,-0.02615988813340664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,2345,baseline,-0.026070160791277885,0.031034260988235474,-0.13295269012451172,-0.08077793568372726,-0.11621784418821335,-0.016987180337309837,0.00397428497672081,0.8560157790927022,-0.02615988813340664,0.00025336979888379574,0.00016364146722480655,0.02038613334298134,0.6420050263404846,0.25870707631111145,0.6460080146789551,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,2345,baseline,-0.026045944541692734,0.031230738386511803,-0.129926398396492,-0.07986052334308624,-0.11750596016645432,-0.016796762123703957,0.0028157823253422976,0.8599605522682445,-0.02615988813340664,0.00020245257474016398,8.851113670971245e-05,0.011061043478548527,0.5420050024986267,0.2185238003730774,0.5460079908370972,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,2345,baseline,-0.029716691002249718,0.03285712003707886,-0.12699578702449799,-0.09535706043243408,-0.11818423867225647,-0.020919084548950195,-0.0,0.6915520628683693,-0.029716691002249718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,2345,baseline,-0.029290663078427315,0.032662395387887955,-0.11837741732597351,-0.08949193358421326,-0.11473239958286285,-0.021529849618673325,0.005116268061101437,0.8330058939096268,-0.029716691002249718,0.0005896735819987953,0.0001636476517887786,0.020396169275045395,0.6232870221138,0.2587064802646637,0.6355419754981995,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,2345,baseline,-0.02935313619673252,0.03255933150649071,-0.12034591287374496,-0.09131421148777008,-0.11482951045036316,-0.0216742604970932,0.003681412199512124,0.8271119842829077,-0.029716691002249718,0.00045197425060905516,8.842116221785545e-05,0.011050082743167877,0.5232869982719421,0.21805614233016968,0.5355419516563416,0.0,0.0,0.0,0.0,0.1,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,2345,vanilla,-0.026250818744301796,0.027335377410054207,-0.11020238697528839,-0.07821877300739288,-0.10056369751691818,-0.018844127655029297,0.0009184873779304326,0.908400168847615,-0.026826728135347366,0.000786909251473844,0.0002110003842972219,0.025105342268943787,0.14369630813598633,0.3206329345703125,1.0,0.19910299704516674,0.19910299704516674,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_2345/risk_cvar/vanilla,366.0,0.09884506091231175,val_loss,0.023447783663868904,0.1496632993221283,0.001873767258382643,0.07495069033530571,2369.0,20.0,2.0,,,,,,
vanilla,val,2345,vanilla,-0.025839027017354965,0.0306339543312788,-0.12266397476196289,-0.07819663733243942,-0.11695094406604767,-0.014701364561915398,0.0005654423148371279,0.9230769230769231,-0.02615988813340664,0.0005319860065355897,0.00021112585091032088,0.02510574646294117,0.14133942127227783,0.3206444978713989,1.0,0.19881656804733727,0.19881656804733727,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_2345/risk_cvar/vanilla,366.0,0.09884506091231175,val_loss,0.023447783663868904,0.1496632993221283,0.001873767258382643,0.07495069033530571,507.0,20.0,2.0,,,,,,
vanilla,test,2345,vanilla,-0.029024453833699226,0.030670451000332832,-0.12152150273323059,-0.0908660739660263,-0.11265334486961365,-0.02137601748108864,0.0006651716539636254,0.9135559921414538,-0.029716691002249718,0.0009038030402734876,0.0002115686220349744,0.02510647475719452,0.13935983180999756,0.320661336183548,1.0,0.1992632612966601,0.1992632612966601,0.0,1.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_2345/risk_cvar/vanilla,366.0,0.09884506091231175,val_loss,0.023447783663868904,0.1496632993221283,0.001873767258382643,0.07495069033530571,509.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,2345,proto,-0.026792122051119804,0.02918088063597679,-0.11547445505857468,-0.08276784420013428,-0.10605040937662125,-0.01951368898153305,-0.00012351563782431185,0.9915576192486281,-0.026826728135347366,0.00011874004849232733,8.413418981945142e-05,0.005682814866304398,0.2775270342826843,0.05114898085594177,0.6667055487632751,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,477.0,0.098512157574296,val_loss,0.006216801702976227,0.052338797599077225,0.0,0.0,2369.0,20.0,2.0,spot_delta,10.0,False,False,0.30305930972099304,0.787211537361145
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,2345,proto,-0.02606191299855709,0.03234414383769035,-0.13056431710720062,-0.08020461350679398,-0.12181387841701508,-0.014916159212589264,-0.00010566107812337577,0.9960552268244576,-0.02615988813340664,0.00018713207100518048,8.915812941268086e-05,0.005860636010766029,0.2769363224506378,0.05215306207537651,0.8550943732261658,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/QQQ_frontier_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,477.0,0.098512157574296,val_loss,0.006216801702976227,0.052338797599077225,0.0,0.0,507.0,20.0,2.0,spot_delta,10.0,False,False,0.30305930972099304,0.787211537361145
