model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.013643952086567879,0.02162337303161621,-0.09455298632383347,-0.05659962072968483,-0.08098996430635452,-0.0,0.0,0.4864457831325301,-0.013643952086567879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.013706386089324951,0.021183697506785393,-0.09360889345407486,-0.056406550109386444,-0.0790354311466217,-0.005398279055953026,0.004790516570210457,0.7555220883534136,-0.013643952086567879,0.00010276192188030109,0.00016519660130143166,0.020647773519158363,0.577771008014679,0.2539401948451996,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.013656646013259888,0.02115653268992901,-0.09168755263090134,-0.05596575140953064,-0.07942140102386475,-0.004070964176207781,0.0033863834105432034,0.7585341365461847,-0.013643952086567879,6.486580241471529e-05,7.756023842375726e-05,0.009694673120975494,0.4277710020542145,0.18993297219276428,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.014999108389019966,0.023169515654444695,-0.10650461912155151,-0.05816337466239929,-0.08381586521863937,-0.0006363987922668457,-0.0,0.5070422535211268,-0.014999108389019966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.015219973400235176,0.02273002453148365,-0.10143733769655228,-0.05641981586813927,-0.08334214985370636,-0.00640826765447855,0.0048547727055847645,0.7746478873239436,-0.014999108389019966,-5.682456321665086e-05,0.00016404005873482674,0.020506132394075394,0.578885018825531,0.25404343008995056,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.015105213038623333,0.022673100233078003,-0.10286465287208557,-0.05631151795387268,-0.08293108642101288,-0.00490078330039978,0.0034118115436285734,0.7676056338028169,-0.014999108389019966,-2.849033808161039e-05,7.761348388157785e-05,0.009701081551611423,0.42888501286506653,0.19006744027137756,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.016239458695054054,0.02358030527830124,-0.09147556871175766,-0.06596498191356659,-0.08474922925233841,-0.004446506500244141,-0.0,0.5537383177570093,-0.016239458695054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.016828173771500587,0.02274325117468834,-0.0899653360247612,-0.06553810834884644,-0.08233105391263962,-0.008091192692518234,0.0036677748430520296,0.8154205607476636,-0.016239458695054054,-0.00042638526065275073,0.00016233022324740887,0.020271241664886475,0.5764219760894775,0.2543640732765198,0.582252025604248,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.01661425270140171,0.02283043973147869,-0.09086787700653076,-0.06493521481752396,-0.08279126137495041,-0.006582104600965977,0.0029196685645729303,0.8200934579439252,-0.016239458695054054,-0.0002973781665787101,7.741680747130886e-05,0.00967583991587162,0.42642197012901306,0.1897304803133011,0.43225201964378357,0.0,0.0,0.0,0.0,0.15,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.01371622271835804,0.021248264238238335,-0.09350121766328812,-0.05598083510994911,-0.08006647974252701,-0.0009762553381733596,-0.00011509640899021178,0.9994979919678715,-0.013643952086567879,-1.0250229024677537e-05,6.202013173606247e-05,0.006311511155217886,0.01367710530757904,0.06591025739908218,0.2555241882801056,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/TLT_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,156.0,0.060124349751276895,val_loss,0.00343132927082479,0.0251508466899395,0.0,0.0,1992.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.015062007121741772,0.02276778034865856,-0.10527854412794113,-0.05750521272420883,-0.08286307752132416,-0.001288765692152083,-0.00011104316217824817,1.0,-0.014999108389019966,-8.261932293862628e-07,6.20731370872818e-05,0.006308055482804775,0.01369825005531311,0.06586384773254395,0.2539152204990387,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/TLT_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,156.0,0.060124349751276895,val_loss,0.00343132927082479,0.0251508466899395,0.0,0.0,426.0,20.0,2.0,,,,,,
