model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.02940552495419979,0.047686390578746796,-0.2213832437992096,-0.11728485673666,-0.18334369361400604,-0.004232227802276611,0.0,0.5303571428571429,-0.02940552495419979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02941230684518814,0.046844176948070526,-0.21951130032539368,-0.11671210825443268,-0.17921946942806244,-0.011302093975245953,0.007765386253595352,0.7763392857142857,-0.02940552495419979,0.00016596524801570922,0.00017274591664317995,0.021575063467025757,0.5913040041923523,0.25697991251945496,0.5913040041923523,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.02937731146812439,0.046744439750909805,-0.21941247582435608,-0.11573958396911621,-0.17959411442279816,-0.01042105071246624,0.0067151752300560474,0.7776785714285714,-0.02940552495419979,0.00012749021698255092,9.927577775670215e-05,0.01241198368370533,0.5413039922714233,0.24357973039150238,0.5413039922714233,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.02951079048216343,0.04803629592061043,-0.18863199651241302,-0.10940630733966827,-0.17390954494476318,-0.002839028835296631,0.0,0.51875,-0.02951079048216343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.029558531939983368,0.04528021812438965,-0.1731337010860443,-0.10398361831903458,-0.16178782284259796,-0.01038343459367752,0.006794508546590805,0.7979166666666667,-0.02951079048216343,0.00012674594472628087,0.00017448714061174542,0.021766971796751022,0.5890989899635315,0.2570447027683258,0.5913040041923523,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.029355419799685478,0.0453658364713192,-0.1737471967935562,-0.10313865542411804,-0.16246742010116577,-0.009110739454627037,0.005825486034154892,0.8041666666666667,-0.02951079048216343,0.00025511125568300486,9.974141721613705e-05,0.012466490268707275,0.5390989780426025,0.24384117126464844,0.5413039922714233,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.028468066826462746,0.04726194590330124,-0.19863586127758026,-0.12067735195159912,-0.170217365026474,0.0,0.0,0.49064449064449067,-0.028468066826462746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.028632821515202522,0.046653129160404205,-0.19413383305072784,-0.12129316478967667,-0.16872087121009827,-0.008267019875347614,0.008159715682268143,0.7525987525987526,-0.028468066826462746,6.244794803933473e-06,0.00017100120021495968,0.021377401426434517,0.5836640000343323,0.2576090097427368,0.5890989899635315,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.02861967124044895,0.0466429777443409,-0.19499638676643372,-0.11883947253227234,-0.16873279213905334,-0.007507440634071827,0.006975940894335508,0.7505197505197505,-0.028468066826462746,-5.211549432715401e-05,9.948820661520585e-05,0.012440772727131844,0.5336639881134033,0.24408908188343048,0.5390989780426025,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.029407044872641563,0.045360591262578964,-0.21328547596931458,-0.11311150342226028,-0.17666231095790863,-0.006207875441759825,-0.00042109243804588914,1.0,-0.02940552495419979,0.00015109441301319748,0.00015261529188137501,0.018694519996643066,0.03835594654083252,0.19504576921463013,0.752274215221405,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,220.0,0.1180034521408379,val_loss,0.017989639192819595,0.18530085682868958,0.0,0.0,2240.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,-0.029385847970843315,0.0457644909620285,-0.18180769681930542,-0.10550477355718613,-0.16760720312595367,-0.005782658234238625,-0.0003461471351329237,1.0,-0.02951079048216343,0.00027771928580477834,0.00015277741476893425,0.018693402409553528,0.038314640522003174,0.19502195715904236,0.7512587308883667,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,220.0,0.1180034521408379,val_loss,0.017989639192819595,0.18530085682868958,0.0,0.0,480.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,-0.028596002608537674,0.04490840062499046,-0.19146288931369781,-0.11636491864919662,-0.16401875019073486,-0.004516439978033304,-0.00046548701357096434,1.0,-0.028468066826462746,2.425447564746719e-05,0.0001521896629128605,0.01869387924671173,0.038325726985931396,0.19505387544631958,0.7503839135169983,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,220.0,0.1180034521408379,val_loss,0.017989639192819595,0.18530085682868958,0.0,0.0,481.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,-0.029642445966601372,0.045719657093286514,-0.21722954511642456,-0.11240002512931824,-0.1792377382516861,-0.006029006093740463,-0.0004420267650857568,0.9709821428571429,-0.02940552495419979,0.0003014307585544884,0.0005383513052947819,0.024341052398085594,0.14863625168800354,0.2630757689476013,1.0,0.001529017857142857,0.00032366071428571426,0.0012053571428571428,0.020982142857142855,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,5.0,0.11784178651931386,val_loss,0.017153633758425713,0.14256472885608673,0.00010416666666666667,0.0020833333333333333,2240.0,20.0,2.0,spot_delta,10.0,False,False,0.07525479048490524,0.16328513622283936
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,-0.029779335483908653,0.04582834988832474,-0.1814461052417755,-0.10393799841403961,-0.16894853115081787,-0.0059044500812888145,-0.0005498975515365601,0.96875,-0.02951079048216343,0.00026481779059395194,0.0005333619192242622,0.024066148325800896,0.14808732271194458,0.26354876160621643,1.0,0.00036458333333333335,0.00015625,0.00020833333333333335,0.010416666666666666,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,5.0,0.11784178651931386,val_loss,0.017153633758425713,0.14256472885608673,0.00010416666666666667,0.0020833333333333333,480.0,20.0,2.0,spot_delta,10.0,False,False,0.07525479048490524,0.16328513622283936
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,-0.02900089882314205,0.04546397179365158,-0.1958041787147522,-0.11534340679645538,-0.16704420745372772,-0.005209683906286955,-0.0006386915920302272,0.9708939708939709,-0.028468066826462746,3.772503259824589e-05,0.0005705591756850481,0.024557456374168396,0.14863625168800354,0.26557987928390503,1.0,0.002338877338877339,0.0004158004158004158,0.0019230769230769232,0.029106029106029108,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,5.0,0.11784178651931386,val_loss,0.017153633758425713,0.14256472885608673,0.00010416666666666667,0.0020833333333333333,481.0,20.0,2.0,spot_delta,10.0,False,False,0.07525479048490524,0.16328513622283936
proto_source=spot_delta_k=25_weighted=0_learnw=0,train,1234,proto,-0.029060807079076767,0.046252209693193436,-0.2147749811410904,-0.1132894977927208,-0.17824313044548035,-0.0065276832319796085,0.002628808142617345,0.8053571428571429,-0.02940552495419979,0.0004773293330799788,0.00013260966807138175,0.014172879979014397,0.5215372443199158,0.13822802901268005,1.0,6.696428571428572e-05,6.696428571428572e-05,0.0,0.002232142857142857,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,365.0,0.11726921438705176,val_loss,0.010317920707166195,0.08061623573303223,0.0,0.0,2240.0,20.0,2.0,spot_delta,25.0,False,False,0.21180254220962524,0.5245139002799988
proto_source=spot_delta_k=25_weighted=0_learnw=0,val,1234,proto,-0.029315579682588577,0.04679086431860924,-0.18425273895263672,-0.10726640373468399,-0.1687219887971878,-0.006629101000726223,0.0021749415900558233,0.8166666666666667,-0.02951079048216343,0.000324431894114241,0.00012922253517899662,0.013761463575065136,0.5094237923622131,0.13662749528884888,0.6980881690979004,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,365.0,0.11726921438705176,val_loss,0.010317920707166195,0.08061623573303223,0.0,0.0,480.0,20.0,2.0,spot_delta,25.0,False,False,0.21180254220962524,0.5245139002799988
proto_source=spot_delta_k=25_weighted=0_learnw=0,test,1234,proto,-0.02861633151769638,0.046406958252191544,-0.1930580735206604,-0.11975090205669403,-0.16654445230960846,-0.0057252561673521996,0.00269028777256608,0.8024948024948025,-0.028468066826462746,-2.0161023712716997e-05,0.00012810406042262912,0.013874460011720657,0.5195051431655884,0.1398198902606964,0.9819386005401611,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLE_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,365.0,0.11726921438705176,val_loss,0.010317920707166195,0.08061623573303223,0.0,0.0,481.0,20.0,2.0,spot_delta,25.0,False,False,0.21180254220962524,0.5245139002799988
unhedged,train,2345,baseline,-0.02905680052936077,0.04698021709918976,-0.2141544222831726,-0.11724981665611267,-0.17729446291923523,-0.0035613179206848145,0.0,0.5227678571428571,-0.02905680052936077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,2345,baseline,-0.02913045510649681,0.045614052563905716,-0.21326246857643127,-0.113154336810112,-0.17094016075134277,-0.010570510290563107,0.007540934719145298,0.7776785714285714,-0.02905680052936077,9.891526133287698e-05,0.00017256925639230758,0.021551983430981636,0.5913040041923523,0.2570464015007019,0.5913040041923523,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,2345,baseline,-0.029082264751195908,0.04557103291153908,-0.21203641593456268,-0.11383704841136932,-0.17130215466022491,-0.009750712662935257,0.00646997569128871,0.7785714285714286,-0.02905680052936077,7.389800157397985e-05,9.936146670952439e-05,0.012422260828316212,0.5413039922714233,0.24364283680915833,0.5413039922714233,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,2345,baseline,-0.032801005989313126,0.05321557819843292,-0.2390296906232834,-0.11850690096616745,-0.20064890384674072,-0.008181214332580566,0.0,0.55625,-0.032801005989313126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,2345,baseline,-0.03254200145602226,0.05198610946536064,-0.2292122095823288,-0.1140037477016449,-0.19916540384292603,-0.01319238543510437,0.007447624113410711,0.7958333333333333,-0.032801005989313126,0.00043258655932731926,0.0001735843252390623,0.021655941382050514,0.5857629776000977,0.2571639120578766,0.5913040041923523,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
