model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.025103311985731125,0.03208998218178749,-0.13731516897678375,-0.08448334038257599,-0.11885851621627808,-0.013945400714874268,-0.0,0.6291234684260132,-0.025103311985731125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02492811344563961,0.03212015703320503,-0.13806304335594177,-0.08590377122163773,-0.11730914562940598,-0.01538158394396305,0.00637457612901926,0.797832233741753,-0.025103311985731125,0.00046107289381325245,0.00028587671113200486,0.035618435591459274,0.6902719736099243,0.2566879391670227,0.6902719736099243,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.024910129606723785,0.031576331704854965,-0.13611780107021332,-0.08538675308227539,-0.11627883464097977,-0.014818200841546059,0.004651929251849651,0.8105560791705938,-0.025103311985731125,0.000329150672769174,0.0001359709131065756,0.016970178112387657,0.6402719616889954,0.2520642578601837,0.6402719616889954,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.023097975179553032,0.02853785641491413,-0.11231029778718948,-0.07772206515073776,-0.10312295705080032,-0.014392077922821045,0.0,0.6167400881057269,-0.023097975179553032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.022730683907866478,0.027821647003293037,-0.11730342358350754,-0.07360151410102844,-0.09914311021566391,-0.014668773859739304,0.005069411359727383,0.8281938325991189,-0.023097975179553032,0.0006536194705404341,0.00028632613248191774,0.03564300760626793,0.6281219720840454,0.25639498233795166,0.6443529725074768,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.022663328796625137,0.027449944987893105,-0.11565656960010529,-0.07566884905099869,-0.09881838411092758,-0.01453102845698595,0.004220626782625914,0.8303964757709251,-0.023097975179553032,0.0005705083021894097,0.00013586039131041616,0.016934506595134735,0.5781219601631165,0.2520100176334381,0.5943529605865479,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.024232489988207817,0.030362827703356743,-0.12487246096134186,-0.0804828405380249,-0.10932158678770065,-0.013207614421844482,0.0,0.6359649122807017,-0.024232489988207817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.024066543206572533,0.0298417080193758,-0.11709632724523544,-0.08320805430412292,-0.10559983551502228,-0.01479654386639595,0.006346212700009346,0.8267543859649122,-0.024232489988207817,0.0004516290791798383,0.00028568017296493053,0.03558596223592758,0.6351810097694397,0.2571134865283966,0.6902719736099243,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.023979727178812027,0.029421823099255562,-0.11804790794849396,-0.0819968581199646,-0.10502661019563675,-0.014936532825231552,0.0042516193352639675,0.8048245614035088,-0.024232489988207817,0.0003862947633024305,0.00013353001850191504,0.016662590205669403,0.5851809978485107,0.25230634212493896,0.6402719616889954,0.0,0.0,0.0,0.0,0.05,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.02488580159842968,0.030223460868000984,-0.13184665143489838,-0.08099336177110672,-0.11394950747489929,-0.01375601813197136,-0.0004259259148966521,0.9971724787935909,-0.025103311985731125,0.0004774093977175653,0.0002599010185804218,0.02244570665061474,0.050184786319732666,0.22115488350391388,0.8934488296508789,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLF_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,284.0,0.08961529104039073,val_loss,0.020009126514196396,0.18935491144657135,0.0,0.0,2122.0,20.0,2.0,,,,,,
