model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.027801254764199257,0.03165970742702484,-0.12730738520622253,-0.08868417888879776,-0.11401500552892685,-0.01862126588821411,0.0,0.6656626506024096,-0.027801254764199257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.027540218085050583,0.030768075957894325,-0.1195710226893425,-0.08567239344120026,-0.10900130122900009,-0.019744016230106354,0.005411498714238405,0.8433734939759037,-0.027801254764199257,0.0004624662396963686,0.00020142871653661132,0.02506070025265217,0.6374130249023438,0.2577696144580841,0.6374130249023438,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.027540218085050583,0.030768075957894325,-0.1195710226893425,-0.08567239344120026,-0.10900130122900009,-0.019744016230106354,0.005411498714238405,0.8433734939759037,-0.027801254764199257,0.0004624662396963686,0.00020142871653661132,0.02506070025265217,0.6374130249023438,0.2577696144580841,0.6374130249023438,0.0,0.0,0.0,0.0,0.0,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.02913888543844223,0.03237207606434822,-0.12412756681442261,-0.08778160810470581,-0.11768434196710587,-0.020896434783935547,-0.0,0.7300469483568075,-0.02913888543844223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.028540946543216705,0.030791427940130234,-0.11428319662809372,-0.0880180299282074,-0.10993579030036926,-0.021591531112790108,0.005109465681016445,0.863849765258216,-0.02913888543844223,0.0008001625537872314,0.00020222700550220907,0.02515173889696598,0.6312080025672913,0.2578669488430023,0.6312080025672913,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.028540946543216705,0.030791427940130234,-0.11428319662809372,-0.0880180299282074,-0.10993579030036926,-0.021591531112790108,0.005109465681016445,0.863849765258216,-0.02913888543844223,0.0008001625537872314,0.00020222700550220907,0.02515173889696598,0.6312080025672913,0.2578669488430023,0.6312080025672913,0.0,0.0,0.0,0.0,0.0,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.028681358322501183,0.03261413425207138,-0.11549922823905945,-0.08832021057605743,-0.11221597343683243,-0.017145752906799316,-0.0,0.6425233644859814,-0.028681358322501183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.028760312125086784,0.031708043068647385,-0.11745455861091614,-0.08550730347633362,-0.10976462811231613,-0.019769232720136642,0.00715806195512414,0.8364485981308412,-0.028681358322501183,0.00011368362174835056,0.00019263653666712344,0.02399340458214283,0.6284639835357666,0.2577458918094635,0.6312080025672913,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.028760312125086784,0.031708043068647385,-0.11745455861091614,-0.08550730347633362,-0.10976462811231613,-0.019769232720136642,0.00715806195512414,0.8364485981308412,-0.028681358322501183,0.00011368362174835056,0.00019263653666712344,0.02399340458214283,0.6284639835357666,0.2577458918094635,0.6312080025672913,0.0,0.0,0.0,0.0,0.0,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.027351807802915573,0.029727032408118248,-0.12180735170841217,-0.08489225059747696,-0.10910850763320923,-0.017947185784578323,-0.0004450438136700541,0.9994979919678715,-0.027801254764199257,0.0006397487013600767,0.00019030194380320609,0.02268604375422001,0.04943668842315674,0.233619824051857,0.9210332632064819,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLK_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,215.0,0.10655183093622327,val_loss,0.021512571722269058,0.21787048876285553,0.0,0.0,1992.0,20.0,2.0,,,,,,
