model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric,risk_measure,artifact_dir,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.018617672845721245,0.023832140490412712,-0.09005081653594971,-0.060826800763607025,-0.08322145789861679,-0.009561657905578613,0.0,0.6045454545454545,-0.018617672845721245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.018724938854575157,0.02376091480255127,-0.08793720602989197,-0.06091919168829918,-0.08243421465158463,-0.011009540408849716,0.004195407032966614,0.8166666666666667,-0.018617672845721245,7.123500836314633e-05,0.00017850121366791427,0.022255100309848785,0.60760897397995,0.25741463899612427,0.60760897397995,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,train,1234,baseline,-0.018679458647966385,0.023730920627713203,-0.08773644268512726,-0.06066654250025749,-0.08236946910619736,-0.010905109345912933,0.0039759413339197636,0.8151515151515152,-0.018617672845721245,7.600331446155906e-05,0.00013779073196928948,0.017187919467687607,0.5976089835166931,0.25714796781539917,0.5976089835166931,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.02060861326754093,0.029760295525193214,-0.10531771928071976,-0.06126173585653305,-0.10196752846240997,-0.012462019920349121,-0.0,0.6155660377358491,-0.02060861326754093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.020040493458509445,0.02718588337302208,-0.08852791786193848,-0.06165168434381485,-0.09331408143043518,-0.012886932119727135,0.0037110268604010344,0.7995283018867925,-0.02060861326754093,0.0007473683799616992,0.0001792490656953305,0.022341186180710793,0.5931580066680908,0.25734761357307434,0.60760897397995,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,val,1234,baseline,-0.02001230977475643,0.02726474031805992,-0.08807772397994995,-0.06121319904923439,-0.09351248294115067,-0.013065848499536514,0.00328368553891778,0.8042452830188679,-0.02060861326754093,0.0007348039653152227,0.00013849844981450588,0.017275415360927582,0.583158016204834,0.2569981813430786,0.5976089835166931,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.01854742504656315,0.02433396875858307,-0.0764540433883667,-0.06248238682746887,-0.07995794713497162,-0.006361663341522217,-0.0,0.5610328638497653,-0.01854742504656315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.018084082752466202,0.023489730432629585,-0.07041438668966293,-0.05994798615574837,-0.07675181329250336,-0.008165750652551651,0.004764226730912924,0.7863849765258216,-0.01854742504656315,0.0006383737782016397,0.00017503314302302897,0.021821627393364906,0.6018829941749573,0.2580479383468628,0.60760897397995,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
spot_delta_band,test,1234,baseline,-0.018129685893654823,0.023457547649741173,-0.07039693742990494,-0.059313442558050156,-0.07674991339445114,-0.008093884214758873,0.004238558001816273,0.784037558685446,-0.01854742504656315,0.0005529890768229961,0.0001352518011117354,0.01687302440404892,0.5918830037117004,0.2577821910381317,0.5976089835166931,0.0,0.0,0.0,0.0,0.01,gains_mean,,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,-0.018552441149950027,0.02319737896323204,-0.08837886154651642,-0.05972529947757721,-0.08167417347431183,-0.009456893429160118,-0.00017524778377264738,1.0,-0.018617672845721245,0.00014976922830101103,8.45393878989853e-05,0.009914595633745193,0.02087286114692688,0.10306631028652191,0.4013032019138336,0.0,0.0,0.0,0.0,,,cvar,/Users/yaniszaim/deephedging/.deephedging_real_runs/new_data_panel/XLV_frontier_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,122.0,0.07979186806362122,val_loss,0.009285694919526577,0.09433606266975403,0.0,0.0,1980.0,20.0,2.0,,,,,,
