regime_type,regime,prototype,mean_weight
return_regime,down,prototype_0,6.0323549405438825e-05
return_regime,down,prototype_1,8.061094326772267e-12
return_regime,down,prototype_2,0.03570878133177757
return_regime,down,prototype_3,0.07003721594810486
return_regime,down,prototype_4,0.04692041873931885
return_regime,down,prototype_5,4.674943099303164e-09
return_regime,down,prototype_6,2.378741648101368e-08
return_regime,down,prototype_7,9.624687852261005e-11
return_regime,down,prototype_8,0.0835941731929779
return_regime,down,prototype_9,9.710368766664354e-14
return_regime,down,prototype_10,0.2024991661310196
return_regime,down,prototype_11,0.001878179144114256
return_regime,down,prototype_12,0.012333681806921959
return_regime,down,prototype_13,2.770817809505388e-05
return_regime,down,prototype_14,0.00013254607620183378
return_regime,down,prototype_15,7.299394920966262e-13
return_regime,down,prototype_16,0.22008554637432098
return_regime,down,prototype_17,0.001144002890214324
return_regime,down,prototype_18,0.1735282838344574
return_regime,down,prototype_19,8.10050914878957e-06
return_regime,down,prototype_20,3.227190389920587e-11
return_regime,down,prototype_21,0.04500956833362579
return_regime,down,prototype_22,3.3442987962262194e-11
return_regime,down,prototype_23,0.1070319339632988
return_regime,down,prototype_24,3.276462905432709e-07
return_regime,middle,prototype_0,8.148016786435619e-05
return_regime,middle,prototype_1,1.561612124334477e-11
return_regime,middle,prototype_2,0.018610240891575813
return_regime,middle,prototype_3,0.018389005213975906
return_regime,middle,prototype_4,0.0388009175658226
return_regime,middle,prototype_5,5.264729541210045e-09
return_regime,middle,prototype_6,3.068040044240661e-08
return_regime,middle,prototype_7,3.305965570743474e-11
return_regime,middle,prototype_8,0.2578178942203522
return_regime,middle,prototype_9,7.979639898066798e-14
return_regime,middle,prototype_10,0.2176608443260193
return_regime,middle,prototype_11,0.0018729200819507241
return_regime,middle,prototype_12,0.008204400539398193
return_regime,middle,prototype_13,7.800865205354057e-06
return_regime,middle,prototype_14,0.00023186368343885988
return_regime,middle,prototype_15,9.451057558090836e-13
return_regime,middle,prototype_16,0.27557626366615295
return_regime,middle,prototype_17,0.002987460931763053
return_regime,middle,prototype_18,0.09975487738847733
return_regime,middle,prototype_19,9.960687748389319e-06
return_regime,middle,prototype_20,3.47839049230636e-11
return_regime,middle,prototype_21,0.029224133118987083
return_regime,middle,prototype_22,4.975415912600312e-11
return_regime,middle,prototype_23,0.030769456177949905
return_regime,middle,prototype_24,4.654767735701171e-07
return_regime,up,prototype_0,0.0003382352879270911
return_regime,up,prototype_1,1.0518393100955592e-10
return_regime,up,prototype_2,0.018199104815721512
return_regime,up,prototype_3,0.017105018720030785
return_regime,up,prototype_4,0.031430430710315704
return_regime,up,prototype_5,1.179377662197112e-08
return_regime,up,prototype_6,5.671032354825911e-08
return_regime,up,prototype_7,8.518760141740245e-10
return_regime,up,prototype_8,0.41074174642562866
return_regime,up,prototype_9,2.8842405894180523e-12
return_regime,up,prototype_10,0.1450197547674179
return_regime,up,prototype_11,0.00414024805650115
return_regime,up,prototype_12,0.005130352918058634
return_regime,up,prototype_13,8.576920663472265e-06
return_regime,up,prototype_14,0.0069067031145095825
return_regime,up,prototype_15,1.3327861383971573e-11
return_regime,up,prototype_16,0.1925235092639923
return_regime,up,prototype_17,0.034023918211460114
return_regime,up,prototype_18,0.06285802274942398
return_regime,up,prototype_19,1.668552249611821e-05
return_regime,up,prototype_20,2.882560856676264e-10
return_regime,up,prototype_21,0.0513436421751976
return_regime,up,prototype_22,5.060005192625283e-10
return_regime,up,prototype_23,0.020212948322296143
return_regime,up,prototype_24,1.0254565268041915e-06
vol_regime,low_vol,prototype_0,7.328367792069912e-05
vol_regime,low_vol,prototype_1,1.7923401478270318e-12
vol_regime,low_vol,prototype_2,0.00035530125023797154
vol_regime,low_vol,prototype_3,0.002586405025795102
vol_regime,low_vol,prototype_4,0.016241496428847313
