regime_type,regime,series,n,mean,p05,cvar05,shortfall_prob
return_regime,down,proto_tail_gains,170,-0.00239004670010592,-0.010947612952440977,-0.012504929780132241,0.7
return_regime,down,vanilla_gains,170,-0.002602478892795796,-0.008406000304967165,-0.009983024559915066,0.7411764705882353
return_regime,down,spot_delta_band_gains,170,-0.0019485681151041611,-0.011593084409832954,-0.01615501878162225,0.6470588235294118
return_regime,down,unhedged_gains,170,-0.0008500379674574908,-0.005891048908233642,-0.008166856235928006,0.19411764705882353
return_regime,middle,proto_tail_gains,169,-0.023789061522717484,-0.03564568608999252,-0.03879270702600479,1.0
return_regime,middle,vanilla_gains,169,-0.023347918307904662,-0.03557465299963951,-0.03611111558145947,1.0
return_regime,middle,spot_delta_band_gains,169,-0.023887089690601333,-0.03724090084433555,-0.03984437303410636,1.0
return_regime,middle,unhedged_gains,169,-0.024460513916241346,-0.03664309978485107,-0.0370488166809082,1.0
return_regime,up,proto_tail_gains,170,-0.061425843352780625,-0.10633526816964149,-0.12197823822498322,1.0
return_regime,up,vanilla_gains,170,-0.061280372147174446,-0.10877993628382682,-0.11819745269086626,1.0
return_regime,up,spot_delta_band_gains,170,-0.06371828537872609,-0.10856745578348637,-0.12471026678880055,1.0
return_regime,up,unhedged_gains,170,-0.06467082290088429,-0.11152620911598204,-0.12537454234229195,1.0
vol_regime,low_vol,proto_tail_gains,170,-0.025217953225450507,-0.05766553040593862,-0.07047356127036943,0.9352941176470588
vol_regime,low_vol,vanilla_gains,170,-0.025079159731873968,-0.05668601375073194,-0.07008769818478161,0.9235294117647059
vol_regime,low_vol,spot_delta_band_gains,170,-0.025646692778194417,-0.060919150896370414,-0.0718986156086127,0.9117647058823529
vol_regime,low_vol,unhedged_gains,170,-0.026289565422955682,-0.05987798571586609,-0.07421186235215929,0.8588235294117647
vol_regime,mid_vol,proto_tail_gains,169,-0.03152534942874222,-0.08829568326473236,-0.10254340039359199,0.8816568047337278
vol_regime,mid_vol,vanilla_gains,169,-0.031516090307964054,-0.08636918067932128,-0.10240356375773747,0.9112426035502958
vol_regime,mid_vol,spot_delta_band_gains,169,-0.0318763832717825,-0.08859089761972427,-0.10165861414538489,0.863905325443787
vol_regime,mid_vol,unhedged_gains,169,-0.032754529157333824,-0.09177703857421875,-0.10754499170515272,0.7396449704142012
vol_regime,high_vol,proto_tail_gains,170,-0.03090715649732909,-0.0979798648506403,-0.11753161334329182,0.8823529411764706
vol_regime,high_vol,vanilla_gains,170,-0.030683567378625466,-0.09842349141836167,-0.11398226602209939,0.9058823529411765
vol_regime,high_vol,spot_delta_band_gains,170,-0.03207786297904985,-0.10581804439425468,-0.12199103915029103,0.8705882352941177
vol_regime,high_vol,unhedged_gains,170,-0.030986068529241226,-0.10465412735939025,-0.12113213539123535,0.5941176470588235
drawdown_regime,mild_dd,proto_tail_gains,170,-0.01446089099840987,-0.060729705914855,-0.09539597315920724,0.7705882352941177
drawdown_regime,mild_dd,vanilla_gains,170,-0.014751874748018215,-0.06395587846636772,-0.09553505149152544,0.8411764705882353
drawdown_regime,mild_dd,spot_delta_band_gains,170,-0.014695208809044904,-0.07583217173814774,-0.10884188281165229,0.7470588235294118
drawdown_regime,mild_dd,unhedged_gains,170,-0.013653717321508071,-0.06798293590545654,-0.10249405437045628,0.37058823529411766
drawdown_regime,mid_dd,proto_tail_gains,169,-0.03141985931409628,-0.09061453342437745,-0.09873297065496445,0.9349112426035503
drawdown_regime,mid_dd,vanilla_gains,169,-0.031182371548682825,-0.08622693866491318,-0.09971917337841457,0.9349112426035503
drawdown_regime,mid_dd,spot_delta_band_gains,169,-0.03236851974408702,-0.09317706823348999,-0.1024262946512964,0.9171597633136095
drawdown_regime,mid_dd,unhedged_gains,169,-0.032798763562941695,-0.09112083911895752,-0.10458211104075114,0.863905325443787
drawdown_regime,deep_dd,proto_tail_gains,170,-0.041769088308929524,-0.0933966401964426,-0.10844717174768448,0.9941176470588236
drawdown_regime,deep_dd,vanilla_gains,170,-0.04134260807023726,-0.09220794402062893,-0.10560574713680479,0.9647058823529412
drawdown_regime,deep_dd,spot_delta_band_gains,170,-0.042540105396320166,-0.09508491270244121,-0.10838543706470066,0.9823529411764705
drawdown_regime,deep_dd,unhedged_gains,170,-0.0435779424274669,-0.09751468300819396,-0.11134305265214708,0.9588235294117647
