model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,paper_label
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0390484035015106,0.0017416652245714,-0.1247128099203109,-0.1494318544864654,0.929093567251462,0.9133121569951376,0.0227134882782896,0.0007675438596491,0.000548245614035,0.000219298245614,0.0146198830409356,18.0,0.1502299023782164,0.0005139500734214,0.0036710719530102,,True,True,True,-2.5572876135505903e-05,-0.0002804634471734,-0.000284490485986,0.0006029245754083,0.0045510282119115,-0.000177522500356,0.0003834913174311,-0.0008332629998525,-0.3121345029239767,-0.1169590643274854,-0.1103801169590643,0.0709064327485379,AAPL,ProtoHedge (Mean frontier)
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.038889355957508,0.0018457575075771,-0.1228946074843406,-0.1471765240033467,0.8932748538011696,1.0,0.0300310278932253,0.0408808479532163,0.0238304093567251,0.0170504385964912,0.2551169590643274,83.33333333333333,0.1510762313636301,0.010022026431718,0.1079295154185022,,True,True,True,0.000133474667867,-0.0001214159031709,-0.0001254429419835,0.0007619721194108,0.0068063586950302,0.0020778079827626,0.0026388218005498,0.0014220674832661,-0.2763157894736842,-0.0811403508771929,-0.0745614035087718,0.1067251461988304,AAPL,ProtoHedge (Tail frontier)
spot_delta,baseline,,,,,,3,-0.0387679400543371,0.0012394963973335,-0.1261724357803662,-0.1492543319861094,0.8121345029239766,0.6422320008277893,0.0243560460706551,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0002548905710379,0.0,-4.027038812637329e-06,0.0008833880225817,0.0047285507122675,0.0,0.0005610138177871,-0.0006557404994964,-0.1951754385964912,0.0,0.0065789473684211,0.1878654970760234,AAPL,Spot-Delta
spot_delta_band,baseline,,,,,,3,-0.0387639130155245,0.0013327061745255,-0.1264384885629018,-0.1498153458038965,0.8187134502923977,0.5422319869200388,0.011546604335308,0.0,0.0,0.0,0.0,,,,,0.0999999999999999,True,True,True,0.0002589176098505,4.027038812637329e-06,0.0,0.0008874150613943,0.0041675368944804,-0.0005610138177871,0.0,-0.0012167543172836,-0.2017543859649123,-0.0065789473684211,0.0,0.1812865497076022,AAPL,Spot-Delta Band
unhedged,baseline,,,,,,3,-0.0390228306253751,0.0017610023770476,-0.1294522484143575,-0.1539828826983769,0.6169590643274854,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0002548905710379,-0.0002589176098505,0.0006284974515438,0.0,-0.0047285507122675,-0.0041675368944804,-0.005384291211764,0.0,0.1951754385964912,0.2017543859649123,0.3830409356725146,AAPL,Unhedged
vanilla,vanilla,,,,,cvar,3,-0.0396513280769189,0.0021373931823922,-0.1252062047521273,-0.1485985914866129,1.0,0.8555556734402975,0.028365463639299,0.125,0.0,0.125,0.3333333333333333,122.0,0.1652507218920315,0.125,0.3333333333333333,,True,True,True,-0.0006284974515438,-0.0008833880225817,-0.0008874150613943,0.0,0.005384291211764,0.0006557404994964,0.0012167543172836,0.0,-0.3830409356725146,-0.1878654970760234,-0.1812865497076022,0.0,AAPL,Vanilla DH
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0273292157799005,0.0005814997366612,-0.094247614343961,-0.1284909049669901,0.9325474787164376,0.8743125200271606,0.0189520111307501,0.0021283562540929,0.0021283562540929,0.0,0.0451866404715127,373.3333333333333,0.0990373517555857,0.0001150558842866,0.0032873109796186,,True,True,True,0.000261303037405,0.000253228470683,0.0002231150865554,-0.0001981258392333,0.0021160989999771,0.0019955883423487,0.0013755510250727,-0.0046354159712791,-0.3136869679109365,-0.1198428290766208,-0.1178781925343812,0.0104780615586116,IWM,ProtoHedge (Mean frontier)
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.027327075600624,0.0004760471351543,-0.0961067726214726,-0.1271060431996981,0.9515389652914212,0.9946886698404948,0.0183476323727518,0.0083005893909626,0.0082351015062213,6.548788474132285e-05,0.16633922724296,27.0,0.0997037482345314,0.0001314924391847,0.0039447731755424,,True,True,True,0.0002634432166814,0.0002553686499595,0.0002252552658319,-0.0001959856599569,0.0035009607672691,0.0033804501096407,0.0027604127923647,-0.0032505542039871,-0.3326784544859201,-0.1388343156516044,-0.1368696791093648,-0.0085134250163719,IWM,ProtoHedge (Tail frontier)
spot_delta,baseline,,,,,,3,-0.0275824442505836,0.0004180021509198,-0.0970874999960263,-0.1304864933093389,0.8127046496398167,0.5909596482912699,0.0193859878927469,0.0,0.0,0.0,0.0,,,,,,True,True,True,8.074566721916199e-06,0.0,-3.011338412761688e-05,-0.0004513543099164,0.0001205106576283,0.0,-0.000620037317276,-0.0066310043136278,-0.1938441388343157,0.0,0.0019646365422395,0.1303208906352324,IWM,Spot-Delta
spot_delta_band,baseline,,,,,,3,-0.027552330866456,0.0004228978660512,-0.0972503324349721,-0.1298664559920629,0.8146692861820563,0.5076263050238291,0.0113904997706413,0.0,0.0,0.0,0.0,,,,,0.0833333333333333,True,True,True,3.818795084953308e-05,3.011338412761688e-05,0.0,-0.0004212409257888,0.0007405479749043,0.000620037317276,0.0,-0.0060109669963518,-0.1958087753765552,-0.0019646365422395,0.0,0.1283562540929929,IWM,Spot-Delta Band
