model,split,gains_mean,gains_std,gains_p01,gains_p05,gains_p50,gains_p95,gains_p99,payoff_mean,payoff_std,payoff_p01,payoff_p05,payoff_p50,payoff_p95,payoff_p99,pnl_mean,pnl_std,pnl_p01,pnl_p05,pnl_p50,pnl_p95,pnl_p99,cost_mean,cost_std,cost_p01,cost_p05,cost_p50,cost_p95,cost_p99,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,n_paths,n_steps,n_inst,utility_mean,utility_std,utility_p01,utility_p05,utility_p50,utility_p95,utility_p99,utility0_mean,utility0_std,utility0_p01,utility0_p05,utility0_p50,utility0_p95,utility0_p99
unhedged,train,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358,20,2,,,,,,,,,,,,,,
unhedged,val,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,20,2,,,,,,,,,,,,,,
unhedged,test,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,20,2,,,,,,,,,,,,,,
spot_delta,train,-0.013147932477295399,0.029712297022342682,-0.10283288359642029,-0.06869149953126907,-0.0005314993904903531,-7.243064465001225e-05,8.99055739864707e-05,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.010197523981332779,0.04723817855119705,-0.10262008011341095,-0.06847834587097168,0.015945132821798325,0.07125736027956009,0.1194101944565773,0.0002198315050918609,1.3452252460410818e-05,0.00020444831170607358,0.00020661484450101852,0.0002160298463422805,0.00024641392519697547,0.00027061489527113736,0.027481501922011375,0.9999880194664001,0.49689626693725586,0.9999939799308777,358,20,2,,,,,,,,,,,,,,
spot_delta,val,-0.010797410272061825,0.02058444917201996,-0.08189557492733002,-0.05519390106201172,-0.00044076345511712134,-5.0196307711303234e-05,0.0001331757812295109,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,0.01004540640860796,0.03776860982179642,-0.08167396485805511,-0.05497246980667114,0.012830935418605804,0.06835927814245224,0.08532693982124329,0.0002207333454862237,1.7950820620171726e-05,0.00020489643793553114,0.00020737707382068038,0.0002160711883334443,0.00025242235278710723,0.00030396811780519783,0.027593402191996574,0.9999790191650391,0.4970494210720062,0.9999880194664001,76,20,2,,,,,,,,,,,,,,
spot_delta,test,-0.011322270147502422,0.022328970953822136,-0.08831008523702621,-0.05015191435813904,-0.0005748320836573839,-0.0002049217582680285,9.269257134292275e-06,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.01160932332277298,0.04046756029129028,-0.08809603005647659,-0.049933142960071564,0.017051059752702713,0.07144741714000702,0.10204766690731049,0.0002267111121909693,2.5537729015923105e-05,0.00020292852423153818,0.00020659409346990287,0.00021788047160953283,0.00029822468059137464,0.000315639132168144,0.028339900076389313,0.9998610019683838,0.49582168459892273,0.9999880194664001,78,20,2,,,,,,,,,,,,,,
vanilla,train,0.009450634010136127,0.07814761996269226,-0.19846515357494354,-0.12520629167556763,0.01563473977148533,0.12375207990407944,0.16830582916736603,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.03306121379137039,0.09556219726800919,-0.1979486495256424,-0.12468796968460083,0.0386212095618248,0.1786993443965912,0.24847643077373505,0.00048495459486730397,1.93115138245048e-05,0.00044620095286518335,0.0004595210775732994,0.00048302646609954536,0.0005215883138589561,0.0005463843699544668,0.05457628518342972,0.4663088023662567,0.9605746865272522,2.0,358,20,2,-0.045862894505262375,0.11969795823097229,-0.4233897626399994,-0.27687203884124756,0.004810006357729435,0.026459474116563797,0.026459474116563797,-0.04367239028215408,0.04442904144525528,-0.22221775352954865,-0.12556521594524384,-0.01821300946176052,-0.01821300946176052,-0.01821300946176052
vanilla,val,0.016373103484511375,0.06924466043710709,-0.1536172330379486,-0.08215931802988052,0.013966545462608337,0.14164750277996063,0.16455873847007751,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,0.037481021136045456,0.0858575776219368,-0.15314409136772156,-0.08167319744825363,0.036975108087062836,0.18906572461128235,0.2390131652355194,0.0004858331521973014,2.040946128545329e-05,0.00043976568849757314,0.0004607320297509432,0.0004812124534510076,0.0005297309253364801,0.0005363966338336468,0.05480002239346504,0.46612250804901123,0.9636424779891968,2.0,76,20,2,-0.036462265998125076,0.08953607082366943,-0.3336939215660095,-0.19077812135219574,0.0014736158773303032,0.026459474116563797,0.026459474116563797,-0.03967847675085068,0.03611794114112854,-0.15283723175525665,-0.11865129321813583,-0.01821300946176052,-0.01821300946176052,-0.01821300946176052
vanilla,test,0.01195755135267973,0.07961126416921616,-0.19443754851818085,-0.11720436811447144,0.02471204847097397,0.12052823603153229,0.14868152141571045,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.03515714779496193,0.09486080706119537,-0.19394876062870026,-0.11671409755945206,0.044048458337783813,0.17993178963661194,0.20013248920440674,0.0004947098786942661,2.7217885872232728e-05,0.0004525107506196946,0.00046143768122419715,0.0004877089522778988,0.0005509998882189393,0.0005770367570221424,0.05494566634297371,0.4663037061691284,0.9650196433067322,2.0,78,20,2,-0.048664987087249756,0.11889449506998062,-0.4153345823287964,-0.2608681917190552,0.02296462468802929,0.026459474116563797,0.026459474116563797,-0.041268594563007355,0.042629092931747437,-0.20329581201076508,-0.12664185464382172,-0.01821300946176052,-0.01821300946176052,-0.01821300946176052
proto,train,-0.013859494589269161,0.07516726106405258,-0.15952150523662567,-0.11930050700902939,-0.018805190920829773,0.129777729511261,0.16911683976650238,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.009585528634488583,0.07559625059366226,-0.1287626177072525,-0.09072879701852798,0.0001457833277527243,0.1468133181333542,0.20256035029888153,0.0003193968441337347,2.8029957320541143e-05,0.00026212248485535383,0.0002819509245455265,0.0003177509643137455,0.0003649408172350377,0.0004069661954417825,0.027188340201973915,0.04442736506462097,0.2840769588947296,0.8118811845779419,358,20,2,-0.0768958255648613,0.09080491960048676,-0.3206687569618225,-0.24022676050662994,-0.03923612833023071,0.0016257467214018106,0.0016257467214018106,-0.04362162947654724,0.045838821679353714,-0.2245604693889618,-0.12790793180465698,-0.016115188598632812,-0.01587030664086342,-0.01587030664086342
