model,split,gains_mean,gains_std,gains_p01,gains_p05,gains_p50,gains_p95,gains_p99,payoff_mean,payoff_std,payoff_p01,payoff_p05,payoff_p50,payoff_p95,payoff_p99,pnl_mean,pnl_std,pnl_p01,pnl_p05,pnl_p50,pnl_p95,pnl_p99,cost_mean,cost_std,cost_p01,cost_p05,cost_p50,cost_p95,cost_p99,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,utility_mean,utility_std,utility_p01,utility_p05,utility_p50,utility_p95,utility_p99,utility0_mean,utility0_std,utility0_p01,utility0_p05,utility0_p50,utility0_p95,utility0_p99
unhedged,train,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358,20,2,,,,,,,,,,,,,,
unhedged,val,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,20,2,,,,,,,,,,,,,,
unhedged,test,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,20,2,,,,,,,,,,,,,,
spot_delta,train,-0.022678134962916374,0.027066010981798172,-0.10899131745100021,-0.0724869817495346,-0.01660069078207016,0.008138998411595821,0.022917358204722404,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.0006673246389254928,0.010647720657289028,-0.028614195063710213,-0.016750959679484367,0.0007529237773269415,0.01686389185488224,0.028655700385570526,0.0002198315050918609,1.3452252460410818e-05,0.00020444831170607358,0.00020661484450101852,0.0002160298463422805,0.00024641392519697547,0.00027061489527113736,0.027481501922011375,0.9999880194664001,0.49689626693725586,0.9999939799308777,0.01026536312849162,0.01026536312849162,0.0,0.29329608938547486,358,20,2,,,,,,,,,,,,,,
spot_delta,val,-0.021739408373832703,0.027300013229250908,-0.10865209996700287,-0.0672006830573082,-0.016013620421290398,0.005334461107850075,0.012915590777993202,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,-0.0008965909364633262,0.011166375130414963,-0.033198267221450806,-0.024246782064437866,-3.183774242643267e-05,0.012801953591406345,0.019628508016467094,0.0002207333454862237,1.7950820620171726e-05,0.00020489643793553114,0.00020737707382068038,0.0002160711883334443,0.00025242235278710723,0.00030396811780519783,0.027593402191996574,0.9999790191650391,0.4970494210720062,0.9999880194664001,0.0125,0.0125,0.0,0.34210526315789475,76,20,2,,,,,,,,,,,,,,
spot_delta,test,-0.021947171539068222,0.024673448875546455,-0.09763671457767487,-0.07090836018323898,-0.01771477609872818,0.004154497757554054,0.021694345399737358,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.0009844220476225019,0.011518479324877262,-0.017413083463907242,-0.01345035620033741,0.00039828356239013374,0.015640895813703537,0.04340098425745964,0.0002267111121909693,2.5537729015923105e-05,0.00020292852423153818,0.00020659409346990287,0.00021788047160953283,0.00029822468059137464,0.000315639132168144,0.028339900076389313,0.9998610019683838,0.49582168459892273,0.9999880194664001,0.008012820512820512,0.008012820512820512,0.0,0.24358974358974358,78,20,2,,,,,,,,,,,,,,
vanilla,train,-0.015340669080615044,0.02970948815345764,-0.10375447571277618,-0.0668848380446434,-0.011598367244005203,0.026148978620767593,0.03722856566309929,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.008477553725242615,0.017486248165369034,-0.0249739121645689,-0.018431128934025764,0.007058883085846901,0.03960595652461052,0.052402567118406296,0.0006925958441570401,5.397234781412408e-05,0.0005964217125438154,0.0006162038189359009,0.0006874306709505618,0.0007771450327709317,0.0008750023553147912,0.04992600902915001,0.07994365692138672,0.6119159460067749,1.0,0.20258379888268158,0.20258379888268158,0.0,1.0,358,20,2,-0.03817972168326378,0.04192805662751198,-0.19479508697986603,-0.12105582654476166,-0.012713855132460594,-0.012713855132460594,-0.012713855132460594,-0.043629441410303116,0.04524198919534683,-0.22357110679149628,-0.12691856920719147,-0.016859665513038635,-0.016859665513038635,-0.016859665513038635
vanilla,val,-0.011199047788977623,0.02760867215692997,-0.0720469057559967,-0.06508048623800278,-0.005703040864318609,0.02539091184735298,0.03499803692102432,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,0.010100741870701313,0.017623871564865112,-0.0282583087682724,-0.013985911384224892,0.007068077567964792,0.04175526276230812,0.049827076494693756,0.0006777031812816858,4.607023220160045e-05,0.0005748080438934267,0.0006061283056624234,0.0006756674265488982,0.0007475115125998855,0.0007678213296458125,0.049922049045562744,0.07953332364559174,0.6139296889305115,1.0,0.2049342105263158,0.2049342105263158,0.0,1.0,76,20,2,-0.03333701193332672,0.036736056208610535,-0.13137994706630707,-0.11744712293148041,-0.012713855132460594,-0.012713855132460594,-0.012713855132460594,-0.039514828473329544,0.03703247010707855,-0.15419058501720428,-0.12000463902950287,-0.016859665513038635,-0.016859665513038635,-0.016859665513038635
vanilla,test,-0.013509192503988743,0.028216972947120667,-0.09036572277545929,-0.06560025364160538,-0.006626356393098831,0.027954205870628357,0.041912853717803955,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.009888647124171257,0.015625935047864914,-0.017345283180475235,-0.010470841079950333,0.00569564662873745,0.04095420613884926,0.0437428243458271,0.0006929583614692092,7.652698695892468e-05,0.000572092947550118,0.0005999758723191917,0.0006819989066570997,0.0008946722955442965,0.0009328689193353057,0.049927059561014175,0.07956856489181519,0.6147805452346802,1.0,0.2064102564102564,0.2064102564102564,0.0,1.0,78,20,2,-0.03459595888853073,0.03908153250813484,-0.16801758110523224,-0.11848665028810501,-0.012713855132460594,-0.012713855132460594,-0.012713855132460594,-0.04124842956662178,0.043385665863752365,-0.2046491652727127,-0.12799519300460815,-0.01839636266231537,-0.016859665513038635,-0.016859665513038635
proto,train,-0.02218317799270153,0.04267655685544014,-0.13574786484241486,-0.09072916954755783,-0.017961252480745316,0.04384646192193031,0.06157773733139038,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.001641291775740683,0.029081955552101135,-0.06610728055238724,-0.04783186689019203,0.001113512902520597,0.05336933955550194,0.06274966895580292,0.00069884565891698,6.615319580305368e-05,0.0005821587983518839,0.000603715016040951,0.0006915766280144453,0.0008030698518268764,0.0008744842489250004,0.05000000074505806,0.1061100959777832,0.7627922892570496,1.0,0.5038407821229051,0.0,0.5038407821229051,1.0,358,20,2,-0.05564138665795326,0.06236840784549713,-0.2600664794445038,-0.17002908885478973,-0.0244932621717453,-0.01142924278974533,-0.01142924278974533,-0.04362162947654724,0.04583035781979561,-0.22454649209976196,-0.12789395451545715,-0.016115188598632812,-0.015884289517998695,-0.015884289517998695
