model,split,gains_mean,gains_std,gains_p01,gains_p05,gains_p50,gains_p95,gains_p99,payoff_mean,payoff_std,payoff_p01,payoff_p05,payoff_p50,payoff_p95,payoff_p99,pnl_mean,pnl_std,pnl_p01,pnl_p05,pnl_p50,pnl_p95,pnl_p99,cost_mean,cost_std,cost_p01,cost_p05,cost_p50,cost_p95,cost_p99,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,n_paths,n_steps,n_inst,utility_mean,utility_std,utility_p01,utility_p05,utility_p50,utility_p95,utility_p99,utility0_mean,utility0_std,utility0_p01,utility0_p05,utility0_p50,utility0_p95,utility0_p99
unhedged,train,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358,20,2,,,,,,,,,,,,,,
unhedged,val,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,20,2,,,,,,,,,,,,,,
unhedged,test,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,20,2,,,,,,,,,,,,,,
spot_delta,train,-0.022678134962916374,0.027066010981798172,-0.10899131745100021,-0.0724869817495346,-0.01660069078207016,0.008138998411595821,0.022917358204722404,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.0006673246389254928,0.010647720657289028,-0.028614195063710213,-0.016750959679484367,0.0007529237773269415,0.01686389185488224,0.028655700385570526,0.0002198315050918609,1.3452252460410818e-05,0.00020444831170607358,0.00020661484450101852,0.0002160298463422805,0.00024641392519697547,0.00027061489527113736,0.027481501922011375,0.9999880194664001,0.49689626693725586,0.9999939799308777,358,20,2,,,,,,,,,,,,,,
spot_delta,val,-0.021739408373832703,0.027300013229250908,-0.10865209996700287,-0.0672006830573082,-0.016013620421290398,0.005334461107850075,0.012915590777993202,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,-0.0008965909364633262,0.011166375130414963,-0.033198267221450806,-0.024246782064437866,-3.183774242643267e-05,0.012801953591406345,0.019628508016467094,0.0002207333454862237,1.7950820620171726e-05,0.00020489643793553114,0.00020737707382068038,0.0002160711883334443,0.00025242235278710723,0.00030396811780519783,0.027593402191996574,0.9999790191650391,0.4970494210720062,0.9999880194664001,76,20,2,,,,,,,,,,,,,,
spot_delta,test,-0.021947171539068222,0.024673448875546455,-0.09763671457767487,-0.07090836018323898,-0.01771477609872818,0.004154497757554054,0.021694345399737358,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.0009844220476225019,0.011518479324877262,-0.017413083463907242,-0.01345035620033741,0.00039828356239013374,0.015640895813703537,0.04340098425745964,0.0002267111121909693,2.5537729015923105e-05,0.00020292852423153818,0.00020659409346990287,0.00021788047160953283,0.00029822468059137464,0.000315639132168144,0.028339900076389313,0.9998610019683838,0.49582168459892273,0.9999880194664001,78,20,2,,,,,,,,,,,,,,
vanilla,train,-0.001611792016774416,0.027541909366846085,-0.08628135919570923,-0.04412407428026199,0.0026582861319184303,0.03625728562474251,0.06018375977873802,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.021970711648464203,0.016043879091739655,-0.002730321604758501,0.003299495205283165,0.017969384789466858,0.052549488842487335,0.07097432017326355,0.0004568788281176239,2.5475446818745695e-05,0.0004045274981763214,0.0004211168270558119,0.00045450113248080015,0.0004996611387468874,0.0005287891835905612,0.050530459731817245,0.09643546491861343,0.5284791588783264,1.8736603260040283,358,20,2,-0.022037407383322716,0.03707607090473175,-0.16887618601322174,-0.08456161618232727,-0.0036865328438580036,-0.0036865328438580036,-0.0036865328438580036,-0.043647293001413345,0.044747494161129,-0.22274498641490936,-0.12609244883060455,-0.0176857877522707,-0.0176857877522707,-0.0176857877522707
vanilla,val,-0.0007747415802441537,0.022129539400339127,-0.06101948767900467,-0.04653334245085716,0.00374293839558959,0.028521552681922913,0.03084796667098999,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.012999176979064941,0.0,0.0,0.02030753530561924,0.01220282819122076,0.0032102493569254875,0.005072263069450855,0.01834532804787159,0.04159548506140709,0.055879756808280945,0.0004601924156304449,2.6502882974455133e-05,0.0004123537219129503,0.0004263504524715245,0.0004544587281998247,0.0005100364796817303,0.0005352075677365065,0.05082594230771065,0.09624629467725754,0.5325981378555298,1.862122654914856,76,20,2,-0.018661273643374443,0.029264498502016068,-0.11835244297981262,-0.08938015252351761,-0.0036865328438580036,-0.0036865328438580036,-0.0036865328438580036,-0.03960578516125679,0.036476437002420425,-0.15336446464061737,-0.11917851865291595,-0.0176857877522707,-0.0176857877522707,-0.0176857877522707
vanilla,test,-0.0026085267309099436,0.02439196966588497,-0.08227479457855225,-0.04714561626315117,0.0002987436600960791,0.03422996774315834,0.04922987148165703,-0.02270488254725933,0.026112163439393044,-0.11075441539287567,-0.0724274292588234,-0.017628014087677002,0.0,0.0,0.020566346123814583,0.015048692002892494,-0.0037307715974748135,0.0009392510401085019,0.01778341829776764,0.04886805638670921,0.05908025801181793,0.0004699885903391987,3.390262645552866e-05,0.00041900400537997484,0.00042780619696713984,0.0004623214481398463,0.0005284770159050822,0.000567890761885792,0.050957512110471725,0.09642273187637329,0.534180223941803,1.8621515035629272,78,20,2,-0.01949498802423477,0.0341169573366642,-0.16086305677890778,-0.09060470014810562,-0.0036865328438580036,-0.0036865328438580036,-0.0036865328438580036,-0.041230618953704834,0.04293687269091606,-0.2038230448961258,-0.12716907262802124,-0.01770186424255371,-0.0176857877522707,-0.0176857877522707
proto,train,-0.012874294072389603,0.03311336413025856,-0.11471965163946152,-0.06488250941038132,-0.008879768662154675,0.03336409851908684,0.05031149461865425,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188911736011505,-0.01595771312713623,0.0,0.0,0.010754790157079697,0.01549147255718708,-0.018058503046631813,-0.010145893320441246,0.008033093065023422,0.0385579876601696,0.054721225053071976,0.0005034591886214912,6.490287341875955e-05,0.000272955687250942,0.00038116841460578144,0.0005076820962131023,0.0005844098632223904,0.0007009049295447767,0.036908235400915146,0.09343557059764862,0.36797741055488586,0.8343554139137268,358,20,2,-0.046962764114141464,0.06026946380734444,-0.24625931680202484,-0.14658504724502563,-0.034579552710056305,0.016820017248392105,0.016820017248392105,-0.04362162947654724,0.0458034984767437,-0.2245020866394043,-0.1278495490550995,-0.016115188598632812,-0.015928687527775764,-0.015928687527775764
