model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,1,0.0716140493750572,,-0.0889743398874998,-0.1277636587619781,0.3717948717948718,1.2764827013015747,0.0461415722966194,0.09431893192231651,0.0829363195225596,0.059656498022377505,-0.023870289325714097,-0.04902129620313639,0.055672660470008906,0.33333333333333337,0.6153846153846154,0.03846153846153838
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,1,0.0325693152844905,,-0.0375491514801979,-0.0825471207499504,0.1538461538461538,1.3678841590881348,0.0395229123532772,0.055274197831749805,0.043891585431992904,0.0206117639318108,0.0213462486863136,-0.0038047581911086897,0.1008891984820366,0.5512820512820513,0.8333333333333335,0.2564102564102564
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,0.0324950814247131,,-0.0377318697050213,-0.0596686676144599,0.3205128205128205,1.0274085998535156,0.03059639967978,0.055199963971972396,0.0438173515722155,0.0205375300720334,0.044224701821804095,0.019073694944381804,0.12376765161752709,0.3846153846153847,0.6666666666666667,0.0897435897435897
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,1,0.0241850577294826,,-0.0418242670595645,-0.06706303358078,0.4615384615384615,1.4066274166107178,0.0344690456986427,0.0468899402767419,0.035507327876985,0.012227506376802899,0.036830335855483995,0.011679328978061704,0.116373285651207,0.24358974358974367,0.5256410256410258,-0.05128205128205132
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,1,0.0188528690487146,,-0.0299607848748564,-0.0483590066432952,0.3717948717948718,0.8867396116256714,0.0254722721874713,0.0415577515959739,0.030175139196216998,0.0068953176960349,0.0555343627929688,0.030383355915546507,0.1350773125886918,0.33333333333333337,0.6153846153846154,0.03846153846153838
vanilla,vanilla,,,,,cvar,1,0.0119575513526797,,-0.1172043681144714,-0.183436319231987,0.4102564102564102,2.0,0.0549456663429737,0.034662433899939,0.0232798215001821,0.0,-0.079542949795723,-0.1046939566731453,0.0,0.294871794871795,0.5769230769230771,0.0
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,1,0.006970786023885,,-0.0669783618301153,-0.0750451758503913,0.5,1.0994696617126465,0.0299211535602808,0.0296756685711443,0.0182930561713874,-0.0049867653287947,0.028848193585872692,0.0036971867084504006,0.1083911433815957,0.20512820512820518,0.4871794871794872,-0.08974358974358981
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,1,0.0069519830867648,,-0.1041944675147533,-0.1088286340236663,0.5512820512820513,0.8466525077819824,0.0239346977323293,0.0296568656340241,0.0182742532342672,-0.0050055682659149,-0.004935264587402302,-0.030086271464824593,0.0746076852083207,0.15384615384615385,0.4358974358974359,-0.14102564102564114
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,1,-0.0002479896065779,,-0.1615869887173175,-0.1850345730781555,0.5641025641025641,0.6810850501060486,0.0211789831519126,0.0224568929406814,0.0110742805409245,-0.0122055409592576,-0.0811412036418915,-0.10629221051931378,-0.0015982538461684903,0.14102564102564108,0.42307692307692313,-0.1538461538461539
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,1,-0.0054408065043389,,-0.045469482243061,-0.061488352715969,0.6025641025641025,0.8209198713302612,0.0223939511924982,0.0172640760429204,0.0058814636431635,-0.017398357857018598,0.042405016720294994,0.017254009842872703,0.121947966516018,0.10256410256410264,0.3846153846153847,-0.19230769230769235
proto_source=zero_k=25_weighted=1_learnw=0,proto,zero,25.0,True,False,cvar,1,-0.0061714742332696,,-0.102863460406661,-0.1187266483902931,0.5641025641025641,0.394632339477539,0.0111221326515078,0.016533408313989698,0.005150795914232799,-0.0181290255859493,-0.014833278954029097,-0.03998428583145139,0.0647096708416939,0.14102564102564108,0.42307692307692313,-0.1538461538461539
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,1,-0.0068939174525439,,-0.1123589172959327,-0.1408352702856063,0.5641025641025641,0.7954651713371277,0.0272168181836605,0.0158109650947154,0.0044283526949585,-0.0188514688052236,-0.036941900849342305,-0.062092907726764596,0.0426010489463807,0.14102564102564108,0.42307692307692313,-0.1538461538461539
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,1,-0.0072751459665596,,-0.1085791882127523,-0.1306512504816055,0.5512820512820513,0.7601189017295837,0.0251507144421339,0.0154297365806997,0.0040471241809428,-0.0192326973192393,-0.026757881045341506,-0.0519088879227638,0.0527850687503815,0.15384615384615385,0.4358974358974359,-0.14102564102564114
proto_source=zero_k=25_weighted=0_learnw=0,proto,zero,25.0,False,False,cvar,1,-0.0088518625125288,,-0.0529247084632515,-0.0728407949209213,0.6025641025641025,0.982765793800354,0.0239435043185949,0.0138530200347305,0.0024704076349736006,-0.0208094138652085,0.0310525745153427,0.005901567637920407,0.1105955243110657,0.10256410256410264,0.3846153846153847,-0.19230769230769235
spot_delta,baseline,,,,,,1,-0.0113222701475024,,-0.0501519149169325,-0.0787423625588417,0.9871794871794872,0.9999880194664,0.0283399000763893,0.0113826123997569,0.0,-0.0232798215001821,0.02515100687742229,0.0,0.1046939566731453,-0.28205128205128205,0.0,-0.5769230769230771
proto_source=zero_k=10_weighted=0_learnw=0,proto,zero,10.0,False,False,cvar,1,-0.0147424172610044,,-0.0543947888538241,-0.061062853783369,0.7435897435897436,0.956920087337494,0.0242756772786378,0.0079624652862549,-0.0034201471135019996,-0.0266999686136841,0.042830515652894995,0.017679508775472703,0.12237346544861799,-0.038461538461538436,0.2435897435897436,-0.3333333333333334
proto_source=zero_k=10_weighted=1_learnw=0,proto,zero,10.0,True,False,cvar,1,-0.0171442832797765,,-0.0966931719332933,-0.1350061297416687,0.6153846153846154,1.086029052734375,0.0264244377613067,0.005560599267482799,-0.0058220131322741005,-0.0291018346324562,-0.031112760305404705,-0.056263767182826996,0.0484301894903183,0.08974358974358976,0.3717948717948718,-0.20512820512820523
proto_source=zero_k=50_weighted=0_learnw=0,proto,zero,50.0,False,False,cvar,1,-0.0189932975918054,,-0.0537141602486372,-0.0684698745608329,0.8846153846153846,0.9267023801803588,0.0233914721757173,0.0037115849554539004,-0.007671027444302999,-0.030950848944485097,0.0354234948754311,0.010272487998008811,0.1149664446711541,-0.1794871794871794,0.10256410256410264,-0.4743589743589744
proto_source=zero_k=50_weighted=1_learnw=0,proto,zero,50.0,True,False,cvar,1,-0.0196077935397624,,-0.070740184187889,-0.0995887219905853,0.8205128205128205,0.1799961179494857,0.0044838525354862,0.0030970890074968997,-0.00828552339226,-0.0315653448924421,0.004304647445678697,-0.020846359431743594,0.0838475972414017,-0.11538461538461531,0.16666666666666674,-0.4102564102564103
unhedged,baseline,,,,,,1,-0.0227048825472593,,-0.0724274337291717,-0.103893369436264,0.7051282051282052,0.0,0.0,0.0,-0.0113826123997569,-0.034662433899939,0.0,-0.02515100687742229,0.079542949795723,0.0,0.28205128205128205,-0.294871794871795
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,1,-0.0289386715739965,,-0.0761289801448583,-0.0875877141952514,1.0,0.3528301417827606,0.0060906964354217,-0.006233789026737199,-0.0176164014264941,-0.0408962229266762,0.0163056552410126,-0.00884535163640969,0.0958486050367356,-0.2948717948717948,-0.012820512820512775,-0.5897435897435899
