model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.023125624284148216,0.027635494247078896,-0.12021538615226746,-0.07188912034034729,-0.10118453204631805,-0.01595771312713623,0.0,0.659217877094972,-0.023125624284148216,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,train,1234,baseline,-0.013147932477295399,0.029712297022342682,-0.1028328851610422,-0.06869150400161743,-0.10938308387994766,-0.0005314994195941836,-7.243060535984127e-05,0.9748603351955307,-0.023125624284148216,0.010197523981332779,0.0002198315050918609,0.027481501922011375,0.9999880194664001,0.49689626693725586,0.9999939799308777,,,,,,,,,,
unhedged,val,1234,baseline,-0.02062208577990532,0.02395673096179962,-0.08552512526512146,-0.06843215227127075,-0.0814160704612732,-0.012999176979064941,0.0,0.6842105263157895,-0.02062208577990532,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,val,1234,baseline,-0.010797410272061825,0.02058444917201996,-0.08189557678997517,-0.05519390106201172,-0.07473747432231903,-0.00044076345511712134,-5.0196307711303234e-05,0.9473684210526315,-0.02062208577990532,0.01004540640860796,0.0002207333454862237,0.027593402191996574,0.9999790191650391,0.4970494210720062,0.9999880194664001,,,,,,,,,,
unhedged,test,1234,baseline,-0.02270488254725933,0.026112163439393044,-0.11075441479682922,-0.07242743372917175,-0.10389336943626404,-0.017628014087677002,0.0,0.7051282051282052,-0.02270488254725933,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,test,1234,baseline,-0.011322270147502422,0.022328970953822136,-0.0883100838214159,-0.050151914916932584,-0.0787423625588417,-0.0005748320545535535,-0.00020492180628934898,0.9871794871794872,-0.02270488254725933,0.01160932332277298,0.0002267111121909693,0.028339900076389313,0.9998610019683838,0.49582168459892273,0.9999880194664001,,,,,,,,,,
vanilla,train,1234,vanilla,0.009450634010136127,0.07814761996269226,-0.19846515774726867,-0.12520630136132238,-0.1964394450187683,0.015634740237146616,0.12375209145247931,0.3659217877094972,-0.023125624284148216,0.03306121379137039,0.00048495459486730397,0.05457628518342972,0.4663088023662567,0.9605746865272522,2.0,cvar,358.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,0.016373103484511375,0.06924466043710709,-0.1536172293126583,-0.08215931802988052,-0.13946902751922607,0.01396654499694705,0.14164750277996063,0.3815789473684211,-0.02062208577990532,0.037481021136045456,0.0004858331521973014,0.05480002239346504,0.46612250804901123,0.9636424779891968,2.0,cvar,76.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,0.01195755135267973,0.07961126416921616,-0.19443754911422728,-0.11720436811447144,-0.183436319231987,0.024712049402296543,0.120528232678771,0.41025641025641024,-0.02270488254725933,0.03515714779496193,0.0004947098786942661,0.05494566634297371,0.4663037061691284,0.9650196433067322,2.0,cvar,78.0,20.0,2.0,,,,,,
proto_source=vanilla_k=10_weighted=1_learnw=0,train,1234,proto,0.03134449943900108,0.04158291965723038,-0.05764299564063549,-0.03223070520907641,-0.055220283567905426,0.030895707197487354,0.10164497718214971,0.18994413407821228,-0.023125624284148216,0.054885245859622955,0.00041512370808050036,0.03877653926610947,0.09658536314964294,0.36965805292129517,1.4570953845977783,cvar,358.0,20.0,2.0,vanilla,10.0,True,False,0.09654945135116577,0.13436153531074524
