model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_vanilla
vanilla,vanilla,,,,,cvar,1,5.333175182342529,,1.1862107515335083,0.48680806159973145,0.010385756676557863,2.000000238418579,1.2774934768676758,5.353372413665056,5.347865327261388,0.0,0.5788668990135193,0.6157471239566803,0.0,0.6364985163204748,0.9525222551928784,0.0
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,1,5.236278533935547,,1.2087323665618896,0.5032716393470764,0.00741839762611276,2.000000238418579,0.9035233855247498,5.256475765258074,5.250968678854406,-0.09689664840698242,0.5953304767608643,0.6322107017040253,0.01646357774734497,0.6394658753709199,0.9554896142433235,0.002967359050445103
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,1,5.219157695770264,,1.2158259153366089,0.6623637080192566,0.002967359050445104,2.000000238418579,0.985185444355011,5.239354927092791,5.233847840689123,-0.11401748657226562,0.7544225454330444,0.7913027703762054,0.17555564641952515,0.6439169139465876,0.9599406528189911,0.007418397626112759
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,1,5.206509590148926,,1.135133981704712,0.3559355139732361,0.016320474777448073,2.0,0.9339239001274109,5.226706821471453,5.221199735067785,-0.12666559219360352,0.4479943513870239,0.48487457633018494,-0.13087254762649536,0.6305637982195846,0.9465875370919882,-0.00593471810089021
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,1,5.2016754150390625,,0.9665687680244446,0.449929416179657,0.002967359050445104,2.0,0.9789890050888062,5.221872646361589,5.2163655599579215,-0.1314997673034668,0.5419882535934448,0.5788684785366058,-0.03687864542007446,0.6439169139465876,0.9599406528189911,0.007418397626112759
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,5.185909748077393,,1.1496611833572388,0.5170796513557434,0.005934718100890208,2.000000238418579,1.0012248754501343,5.2061069793999195,5.200599892996252,-0.14726543426513672,0.6091384887695312,0.6460187137126923,0.030271589756011963,0.6409495548961425,0.956973293768546,0.004451038575667655
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,1,5.184873104095459,,1.0266168117523193,0.616870641708374,0.004451038575667656,2.0,0.9826602339744568,5.205070335417986,5.199563249014318,-0.1483020782470703,0.7089294791221619,0.7458097040653229,0.13006258010864258,0.642433234421365,0.9584569732937686,0.005934718100890207
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,1,5.158178329467773,,1.1145501136779785,0.5275553464889526,0.004451038575667656,2.0,1.0055482387542725,5.1783755607903,5.172868474386632,-0.17499685287475586,0.6196141839027405,0.6564944088459015,0.04074728488922119,0.642433234421365,0.9584569732937686,0.005934718100890207
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,1,5.152255535125732,,1.1802537441253662,0.35020387172698975,0.010385756676557863,2.0,1.0330431461334229,5.172452766448259,5.166945680044591,-0.18091964721679688,0.4422627091407776,0.4791429340839386,-0.1366041898727417,0.6364985163204748,0.9525222551928784,0.0
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,1,5.115752220153809,,1.0324457883834839,0.5746599435806274,0.002967359050445104,2.0,0.9299473166465759,5.1359494514763355,5.130442365072668,-0.2174229621887207,0.6667187809944153,0.7035990059375763,0.087851881980896,0.6439169139465876,0.9599406528189911,0.007418397626112759
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,1,5.091123104095459,,1.0943487882614136,0.48413264751434326,0.010385756676557863,2.0,0.984686017036438,5.111320335417986,5.105813249014318,-0.2420520782470703,0.5761914849281311,0.6130717098712921,-0.0026754140853881836,0.6364985163204748,0.9525222551928784,0.0
