model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.021356062963604927,0.026331203058362007,-0.10943114012479782,-0.06810391694307327,-0.0957644060254097,-0.014625072479248047,0.0,0.6540299458426251,-0.021356062963604927,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,train,1234,baseline,-0.01351687591522932,0.031149692833423615,-0.14229033887386322,-0.07102317363023758,-0.1182975247502327,-0.0005234178388491273,-6.322615809040144e-05,0.9649569926728258,-0.021356062963604927,0.008059760555624962,0.0002205740165663883,0.027575235813856125,0.9999939799308777,0.4968874156475067,0.9999939799308777,,,,,,,,,,
unhedged,val,1234,baseline,-0.021169060841202736,0.024812884628772736,-0.09934453666210175,-0.06761643290519714,-0.09169420599937439,-0.01558375358581543,0.0,0.6577380952380952,-0.021169060841202736,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,val,1234,baseline,-0.011632900685071945,0.026915593072772026,-0.10628565400838852,-0.05808841437101364,-0.09946168214082718,-0.0005056386580690742,-0.00010234201909042895,0.9702380952380952,-0.021169060841202736,0.009756406769156456,0.00022024793724995106,0.027526896446943283,0.9999939799308777,0.49690908193588257,0.9999939799308777,,,,,,,,,,
unhedged,test,1234,baseline,-0.020197231322526932,0.025263085961341858,-0.10215708613395691,-0.06749998033046722,-0.09205883741378784,-0.012348175048828125,0.0,0.6468842729970327,-0.020197231322526932,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,test,1234,baseline,-0.014690144918859005,0.03416761755943298,-0.16076982021331787,-0.07976221293210983,-0.12893906235694885,-0.0005261972546577454,-6.034763282514177e-05,0.9629080118694362,-0.020197231322526932,0.0057275197468698025,0.00022043139324523509,0.027559904381632805,0.9999939799308777,0.49695608019828796,0.9999939799308777,,,,,,,,,,
vanilla,train,1234,vanilla,5.399610996246338,2.7313947677612305,0.051307596266269684,1.328078269958496,0.627271831035614,5.029272079467773,10.627646446228027,0.00828289264096846,-0.021356062963604927,5.441506385803223,0.020539525896310806,1.3016760349273682,4.0,1.673763632774353,2.000000238418579,cvar,3139.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,5.497164249420166,2.7411863803863525,0.10109157115221024,1.5152350664138794,0.7873899936676025,5.185540676116943,10.817458152770996,0.002976190476190476,-0.021169060841202736,5.5391082763671875,0.02077500894665718,1.3206254243850708,4.0,1.6851527690887451,2.000000238418579,cvar,672.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,5.333175182342529,2.779655694961548,-0.015659835189580917,1.1862107515335083,0.48680806159973145,4.987285614013672,10.481071472167969,0.010385756676557863,-0.020197231322526932,5.373505592346191,0.02013256773352623,1.2774934768676758,4.0,1.6763769388198853,2.000000238418579,cvar,674.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=1_learnw=0,train,1234,proto,5.170453071594238,2.7079668045043945,0.04005122929811478,1.1729191541671753,0.44753193855285645,4.790432453155518,10.464592933654785,0.00828289264096846,-0.021356062963604927,5.208917617797852,0.017108315601944923,0.9550275206565857,4.0,1.185154676437378,2.000000476837158,cvar,3139.0,20.0,2.0,spot_delta,10.0,True,False,2.5489203929901123,4.9731340408325195
proto_source=spot_delta_k=10_weighted=1_learnw=0,val,1234,proto,5.211004257202148,2.676331043243408,0.08692058175802231,1.4172255992889404,0.707309365272522,4.851886749267578,10.413010597229004,0.002976190476190476,-0.021169060841202736,5.249475479125977,0.017302073538303375,0.969648540019989,4.0,1.1783024072647095,2.000000476837158,cvar,672.0,20.0,2.0,spot_delta,10.0,True,False,2.5489203929901123,4.9731340408325195
proto_source=spot_delta_k=10_weighted=1_learnw=0,test,1234,proto,5.080223083496094,2.8059117794036865,-0.04450022429227829,0.9124978184700012,0.3267560303211212,4.775988578796387,10.486401557922363,0.011869436201780416,-0.020197231322526932,5.1171956062316895,0.016775649040937424,0.9363280534744263,4.0,1.182384967803955,2.000000238418579,cvar,674.0,20.0,2.0,spot_delta,10.0,True,False,2.5489203929901123,4.9731340408325195
proto_source=spot_delta_k=10_weighted=0_learnw=0,train,1234,proto,5.260373592376709,2.719935178756714,0.3405836224555969,1.3410128355026245,0.7174291014671326,4.8764472007751465,10.532316207885742,0.002548582351067219,-0.021356062963604927,5.299589157104492,0.01785869337618351,1.0116181373596191,4.0,1.393224835395813,2.000000238418579,cvar,3139.0,20.0,2.0,spot_delta,10.0,False,False,2.169757127761841,5.011480331420898
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,5.375986576080322,2.6908771991729736,0.616499125957489,1.5699727535247803,0.9311937093734741,4.950582981109619,10.720396041870117,0.002976190476190476,-0.021169060841202736,5.415288925170898,0.01813330315053463,1.0297149419784546,4.0,1.4092578887939453,2.000000238418579,cvar,672.0,20.0,2.0,spot_delta,10.0,False,False,2.169757127761841,5.011480331420898
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,5.185909748077393,2.8057613372802734,0.15184199810028076,1.1496611833572388,0.5170796513557434,4.775307655334473,10.429784774780273,0.005934718100890208,-0.020197231322526932,5.223747253417969,0.017640240490436554,1.0012248754501343,4.0,1.3967727422714233,2.000000238418579,cvar,674.0,20.0,2.0,spot_delta,10.0,False,False,2.169757127761841,5.011480331420898
proto_source=spot_delta_k=25_weighted=1_learnw=0,train,1234,proto,5.323241710662842,2.684962749481201,0.3410140573978424,1.4497264623641968,0.7512010931968689,4.960145950317383,10.456670761108398,0.004778591908251036,-0.021356062963604927,5.361578941345215,0.016980348154902458,0.9197970628738403,4.0,1.278708577156067,2.000000238418579,cvar,3139.0,20.0,2.0,spot_delta,25.0,True,False,2.337627649307251,4.983941555023193
proto_source=spot_delta_k=25_weighted=1_learnw=0,val,1234,proto,5.403385162353516,2.6544182300567627,0.4979104995727539,1.5969655513763428,0.8937157988548279,5.1005859375,10.805412292480469,0.002976190476190476,-0.021169060841202736,5.4418206214904785,0.01726587302982807,0.9380444288253784,4.0,1.2730880975723267,2.000000238418579,cvar,672.0,20.0,2.0,spot_delta,25.0,True,False,2.337627649307251,4.983941555023193
proto_source=spot_delta_k=25_weighted=1_learnw=0,test,1234,proto,5.236278533935547,2.765897035598755,0.11875037848949432,1.2087323665618896,0.5032716393470764,4.90922737121582,10.445106506347656,0.00741839762611276,-0.020197231322526932,5.273172378540039,0.01669623889029026,0.9035233855247498,4.0,1.2768715620040894,2.000000238418579,cvar,674.0,20.0,2.0,spot_delta,25.0,True,False,2.337627649307251,4.983941555023193
proto_source=spot_delta_k=25_weighted=0_learnw=0,train,1234,proto,5.265969753265381,2.6926162242889404,0.4260895252227783,1.4928711652755737,0.8759443163871765,4.8198933601379395,10.535218238830566,0.0015928639694170119,-0.021356062963604927,5.305231094360352,0.01790536567568779,1.0144743919372559,4.0,1.3814823627471924,2.000000238418579,cvar,3139.0,20.0,2.0,spot_delta,25.0,False,False,2.418440580368042,5.113602161407471
proto_source=spot_delta_k=25_weighted=0_learnw=0,val,1234,proto,5.3283371925354,2.7164885997772217,0.46585747599601746,1.5856847763061523,0.9418807029724121,4.8385748863220215,10.818252563476562,0.001488095238095238,-0.021169060841202736,5.3676629066467285,0.01815633662045002,1.0324145555496216,4.0,1.3775991201400757,2.000000238418579,cvar,672.0,20.0,2.0,spot_delta,25.0,False,False,2.418440580368042,5.113602161407471
