model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.021356062963604927,0.026331203058362007,-0.10943114012479782,-0.06810391694307327,-0.0957644060254097,-0.014625072479248047,0.0,0.6540299458426251,-0.021356062963604927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02140849269926548,0.026544665917754173,-0.10929064452648163,-0.06714104115962982,-0.09540221095085144,-0.016433294862508774,0.008100633509457111,0.8276521185090793,-0.021356062963604927,0.0001681436551734805,0.0002205740165663883,0.027575235813856125,0.9999939799308777,0.4968874156475067,0.9999939799308777,0.0,0.0,0.0,0.0,,,,,,,,,,
unhedged,val,1234,baseline,-0.021169060841202736,0.024812884628772736,-0.09934453666210175,-0.06761643290519714,-0.09169420599937439,-0.01558375358581543,0.0,0.6577380952380952,-0.021169060841202736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,val,1234,baseline,-0.020328441634774208,0.025815950706601143,-0.10063070803880692,-0.06240685656666756,-0.09101282060146332,-0.01565423049032688,0.008985165506601334,0.7738095238095238,-0.021169060841202736,0.0010608661687001586,0.00022024793724995106,0.027526896446943283,0.9999939799308777,0.49690908193588257,0.9999939799308777,0.0,0.0,0.0,0.0,,,,,,,,,,
unhedged,test,1234,baseline,-0.020197231322526932,0.025263085961341858,-0.10215708613395691,-0.06749998033046722,-0.09205883741378784,-0.012348175048828125,0.0,0.6468842729970327,-0.020197231322526932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
spot_delta,test,1234,baseline,-0.019697794690728188,0.02442348562180996,-0.09119482338428497,-0.06411130726337433,-0.08459178358316422,-0.014772575348615646,0.007598652970045805,0.8086053412462908,-0.020197231322526932,0.0007198692765086889,0.00022043139324523509,0.027559904381632805,0.9999939799308777,0.49695608019828796,0.9999939799308777,0.0,0.0,0.0,0.0,,,,,,,,,,
vanilla,train,1234,vanilla,5.034149646759033,4.107787132263184,-0.8919306397438049,-0.029372455552220345,-0.6290652751922607,4.2635722160339355,13.230545043945312,0.05543166613571201,-0.021356062963604927,5.076211929321289,0.020706158131361008,1.3253023624420166,4.0,1.7761430740356445,2.000000476837158,0.8043246256769672,0.5340554316661357,0.2702691940108315,1.0,cvar,3139.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,5.132099628448486,4.0604753494262695,-0.47363603115081787,0.002998644020408392,-0.37095826864242554,4.405177116394043,13.001059532165527,0.050595238095238096,-0.021169060841202736,5.174187660217285,0.020918937399983406,1.3419538736343384,4.0,1.787883996963501,2.000000238418579,0.8121279761904762,0.5454241071428572,0.26670386904761906,1.0,cvar,672.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,4.8494086265563965,4.106295585632324,-0.7218526601791382,-0.06588082015514374,-0.6252660751342773,3.9956822395324707,13.44523811340332,0.06528189910979229,-0.020197231322526932,4.8899359703063965,0.02033054456114769,1.304312825202942,4.0,1.7783950567245483,2.000000238418579,0.8059347181008902,0.537833827893175,0.26810089020771516,1.0,cvar,674.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=1_learnw=0,train,1234,proto,4.27259635925293,4.003092288970947,-2.080146312713623,-0.6011942028999329,-1.501908302307129,3.4747636318206787,12.096960067749023,0.09270468302007008,-0.021356062963604927,4.310985088348389,0.01703282631933689,0.9242344498634338,4.0,1.7551695108413696,2.000000238418579,0.553368907295317,0.22572475310608475,0.32764415418923226,1.0,cvar,3139.0,20.0,2.0,spot_delta,10.0,True,False,3.2730870246887207,5.052207946777344
