model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,1,1.650981068611145,,0.09559173882007599,-0.11967650800943375,0.03412462908011869,1.0,0.3435300290584564,0.30467359050445103,0.10489614243323442,0.1997774480712166,1.0,734.0,-0.7922049809495607,0.2864583333333333,1.0,True,True,True,1.671178299933672,1.6706788633018732,0.01216435432434082,-0.027617670595645905,-0.03508472442626953,0.004234127700328827,0.612759643916914,0.7744807121661721,0.004451038575667657
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,1,1.6497273445129395,,0.0171879343688488,-0.10578101873397827,0.04154302670623145,1.0000001192092896,0.3199042081832886,0.7501112759643916,0.10879080118694362,0.641320474777448,1.0,794.0,-0.7070498359771001,0.7326636904761905,1.0,False,True,False,1.6699245758354664,1.6694251392036676,0.010910630226135254,-0.01372218132019043,-0.021189235150814056,0.018129616975784302,0.6053412462908012,0.7670623145400594,-0.0029673590504451022
vanilla,vanilla,,,,,cvar,1,1.6388167142868042,,0.06816936284303665,-0.12391063570976257,0.03857566765578635,1.0,0.481740802526474,0.691839762611276,0.21899109792284865,0.4728486646884273,1.0,755.0,-0.6959074378510316,0.6721354166666667,1.0,False,True,False,1.6590139456093311,1.6585145089775324,0.0,-0.03185179829597473,-0.03931885212659836,0.0,0.6083086053412463,0.7700296735905044,0.0
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,1,1.6373649835586548,,0.10142693668603897,-0.06094151362776756,0.03115727002967359,1.0000001192092896,0.4314075708389282,0.4211053412462908,0.09306379821958458,0.32804154302670624,1.0,655.0,-0.7393627254026277,0.41305803571428573,1.0,True,True,True,1.6575622148811817,1.657062778249383,-0.001451730728149414,0.03111732378602028,0.023650269955396652,0.06296912208199501,0.615727002967359,0.7774480712166172,0.007418397626112759
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,1,1.6245993375778198,,0.07261745631694794,-0.08691848814487457,0.02967359050445104,1.0000001192092896,0.3433611989021301,0.27288575667655784,0.0974406528189911,0.17544510385756676,1.0,525.0,-0.7900175830579939,0.24534970238095238,1.0,True,True,True,1.6447965689003468,1.644297132268548,-0.014217376708984375,0.005140349268913269,-0.0023267045617103577,0.036992147564888,0.6172106824925816,0.7789317507418397,0.00890207715133531
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,1,1.6231260299682617,,0.04823295399546623,-0.11483633518218994,0.04154302670623145,1.0,0.3177878260612488,0.7063798219584569,0.11313056379821959,0.5932492581602374,1.0,750.0,-0.6905671497256983,0.6803199404761905,1.0,False,True,False,1.6433232612907887,1.64282382465899,-0.01569068431854248,-0.0227774977684021,-0.030244551599025726,0.009074300527572632,0.6053412462908012,0.7670623145400594,-0.0029673590504451022
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,1.6212283372879028,,0.022974593564867973,-0.12459968030452728,0.04154302670623145,1.0,0.3863472044467926,0.475,0.11149851632047478,0.36350148367952523,1.0,710.0,-0.7392668960278943,0.4376860119047619,1.0,True,True,True,1.6414255686104298,1.640926131978631,-0.017588376998901367,-0.03254084289073944,-0.04000789672136307,-0.0006890445947647095,0.6053412462908012,0.7670623145400594,-0.0029673590504451022
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,1,1.6086091995239258,,0.07656621187925339,-0.10726406425237656,0.03560830860534125,1.0000001192092896,0.3273216485977173,0.5112017804154303,0.09606824925816024,0.41513353115727003,1.0,272.0,-0.6930886380303474,0.5269717261904762,1.0,False,True,False,1.6288064308464527,1.628306994214654,-0.030207514762878418,-0.015205226838588715,-0.02267228066921234,0.016646571457386017,0.6112759643916914,0.7729970326409495,0.0029673590504451022
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,1,1.6081392765045166,,0.04532727599143982,-0.14745716750621796,0.040059347181008904,1.0000001192092896,0.3741348087787628,0.6467359050445104,0.11505934718100891,0.5316765578635014,1.0,794.0,-0.7273798178845927,0.6474702380952381,1.0,False,True,False,1.6283365078270435,1.6278370711952448,-0.030677437782287598,-0.055398330092430115,-0.06286538392305374,-0.023546531796455383,0.6068249258160238,0.7685459940652819,-0.0014836795252225546
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,1,1.6019569635391235,,0.09490301460027695,-0.11150118708610535,0.032640949554896145,1.0000001192092896,0.40080487728118896,0.5244436201780416,0.10537833827893175,0.4190652818991098,1.0,680.0,-0.732337923582111,0.5036830357142857,1.0,False,True,False,1.6221541948616505,1.6216547582298517,-0.036859750747680664,-0.019442349672317505,-0.02690940350294113,0.012409448623657227,0.6142433234421365,0.7759643916913946,0.0059347181008902045
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,1,1.599062204360962,,0.06779105216264725,-0.1214689239859581,0.03412462908011869,1.0000001192092896,0.37382468581199646,0.4741097922848665,0.08100890207715133,0.39310089020771516,1.0,707.0,-0.7041482353565238,0.43467261904761906,1.0,True,True,True,1.6192594356834888,1.61875999905169,-0.039754509925842285,-0.029410086572170258,-0.036877140402793884,0.002441711723804474,0.612759643916914,0.7744807121661721,0.004451038575667657
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,1,1.5844659805297852,,-0.00154669932089746,-0.2846681773662567,0.050445103857566766,1.0000001192092896,0.4170592725276947,0.25077893175074184,0.08186201780415431,0.16891691394658753,1.0,533.0,-0.7648965479362578,0.3425967261904762,1.0,True,True,True,1.604663211852312,1.6041637752205133,-0.05435073375701904,-0.19260933995246887,-0.2000763937830925,-0.16075754165649414,0.5964391691394659,0.7581602373887241,-0.011869436201780416
