model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,risk_measure,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
unhedged,train,1234,baseline,-0.021356062963604927,0.026331203058362007,-0.10943114012479782,-0.06810391694307327,-0.0957644060254097,-0.014625072479248047,0.0,0.6540299458426251,-0.021356062963604927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
spot_delta,train,1234,baseline,-0.02140849269926548,0.026544665917754173,-0.10929064452648163,-0.06714104115962982,-0.09540221095085144,-0.016433294862508774,0.008100633509457111,0.8276521185090793,-0.021356062963604927,0.0001681436551734805,0.0002205740165663883,0.027575235813856125,0.9999939799308777,0.4968874156475067,0.9999939799308777,0.011245619624084104,0.011245619624084104,0.0,0.31634278432621854,,,,,,,,,,,,,,,,,
unhedged,val,1234,baseline,-0.021169060841202736,0.024812884628772736,-0.09934453666210175,-0.06761643290519714,-0.09169420599937439,-0.01558375358581543,0.0,0.6577380952380952,-0.021169060841202736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
spot_delta,val,1234,baseline,-0.020328441634774208,0.025815950706601143,-0.10063070803880692,-0.06240685656666756,-0.09101282060146332,-0.01565423049032688,0.008985165506601334,0.7738095238095238,-0.021169060841202736,0.0010608661687001586,0.00022024793724995106,0.027526896446943283,0.9999939799308777,0.49690908193588257,0.9999939799308777,0.012388392857142856,0.012388392857142856,0.0,0.3482142857142857,,,,,,,,,,,,,,,,,
unhedged,test,1234,baseline,-0.020197231322526932,0.025263085961341858,-0.10215708613395691,-0.06749998033046722,-0.09205883741378784,-0.012348175048828125,0.0,0.6468842729970327,-0.020197231322526932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
spot_delta,test,1234,baseline,-0.019697794690728188,0.02442348562180996,-0.09119482338428497,-0.06411130726337433,-0.08459178358316422,-0.014772575348615646,0.007598652970045805,0.8086053412462908,-0.020197231322526932,0.0007198692765086889,0.00022043139324523509,0.027559904381632805,0.9999939799308777,0.49695608019828796,0.9999939799308777,0.011572700296735905,0.011572700296735905,0.0,0.33086053412462907,,,,,,,,,,,,,,,,,
vanilla,train,1234,vanilla,1.6789482831954956,1.2380962371826172,-0.17608791589736938,0.11939812451601028,-0.05465742573142052,1.4343743324279785,4.225103855133057,0.0270786874800892,-0.021356062963604927,1.707747459411621,0.007442965172231197,0.4892353117465973,1.0,0.753812849521637,1.0,0.6865641924179675,0.21154826377827335,0.47501592863969416,1.0,cvar,755.0,-0.6959074378510316,val_loss,0.49868741631507874,0.7447872161865234,0.6721354166666667,1.0,3139.0,20.0,2.0,,,,,,
vanilla,val,1234,vanilla,1.7045538425445557,1.2061121463775635,-0.11830614507198334,0.15471060574054718,-0.02472461573779583,1.4823970794677734,4.096658706665039,0.020833333333333332,-0.021169060841202736,1.7332066297531128,0.00748349167406559,0.49500739574432373,1.0,0.7498194575309753,1.0,0.6809151785714286,0.2210565476190476,0.45985863095238094,1.0,cvar,755.0,-0.6959074378510316,val_loss,0.49868741631507874,0.7447872161865234,0.6721354166666667,1.0,672.0,20.0,2.0,,,,,,
vanilla,test,1234,vanilla,1.6388167142868042,1.2313199043273926,-0.2293272167444229,0.06816936284303665,-0.12391063570976257,1.4350876808166504,4.077538013458252,0.03857566765578635,-0.020197231322526932,1.6663463115692139,0.007332265377044678,0.481740802526474,1.0,0.7586578726768494,1.0,0.691839762611276,0.21899109792284865,0.4728486646884273,1.0,cvar,755.0,-0.6959074378510316,val_loss,0.49868741631507874,0.7447872161865234,0.6721354166666667,1.0,674.0,20.0,2.0,,,,,,
proto_source=spot_delta_k=10_weighted=1_learnw=0,train,1234,proto,1.6517002582550049,1.229215383529663,-0.20838101208209991,0.08041418343782425,-0.10742680728435516,1.402335286140442,4.1194305419921875,0.03504300732717426,-0.021356062963604927,1.6797034740447998,0.006647245492786169,0.40493106842041016,1.126819372177124,0.7457779049873352,1.0000001192092896,0.5220293086970372,0.10185568652437083,0.42017362217266646,1.0,cvar,680.0,-0.732337923582111,val_loss,0.41198232769966125,0.7324992418289185,0.5036830357142857,1.0,3139.0,20.0,2.0,spot_delta,10.0,True,False,1.106221318244934,1.4935933351516724
