artifact_dir,model_name,model_family,seed,risk_measure,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,best_epoch,best_score
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_100_weighted_0_learnw_0,proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,1234,cvar,spot_delta,100.0,False,False,794,-0.7070498359771001
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_100_weighted_1_learnw_0,proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,1234,cvar,spot_delta,100.0,True,False,734,-0.7922049809495607
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,1234,cvar,spot_delta,10.0,False,False,710,-0.7392668960278943
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_10_weighted_1_learnw_0,proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,1234,cvar,spot_delta,10.0,True,False,680,-0.732337923582111
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,1234,cvar,spot_delta,25.0,False,False,655,-0.7393627254026277
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_1_learnw_0,proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,1234,cvar,spot_delta,25.0,True,False,272,-0.6930886380303474
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_50_weighted_0_learnw_0,proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,1234,cvar,spot_delta,50.0,False,False,794,-0.7273798178845927
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_50_weighted_1_learnw_0,proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,1234,cvar,spot_delta,50.0,True,False,750,-0.6905671497256983
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_vanilla_k_100_weighted_0_learnw_0,proto_source=vanilla_k=100_weighted=0_learnw=0,proto,1234,cvar,vanilla,100.0,False,False,602,-0.7726308094745591
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_vanilla_k_100_weighted_1_learnw_0,proto_source=vanilla_k=100_weighted=1_learnw=0,proto,1234,cvar,vanilla,100.0,True,False,795,-0.795447375483456
