analysis_label,paper_label,representative_seed,prototype_index,usage_mean,top1_frequency,delta_0,delta_1,price_0,price_1,time_left,proto_action_0,proto_action_1
proto_mean,ProtoHedge (Mean frontier),3456,9,0.4698321223258972,0.4689169139465875,0.9969419836997986,0.0,0.8369742631912231,0.39129140973091125,0.11999999731779099,0.11295086145401001,0.9998766183853149
proto_mean,ProtoHedge (Mean frontier),3456,3,0.3775612413883209,0.38182492581602373,6.966470778024814e-08,0.0,1.0,0.40998271107673645,0.3999999761581421,-0.07785356044769287,-1.126819372177124
proto_mean,ProtoHedge (Mean frontier),3456,2,0.07059077173471451,0.07329376854599406,0.9979180097579956,0.0,1.0104374885559082,0.718599796295166,0.09999999403953552,0.020916283130645752,-1.1142966747283936
proto_mean,ProtoHedge (Mean frontier),3456,4,0.06359338760375977,0.060682492581602375,0.9982190132141113,0.0,0.9532638788223267,0.41291606426239014,0.11999999731779099,-0.3359699249267578,-1.1265604496002197
proto_mean,ProtoHedge (Mean frontier),3456,7,0.00877478439360857,0.006973293768545994,0.9988240003585815,0.0,1.0683375597000122,0.5671261548995972,0.11999999731779099,-0.7485647201538086,0.9921794533729553
proto_mean,ProtoHedge (Mean frontier),3456,1,0.008746574632823467,0.007492581602373888,0.9998549818992615,0.0,0.9994704127311707,0.6689028143882751,0.3199999928474426,-0.7018729448318481,-0.47887206077575684
proto_tail,ProtoHedge (Tail frontier),1234,23,0.43604153394699097,0.43694362017804156,1.1482296002895964e-08,0.0,1.0,0.7981149554252625,0.3999999761581421,-0.45301854610443115,-1.126819372177124
proto_tail,ProtoHedge (Tail frontier),1234,5,0.3766785264015198,0.38887240356083086,0.9977380037307739,0.0,0.9026412963867188,0.4553660750389099,0.11999999731779099,0.33065980672836304,0.9998766183853149
proto_tail,ProtoHedge (Tail frontier),1234,3,0.0714658573269844,0.07722551928783383,1.1482296002895964e-08,0.0,1.0,0.4995671808719635,0.3999999761581421,-0.718988299369812,-0.7843793630599976
proto_tail,ProtoHedge (Tail frontier),1234,19,0.03876892849802971,0.034718100890207715,1.1482296002895964e-08,0.0,1.0,0.20465339720249176,0.3999999761581421,-0.540671706199646,0.9976720809936523
proto_tail,ProtoHedge (Tail frontier),1234,20,0.03785117343068123,0.04406528189910979,0.9999809861183167,0.0,0.9513460397720337,0.23869433999061584,0.09999999403953552,0.02943408489227295,0.7621623873710632
proto_tail,ProtoHedge (Tail frontier),1234,22,0.020577391609549522,0.013056379821958458,0.9976450204849243,0.0,0.9624220728874207,0.5759994983673096,0.07999999821186066,0.223280668258667,-0.10246050357818604
