date,spot
1962-07-02,7.625
1962-07-03,7.875
1962-07-05,8.5
1962-07-09,8.375
1962-07-10,8.625
1962-07-11,8.625
1962-07-12,8.75
1962-07-13,8.75
1962-07-16,8.75
1962-07-17,8.75
1962-07-18,8.5
1962-07-19,8.25
1962-07-20,8.125
1962-07-23,8.25
1962-07-24,8.1875
1962-07-25,8.125
1962-07-26,8.0
1962-07-27,7.875
1962-07-30,8.0
1962-07-31,7.8125
1962-08-01,7.625
1962-08-02,7.75
1962-08-03,7.625
1962-08-06,7.75
1962-08-07,7.625
1962-08-08,7.6875
1962-08-09,8.125
1962-08-10,8.0
1962-08-13,8.0
1962-08-14,7.875
1962-08-15,7.875
1962-08-16,7.875
1962-08-17,7.75
1962-08-20,8.125
1962-08-21,8.25
1962-08-22,8.375
1962-08-23,8.625
1962-08-24,8.8125
1962-08-27,8.625
1962-08-28,8.5
1962-08-29,8.3125
1962-08-30,8.25
1962-08-31,8.5
1962-09-04,7.625
1962-09-05,7.625
1962-09-06,7.75
1962-09-07,7.625
1962-09-10,7.5
1962-09-11,7.25
1962-09-12,7.0
1962-09-13,7.5
1962-09-14,7.75
1962-09-17,8.0
1962-09-18,8.0
1962-09-19,8.125
1962-09-20,8.875
1962-09-21,8.5
1962-09-24,8.0
1962-09-25,8.25
1962-09-26,8.0
1962-09-27,8.0
1962-09-28,7.8125
1962-10-01,7.5
1962-10-02,7.6875
1962-10-03,7.5
1962-10-04,7.5
1962-10-05,7.5
1962-10-08,7.3125
1962-10-09,7.125
1962-10-10,7.25
1962-10-12,7.125
1962-10-15,7.0
1962-10-16,6.875
1962-10-17,6.875
1962-10-18,6.875
1962-10-19,6.8125
1962-10-22,6.5
1962-10-23,6.125
1962-10-24,5.375
1962-10-25,6.0
1962-10-26,6.125
1962-10-29,6.125
1962-10-30,6.5
1962-10-31,6.0
1962-11-01,6.0
1962-11-02,6.125
1962-11-05,6.25
1962-11-07,6.125
1962-11-08,6.25
1962-11-09,6.25
1962-11-12,6.375
1962-11-13,6.5
1962-11-14,6.625
1962-11-15,6.75
1962-11-16,6.75
1962-11-19,6.75
1962-11-20,6.5
1962-11-21,6.25
1962-11-23,6.25
