PERMNO,date,PRC
33910,1962-07-02,7.62500
33910,1962-07-03,7.87500
33910,1962-07-05,8.50000
33910,1962-07-06,
33910,1962-07-09,8.37500
33910,1962-07-10,8.62500
33910,1962-07-11,8.62500
33910,1962-07-12,8.75000
33910,1962-07-13,8.75000
33910,1962-07-16,8.75000
33910,1962-07-17,8.75000
33910,1962-07-18,8.50000
33910,1962-07-19,8.25000
33910,1962-07-20,8.12500
33910,1962-07-23,8.25000
33910,1962-07-24,-8.18750
33910,1962-07-25,-8.12500
33910,1962-07-26,8.00000
33910,1962-07-27,7.87500
33910,1962-07-30,8.00000
33910,1962-07-31,-7.81250
33910,1962-08-01,7.62500
33910,1962-08-02,7.75000
33910,1962-08-03,7.62500
33910,1962-08-06,-7.75000
33910,1962-08-07,7.62500
33910,1962-08-08,-7.68750
33910,1962-08-09,8.12500
33910,1962-08-10,8.00000
33910,1962-08-13,8.00000
33910,1962-08-14,7.87500
33910,1962-08-15,-7.87500
33910,1962-08-16,7.87500
33910,1962-08-17,7.75000
33910,1962-08-20,8.12500
33910,1962-08-21,8.25000
33910,1962-08-22,8.37500
33910,1962-08-23,8.62500
33910,1962-08-24,-8.81250
33910,1962-08-27,8.62500
33910,1962-08-28,8.50000
33910,1962-08-29,-8.31250
33910,1962-08-30,8.25000
33910,1962-08-31,8.50000
33910,1962-09-04,7.62500
33910,1962-09-05,7.62500
33910,1962-09-06,-7.75000
33910,1962-09-07,7.62500
33910,1962-09-10,7.50000
33910,1962-09-11,7.25000
33910,1962-09-12,7.00000
33910,1962-09-13,7.50000
33910,1962-09-14,7.75000
33910,1962-09-17,8.00000
33910,1962-09-18,8.00000
33910,1962-09-19,8.12500
33910,1962-09-20,8.87500
33910,1962-09-21,8.50000
33910,1962-09-24,8.00000
33910,1962-09-25,8.25000
33910,1962-09-26,8.00000
33910,1962-09-27,8.00000
33910,1962-09-28,-7.81250
33910,1962-10-01,7.50000
33910,1962-10-02,-7.68750
33910,1962-10-03,7.50000
33910,1962-10-04,7.50000
33910,1962-10-05,7.50000
33910,1962-10-08,-7.31250
33910,1962-10-09,7.12500
33910,1962-10-10,7.25000
33910,1962-10-11,
33910,1962-10-12,7.12500
33910,1962-10-15,7.00000
33910,1962-10-16,-6.87500
33910,1962-10-17,-6.87500
33910,1962-10-18,6.87500
33910,1962-10-19,-6.81250
33910,1962-10-22,6.50000
33910,1962-10-23,6.12500
33910,1962-10-24,5.37500
33910,1962-10-25,6.00000
33910,1962-10-26,6.12500
33910,1962-10-29,6.12500
33910,1962-10-30,6.50000
33910,1962-10-31,6.00000
33910,1962-11-01,-6.00000
33910,1962-11-02,-6.12500
33910,1962-11-05,6.25000
33910,1962-11-07,6.12500
33910,1962-11-08,6.25000
33910,1962-11-09,6.25000
33910,1962-11-12,6.37500
33910,1962-11-13,6.50000
33910,1962-11-14,6.62500
33910,1962-11-15,6.75000
33910,1962-11-16,6.75000
33910,1962-11-19,6.75000
33910,1962-11-20,6.50000
33910,1962-11-21,6.25000
33910,1962-11-23,6.25000
33910,1962-11-26,6.25000
33910,1962-11-27,6.00000
33910,1962-11-28,6.00000
33910,1962-11-29,6.25000
33910,1962-11-30,6.37500
33910,1962-12-03,6.37500
33910,1962-12-04,6.50000
33910,1962-12-05,6.50000
33910,1962-12-06,
33910,1962-12-07,6.62500
33910,1962-12-10,6.37500
33910,1962-12-11,6.62500
33910,1962-12-12,6.37500
33910,1962-12-13,6.25000
33910,1962-12-14,6.37500
33910,1962-12-17,6.12500
33910,1962-12-18,6.00000
33910,1962-12-19,6.00000
33910,1962-12-20,6.12500
33910,1962-12-21,6.12500
33910,1962-12-24,6.00000
33910,1962-12-26,6.12500
33910,1962-12-27,5.62500
33910,1962-12-28,5.62500
33910,1962-12-31,5.75000
33910,1963-01-02,-5.68750
33910,1963-01-03,6.12500
33910,1963-01-04,5.87500
33910,1963-01-07,6.25000
33910,1963-01-08,6.25000
33910,1963-01-09,6.12500
33910,1963-01-10,6.25000
33910,1963-01-11,6.25000
33910,1963-01-14,6.50000
33910,1963-01-15,6.50000
33910,1963-01-16,6.50000
