ticker,n_episodes,n_train_episodes,n_val_episodes,n_test_episodes,train_episode_start_date,train_episode_end_date,val_episode_start_date,val_episode_end_date,test_episode_start_date,test_episode_end_date
AAPL,3478,2081,686,711,2005-01-10,2018-12-31,2019-01-31,2021-12-31,2022-02-01,2024-12-31
IWM,3761,2352,696,713,2005-01-10,2018-12-31,2019-01-31,2021-12-31,2022-02-01,2024-12-31
NVDA,3085,1775,666,644,2005-01-10,2018-12-31,2019-01-31,2021-12-31,2022-02-01,2024-12-31
QQQ,3755,2350,713,692,2005-01-10,2018-12-31,2019-01-31,2021-12-31,2022-02-01,2024-12-31
SPY,3819,2390,716,713,2005-01-11,2018-12-31,2019-01-31,2021-12-31,2022-02-01,2024-12-31
TLT,3444,2026,706,712,2005-01-11,2018-12-27,2019-01-31,2021-12-31,2022-02-01,2024-12-31
XLE,3564,2214,640,710,2005-01-10,2018-12-27,2019-01-31,2021-12-31,2022-02-01,2024-12-30
XLF,3326,1939,682,705,2005-01-10,2018-12-27,2019-01-31,2021-12-31,2022-02-01,2024-12-31
XLK,3037,1643,697,697,2005-02-07,2018-12-31,2019-01-31,2021-12-31,2022-02-01,2024-12-31
XLV,3126,1767,679,680,2005-01-10,2018-12-13,2019-01-31,2021-12-31,2022-02-01,2024-12-26
