paper_label,n_tickers,liability_offset_mean_avg,liability_offset_cvar05_avg,liability_offset_rmse_avg,liability_offset_downside_deviation_avg,pct_at_any_position_bound_avg,liability_type,liability_label
Unhedged,10,-0.03169580600146203,-0.13772527546553157,0.05108198117299921,0.05108198117299921,0.0,european_call,European
Spot-Delta,10,-0.03028109336926968,-0.07054165779694141,0.03348116119992795,0.03348116119992795,1.4424950862898091e-05,european_call,European
Spot-Delta Band,10,-0.02987514108453817,-0.07304575785336645,0.03366148428742452,0.03366148428742452,0.0,european_call,European
Deep Hedging,10,-0.02387215793002464,-0.1132757242162756,0.04164609199721954,0.04113174487530864,0.3904635336586369,european_call,European
ProtoHedge (Validation-Mean),10,-0.02143226070972753,-0.09418921160126918,0.03505972374745384,0.03398740451238141,0.05343987136389111,european_call,European
ProtoHedge (Validation-Tail),10,-0.024792763648025788,-0.08411239968952135,0.03385293868393593,0.03336885567047288,0.04190237563163782,european_call,European
Unhedged,10,-0.01854417804756859,-0.08254616452208516,0.030284087163591912,0.030284087163591912,0.0,asian_call,Asian
Spot-Delta,10,-0.01712946541922973,-0.06529804633465172,0.029230017399791093,0.02753009742560445,1.4424950862898091e-05,asian_call,Asian
Spot-Delta Band,10,-0.016723513131931468,-0.06671822576504141,0.02873016765118715,0.027211301530529808,0.0,asian_call,Asian
Deep Hedging,10,-0.01620998358946066,-0.08226951306068714,0.030992854218565402,0.03004258063822776,0.3933940898691931,asian_call,Asian
ProtoHedge (Validation-Mean),10,-0.01248280400559237,-0.08545628753474958,0.02943061371050807,0.027766752059751522,0.02300712407654932,asian_call,Asian
ProtoHedge (Validation-Tail),10,-0.01433447952676076,-0.07750434463290803,0.026745260593942548,0.026034530779090383,0.016235551105419802,asian_call,Asian
