liability,selection,candidate_model,benchmark_model,bootstrap_method,block_length,aggregation,original_utility,inference_version,level,ticker,n_tickers,metric,estimate,ci_low,ci_high,bootstrap_probability_gt_zero,n_bootstrap,confidence
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,AAPL,1,frozen_oce_cvar50_utility_difference,0.006107877268300047,0.0015348146383413078,0.0110563523854465,0.998,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,IWM,1,frozen_oce_cvar50_utility_difference,0.004657137767721339,-0.003270477918082805,0.012426021688728462,0.8895,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,NVDA,1,frozen_oce_cvar50_utility_difference,0.014533085841107072,0.006854843207246695,0.022198553751598182,0.9995,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,QQQ,1,frozen_oce_cvar50_utility_difference,0.003306824470768586,-0.0018063780608078787,0.008272749595326817,0.8905,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,SPY,1,frozen_oce_cvar50_utility_difference,-0.00048337135249082723,-0.004805493045760672,0.004714866019982422,0.4045,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,TLT,1,frozen_oce_cvar50_utility_difference,0.01015142668326375,0.006792631264765528,0.013556650492552013,1.0,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,XLE,1,frozen_oce_cvar50_utility_difference,-0.0011426703249073718,-0.010993700727269472,0.007876945873695099,0.4205,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,XLF,1,frozen_oce_cvar50_utility_difference,0.0034641704261858877,0.00034323781195380707,0.006759620471505893,0.986,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,XLK,1,frozen_oce_cvar50_utility_difference,-0.0028020745855482187,-0.012484534542972759,0.007139538019932959,0.279,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,XLV,1,frozen_oce_cvar50_utility_difference,0.003715439775431364,-0.0006827679182421051,0.008233795644947688,0.953,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,panel,ALL_EQUAL_WEIGHT,10,frozen_oce_cvar50_utility_difference,0.004150784596983164,0.0019926377831826765,0.006139444512569519,1.0,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,AAPL,1,frozen_oce_cvar50_utility_difference,0.0011996568109232375,-0.0029503777865121776,0.005747496855085097,0.715,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,IWM,1,frozen_oce_cvar50_utility_difference,0.007285400418074417,0.0014266228897689952,0.012585234018134658,0.9925,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Deep Hedging,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,oce-cvar50-lambda1,paired-circular-block-seed-average-v2,ticker,NVDA,1,frozen_oce_cvar50_utility_difference,0.014533085841107072,0.006516832677672417,0.02217559015523152,1.0,2000,0.95
