liability,selection,candidate_model,benchmark_model,bootstrap_method,block_length,aggregation,tail_probability,inference_version,level,ticker,n_tickers,metric,estimate,ci_low,ci_high,bootstrap_probability_gt_zero,n_bootstrap,confidence
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,AAPL,1,liability_offset_mean_difference,0.0026183146132647225,-0.004887204385549755,0.009462620349421082,0.741,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,AAPL,1,liability_offset_cvar50_difference,0.009162042582972667,0.0011139300649014253,0.015988685764031504,0.9895,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,AAPL,1,liability_offset_rmse_improvement,0.007085090757067436,0.00232953322473746,0.01169954064233474,0.9975,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,AAPL,1,liability_offset_downside_deviation_improvement,0.005863310344202282,0.00020496252970825485,0.010901167970643886,0.977,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,IWM,1,liability_offset_mean_difference,0.004510173712316191,-0.0012304061692837162,0.01056283222540194,0.9355,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,IWM,1,liability_offset_cvar50_difference,0.005034550682691134,-0.0010216855292902274,0.01116313859939701,0.9405,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,IWM,1,liability_offset_rmse_improvement,0.0035345561261342826,-0.0009271294334646013,0.008076691421397443,0.935,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,IWM,1,liability_offset_downside_deviation_improvement,0.003381576805539683,-0.0014908414955195023,0.00848474815078554,0.9085,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,NVDA,1,liability_offset_mean_difference,-0.0056843000363091395,-0.022156895465149,0.00985138550744104,0.2635,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,NVDA,1,liability_offset_cvar50_difference,0.005534100070534033,-0.010268313102957033,0.020112632295058785,0.7675,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,NVDA,1,liability_offset_rmse_improvement,0.0015157671404075017,-0.009520495328514414,0.01349235632104286,0.6375,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,NVDA,1,liability_offset_downside_deviation_improvement,-0.006006697402489161,-0.019126136791523255,0.007537702385443313,0.2185,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,QQQ,1,liability_offset_mean_difference,0.002282863260979288,-0.0026569046356931785,0.00721051331964432,0.822,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,QQQ,1,liability_offset_cvar50_difference,0.004772628767878852,-0.0001923497475050138,0.00918527940135653,0.969,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,QQQ,1,liability_offset_rmse_improvement,0.0013769990410722594,-0.0016476571091256472,0.004502360937150875,0.8355,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,QQQ,1,liability_offset_downside_deviation_improvement,0.0010561182356974078,-0.002627479436147367,0.004812339703208365,0.733,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,SPY,1,liability_offset_mean_difference,-0.0009223315150063584,-0.005991892326061493,0.004374270881731826,0.358,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,SPY,1,liability_offset_cvar50_difference,0.001986671363487909,-0.0036940291665944146,0.007485800090648078,0.7435,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,SPY,1,liability_offset_rmse_improvement,0.0008122305322135886,-0.002733085727490614,0.004410718252416992,0.663,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,SPY,1,liability_offset_downside_deviation_improvement,0.0007039817874569249,-0.0033365333950517557,0.004808175057427564,0.619,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,TLT,1,liability_offset_mean_difference,0.013688816806228549,0.007869904627983648,0.01889564155957664,1.0,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,TLT,1,liability_offset_cvar50_difference,0.01199049608676637,0.0049436057551669535,0.018018563258274525,0.998,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,TLT,1,liability_offset_rmse_improvement,0.0027860239937476257,-0.0022784936239662952,0.007916827861670054,0.8675,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,TLT,1,liability_offset_downside_deviation_improvement,0.004043406557843261,-0.0015128026963276524,0.009796450942112669,0.926,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLE,1,liability_offset_mean_difference,-0.0002158766301423136,-0.008329606812365909,0.00716050180799408,0.49,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLE,1,liability_offset_cvar50_difference,0.0006669590525119248,-0.01041683827263104,0.010374330045545803,0.5605,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLE,1,liability_offset_rmse_improvement,-0.0026111718135523898,-0.012543092209032346,0.006542704705459231,0.336,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLE,1,liability_offset_downside_deviation_improvement,-0.003963619066775739,-0.014652905264011855,0.0056676318710041605,0.26,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLF,1,liability_offset_mean_difference,0.006283557405733849,0.0027665405109274705,0.009879780906515668,0.9995,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLF,1,liability_offset_cvar50_difference,0.007526483837905586,0.003082006809759588,0.012137321415614372,0.9995,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLF,1,liability_offset_rmse_improvement,0.003784182980600502,0.00010230300568949769,0.007638375465342311,0.9795,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLF,1,liability_offset_downside_deviation_improvement,0.0045371823238707296,0.0005908574611397179,0.008591045033514882,0.989,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLK,1,liability_offset_mean_difference,0.00268884193746194,-0.006001224573705754,0.011878571004785529,0.7155,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLK,1,liability_offset_cvar50_difference,0.007285480157124391,-0.0048334504452834035,0.01971886805565917,0.89,2000,0.95
asian_call,best_screened_proto_cvar05,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLK,1,liability_offset_rmse_improvement,0.004411191679605447,-0.0029494489390534963,0.012340435324686498,0.889,2000,0.95
