liability_type,ticker,prototype_index,nearest_rank,distance_scaled,test_path_index,episode_index,step_index,start_date,end_date,optionid,option_exdate,option_strike,asian_moneyness,delta_0,delta_1,price_0,price_1,time_left
asian_call,QQQ,20,1,5.263795375823975,78,3141,14,2022-05-24,2022-06-23,147033598,2022-06-24,287.0,1.0441343784332275,-0.017818167805671692,0.008831337094306946,0.9605556726455688,0.010235344059765339,0.0238095261156559
asian_call,QQQ,20,2,5.535590648651123,199,3262,16,2022-11-15,2022-12-14,150771349,2022-12-23,289.0,0.9881258606910706,-0.038572221994400024,-0.03810267150402069,0.9808562397956848,0.015014339238405228,0.01587301678955555
asian_call,QQQ,20,3,5.550627708435059,182,3245,13,2022-10-21,2022-11-18,150271046,2022-11-23,275.0,0.9884316325187683,0.019610337913036346,-0.04838912934064865,0.9560670852661133,0.009403819218277931,0.0277777798473835
asian_call,QQQ,27,1,6.270594596862793,80,3143,11,2022-05-26,2022-06-27,147033662,2022-07-01,299.0,1.012060284614563,-0.1251232922077179,-0.1540149748325348,0.9200882315635681,0.0059800222516059875,0.0357142873108387
asian_call,QQQ,27,2,6.303463459014893,58,3121,9,2022-04-26,2022-05-24,146422442,2022-05-27,318.0,0.9965174198150635,-0.056358858942985535,-0.14701402187347412,0.9369678497314453,0.008781610056757927,0.0436507947742939
asian_call,QQQ,27,3,6.339578151702881,59,3122,8,2022-04-27,2022-05-25,146422441,2022-05-27,316.0,0.9974270462989807,-0.05873619019985199,-0.1512262225151062,0.9380918741226196,0.010402197018265724,0.0476190522313118
asian_call,QQQ,36,1,5.338221549987793,78,3141,14,2022-05-24,2022-06-23,147033598,2022-06-24,287.0,1.0441343784332275,-0.017818167805671692,0.008831337094306946,0.9605556726455688,0.010235344059765339,0.0238095261156559
asian_call,QQQ,36,2,5.542568206787109,199,3262,16,2022-11-15,2022-12-14,150771349,2022-12-23,289.0,0.9881258606910706,-0.038572221994400024,-0.03810267150402069,0.9808562397956848,0.015014339238405228,0.01587301678955555
asian_call,QQQ,36,3,5.648447036743164,182,3245,13,2022-10-21,2022-11-18,150271046,2022-11-23,275.0,0.9884316325187683,0.019610337913036346,-0.04838912934064865,0.9560670852661133,0.009403819218277931,0.0277777798473835
asian_call,QQQ,39,1,5.843093395233154,69,3132,5,2022-05-11,2022-06-09,146874937,2022-06-17,292.0,1.0203125476837158,0.013192400336265564,-0.1374838650226593,0.9976015090942383,0.04058730974793434,0.0595238134264946
asian_call,QQQ,39,2,5.856185436248779,96,3159,6,2022-06-21,2022-07-20,147645595,2022-07-29,281.0,1.0198283195495605,-0.010274335741996765,-0.14069215953350067,1.0096769332885742,0.045254021883010864,0.055555559694767
asian_call,QQQ,39,3,5.862828254699707,96,3159,5,2022-06-21,2022-07-20,147645595,2022-07-29,281.0,1.0218585729599,0.014594167470932007,-0.13751213252544403,1.0087519884109497,0.044809311628341675,0.0595238134264946
