level,liability,selection,ticker,candidate_model,benchmark_model,metric,estimate,ci_low,ci_high,bootstrap_probability_gt_zero,n_replaced_seed_fits,n_seeds,n_observations,block_length,n_bootstrap,confidence
ticker,asian_call,best_screened_proto_mean,AAPL,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0011996568109232,-0.0027571407248976,0.0056415468035746,0.6845,0,3,711.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,AAPL,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0061078772683,0.0016482218583497,0.0109878880627068,0.9965,0,3,711.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,IWM,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0072854004180744,0.0011151511856503,0.0128915468117503,0.988,0,3,713.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,IWM,proto_source=vanilla_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0046571377677213,-0.0030484539239781,0.0125612687815656,0.878,0,3,713.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,NVDA,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.014533085841107,0.0062239236842596,0.0219758531308273,0.9995,0,3,644.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,NVDA,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.014533085841107,0.0067081066340824,0.0219948573815831,1.0,0,3,644.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,QQQ,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0033068244707685,-0.0019289097405934,0.0082386212304589,0.883,0,3,692.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,QQQ,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0033068244707685,-0.0021578736394927,0.0083006988915025,0.89,0,3,692.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,SPY,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0013953478861136,-0.0032276505693425,0.0066859832345506,0.696,0,3,713.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,SPY,proto_source=vanilla_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0004833713524908,-0.0051818218667477,0.0049964955525609,0.422,0,3,713.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,TLT,proto_source=vanilla_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0086425962044847,-0.0131750945761237,-0.0038867690069078,0.0,1,3,712.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,TLT,proto_source=spot_delta_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0087956784891264,0.0053383983007509,0.0126999705368692,1.0,1,3,712.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,XLE,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0025023051285613,-0.014075271055081,0.0076250947628988,0.3385,0,3,710.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,XLE,proto_source=spot_delta_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0011426703249073,-0.0104004486814084,0.008182649499195,0.418,0,3,710.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,XLF,proto_source=vanilla_k=100_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0034641704261858,0.000179357027919,0.0065211811137032,0.98,0,3,705.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,XLF,proto_source=vanilla_k=100_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0034641704261858,0.0002912367871427,0.0068163913648514,0.987,0,3,705.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,XLK,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0026044719694878,-0.0123345971513203,0.0070157503034484,0.2975,0,3,697.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,XLK,proto_source=spot_delta_k=100_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0028020745855482,-0.0122432701722717,0.0067024169658073,0.2825,0,3,697.0,20,2000,0.95
ticker,asian_call,best_screened_proto_mean,XLV,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0011580665559592,-0.0039050374322694,0.0059704423599717,0.6905,0,3,680.0,20,2000,0.95
ticker,asian_call,best_screened_proto_cvar05,XLV,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0037154397754313,-0.0009392495390014,0.0083256388153834,0.945,0,3,680.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,AAPL,proto_source=spot_delta_k=100_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0007904700101368,-0.0128809946362017,0.0151888491579465,0.539,1,3,711.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,AAPL,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0045584476896964,-0.0092263249967754,0.020405841374506,0.727,1,3,711.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,IWM,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0096441581294501,0.003276332327715,0.0165589417264739,0.999,1,3,713.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,IWM,proto_source=spot_delta_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0019210560322191,-0.0059499761756499,0.0104203171342308,0.666,1,3,713.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,NVDA,proto_source=spot_delta_k=50_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0148106508253925,-0.040734719814912,0.0166618220756957,0.167,0,3,644.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,NVDA,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0124133809095568,-0.034368576997516,0.0138912233941359,0.1545,0,3,644.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,QQQ,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0011078279697538,-0.0096021976496222,0.0086243949872694,0.3785,1,3,692.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,QQQ,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0005980480176265,-0.015979824902547,0.0166362482816255,0.44,1,3,692.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,SPY,proto_source=spot_delta_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0008932723938634,-0.0083123192723156,0.0109228958708911,0.554,1,3,713.0,20,2000,0.95
