model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.01013973510513703,0.0008363404411612794,-0.03327399569874009,-0.04926609372099241,0.8450704225352114,0.8499835332234701,0.034440686305363975,0.0011737089201877935,0.0011737089201877935,0.0,0.009389671361502348,395.0,0.042424844634695764,0.0004323899371069182,0.003930817610062893,,True,True,True,0.0002515924473603572,0.0002551286791761722,0.0002465005964040756,0.00018879740188519276,0.005619627734025315,0.0019173634548981938,0.0019395525256792681,0.002938897659381226,-0.2762128325508608,-0.0477308294209704,-0.04694835680751186,0.09937402190923295
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.010175014846026897,0.0006279989340530459,-0.033703799514720835,-0.049826023479302727,0.9006259780907668,0.911963939666748,0.021831944895287354,0.0003325508607198748,0.00011737089201877933,0.00021517996870109546,0.001564945226917058,237.33333333333334,0.04239136639505086,7.861635220125786e-05,0.0007861635220125786,,True,True,True,0.0002163127064704895,0.00021984893828630447,0.0002112208555142079,0.00015351766099532503,0.005059697975714997,0.0013574336965878758,0.0013796227673689501,0.002378967901070908,-0.3317683881064163,-0.10328638497652587,-0.10250391236306733,0.04381846635367748
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.010320569388568401,0.0008012122787444029,-0.03405544348061085,-0.05221489816904068,0.9295774647887324,0.9041606585184733,0.014851782160500685,0.00031298904538341156,0.0,0.00031298904538341156,0.000782472613458529,131.0,0.042754761813261176,0.0005896226415094339,0.0023584905660377358,,True,True,True,7.07581639289856e-05,7.429439574480057e-05,6.566631297270399e-05,7.963118453821125e-06,0.0026708232859770434,-0.0010314409931500776,-0.0010092519223690033,-9.906788667045363e-06,-0.36071987480438183,-0.13223787167449141,-0.13145539906103287,0.014866979655711932
vanilla,vanilla,,,,,cvar,3,-0.010328532507022222,0.0008239944846684559,-0.03420921523744861,-0.052204991380373635,0.9444444444444443,0.687472383181254,0.01736680045723915,0.0,0.0,0.0,0.0,82.0,0.04319056350116929,0.0,0.0,,True,True,True,6.279504547516447e-05,6.633127729097944e-05,5.7703194518882867e-05,0.0,0.0026807300746440887,-0.0010215342044830322,-0.000999345133701958,0.0,-0.37558685446009377,-0.14710485133020335,-0.1463223787167448,0.0
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.010335065424442291,0.0009478835284062446,-0.034046074685951076,-0.05221295232574145,0.9107981220657276,0.7545043627421061,0.01430144595603148,0.0062793427230046946,0.0060446009389671365,0.0002347417840375587,0.07589984350547731,160.33333333333334,0.042900476384287074,0.0,0.0,,True,True,True,5.626212805509567e-05,5.9798359870910645e-05,5.117027709881407e-05,-6.532917420068798e-06,0.0026727691292762756,-0.0010294951498508453,-0.001007306079069771,-7.96094536781311e-06,-0.3419405320813771,-0.11345852895148667,-0.11267605633802813,0.033646322378716675
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.010349593125283718,0.000747429883499593,-0.03471083131929239,-0.05295477186640104,0.9507042253521126,0.6355605920155843,0.009726839450498423,3.9123630672926444e-05,0.0,3.9123630672926444e-05,0.000782472613458529,4.333333333333333,0.042827283991500736,0.0,0.0,,True,True,True,4.173442721366882e-05,4.5270659029483795e-05,3.664257625738722e-05,-2.1060618261495648e-05,0.0019309495886166844,-0.0017713146905104366,-0.0017491256197293623,-0.0007497804860274043,-0.3818466353677621,-0.15336463223787167,-0.15258215962441313,-0.006259780907668322
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.010357640373210112,0.0008040175976171525,-0.03415658604353666,-0.05286640922228495,0.9561815336463223,0.6355149547259012,0.01451382568726937,9.780907668231612e-05,9.780907668231612e-05,0.0,0.000782472613458529,150.66666666666666,0.042823627597166215,0.00011792452830188678,0.0007861635220125786,,True,True,True,3.368717928727526e-05,3.722341110309023e-05,2.8595328330993652e-05,-2.9107866187889214e-05,0.002019312232732773,-0.0016829520463943481,-0.0016607629756132739,-0.0006614178419113159,-0.38732394366197176,-0.15884194053208134,-0.1580594679186228,-0.011737089201877993
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.010375804267823696,0.0009271378567534907,-0.03406945833315452,-0.052476510405540466,0.9092331768388107,0.632030169169108,0.011149668910851082,0.00021517996870109546,0.0,0.00021517996870109546,0.000782472613458529,182.33333333333334,0.04265502085587092,7.861635220125786e-05,0.001572327044025157,,True,True,True,1.5523284673690796e-05,1.9059516489505768e-05,1.0431433717409191e-05,-4.7271760801473675e-05,0.002409211049477257,-0.001293053229649864,-0.0012708641588687897,-0.00027151902516683174,-0.3403755868544601,-0.1118935837245697,-0.11111111111111116,0.035211267605633645
spot_delta_band,baseline,,,,,,3,-0.010386235701541105,0.0010499810787182636,-0.03290813664595286,-0.05120564624667168,0.7981220657276995,0.5876089731852213,0.01728079468011856,0.0,0.0,0.0,0.0,,,,,0.02,True,True,True,5.0918509562816044e-06,8.628082772096576e-06,0.0,-5.7703194518882867e-05,0.0036800752083460467,-2.2189070781074294e-05,0.0,0.000999345133701958,-0.22926447574334896,-0.0007824726134585402,0.0,0.1463223787167448
unhedged,baseline,,,,,,3,-0.010391327552497387,0.0008373539293764811,-0.03586337963740031,-0.05488572145501772,0.5688575899843505,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,3.536231815814972e-06,-5.0918509562816044e-06,-6.279504547516447e-05,0.0,-0.003702264279127121,-0.0036800752083460467,-0.0026807300746440887,0.0,0.22848200312989042,0.22926447574334896,0.37558685446009377
spot_delta,baseline,,,,,,3,-0.010394863784313202,0.0010225146521987444,-0.03311135961363713,-0.0511834571758906,0.797339593114241,0.60760897397995,0.02214949515958627,0.0,0.0,0.0,0.0,,,,,,True,True,True,-3.536231815814972e-06,0.0,-8.628082772096576e-06,-6.633127729097944e-05,0.003702264279127121,0.0,2.2189070781074294e-05,0.0010215342044830322,-0.22848200312989042,0.0,0.0007824726134585402,0.14710485133020335
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.010448101907968521,0.000834341391346109,-0.034956056314210095,-0.05403216307361921,0.9593114241001565,0.7489361564318339,0.008586922970910868,0.001036776212832551,0.0,0.001036776212832551,0.002347417840375587,4.0,0.042902782440988003,0.00029481132075471697,0.0007861635220125786,,True,True,True,-5.6774355471134186e-05,-5.3238123655319214e-05,-6.186620642741579e-05,-0.00011956940094629866,0.0008535583813985143,-0.0028487058977286067,-0.0028265168269475324,-0.0018271716932455745,-0.3904538341158059,-0.1619718309859155,-0.16118935837245696,-0.014866979655712154
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.01046565423409144,0.0008134018008665128,-0.035508040649195514,-0.05373304088910421,0.8998435054773083,0.3967068096001943,0.010017919509361187,0.0,0.0,0.0,0.0,50.666666666666664,0.04316485020564869,0.0,0.0,,True,True,True,-7.432668159405333e-05,-7.079044977823835e-05,-7.941853255033493e-05,-0.0001371217270692178,0.0011526805659135136,-0.0025495837132136073,-0.002527394642432533,-0.001528049508730575,-0.33098591549295775,-0.10250391236306733,-0.10172143974960879,0.04460093896713602
