k,prototype_index,usage_mean,cum_usage_mean
1,10,0.19870877265930176,0.19870877265930176
2,34,0.0775279849767685,0.27623675763607025
3,32,0.07533981651067734,0.3515765741467476
4,8,0.06647220999002457,0.41804878413677216
5,16,0.0622008852660656,0.48024966940283775
6,6,0.060543738305568695,0.5407934077084064
7,0,0.05045158043503761,0.5912449881434441
8,41,0.05022920295596123,0.6414741910994053
9,38,0.03578576818108559,0.6772599592804909
10,23,0.03547833859920502,0.7127382978796959
11,19,0.035373080521821976,0.7481113784015179
12,44,0.02866004779934883,0.7767714262008667
13,18,0.02654326893389225,0.803314695134759
14,40,0.02340894751250744,0.8267236426472664
15,48,0.02107708342373371,0.8478007260710001
16,49,0.02053707093000412,0.8683377970010042
17,3,0.019506799057126045,0.8878445960581303
18,43,0.01691366173326969,0.9047582577914
19,24,0.01631467416882515,0.9210729319602251
20,2,0.01548167783766985,0.936554609797895
21,35,0.0131307952105999,0.9496854050084949
22,17,0.01280346978455782,0.9624888747930527
23,12,0.012488149106502533,0.9749770238995552
24,37,0.005194531753659248,0.9801715556532145
25,9,0.004401357378810644,0.9845729130320251
26,4,0.004260348156094551,0.9888332611881196
27,21,0.0034459573216736317,0.9922792185097933
28,31,0.0022096692118793726,0.9944888877216727
29,5,0.00206945207901299,0.9965583398006856
30,26,0.0006808500620536506,0.9972391898627393
31,1,0.0006799732800573111,0.9979191631427966
32,20,0.0006342736887745559,0.9985534368315712
33,27,0.000488633755594492,0.9990420705871657
34,47,0.0004640297847799957,0.9995061003719456
35,33,0.00016910568228922784,0.9996752060542349
36,36,7.777075370540842e-05,0.9997529768079403
37,13,5.7566190662328154e-05,0.9998105429986026
38,14,4.9924248742172495e-05,0.9998604672473448
39,46,3.777230085688643e-05,0.9998982395482017
40,39,3.056582499993965e-05,0.9999288053732016
41,25,2.4208002287195995e-05,0.9999530133754888
42,22,1.6217076336033642e-05,0.9999692304518248
43,7,1.1961838026763871e-05,0.9999811922898516
44,15,6.636114903812995e-06,0.9999878284047554
45,45,2.9078012175887125e-06,0.999990736205973
46,42,2.50812422564195e-06,0.9999932443301986
47,30,1.771518100213143e-06,0.9999950158482989
48,11,5.846760586791788e-07,0.9999956005243575
49,28,9.769044240215408e-09,0.9999956102934018
50,29,2.432159335041817e-11,0.9999956103177233
