prototype_index,nearest_rank,distance_scaled,path_index,step_index,delta_0,delta_1,price_0,price_1,time_left
2,1,4.850440502166748,255,0,0.0,0.0,1.0,0.02735675871372223,0.0793650820851326
2,2,4.850447654724121,217,0,0.0,0.0,1.0,0.02728986367583275,0.0793650820851326
2,3,4.850466728210449,88,0,0.0,0.0,1.0,0.02723073959350586,0.0793650820851326
3,1,2.7802574634552,194,0,0.0,0.0,1.0,0.017348287627100945,0.0793650820851326
3,2,2.7802586555480957,279,0,0.0,0.0,1.0,0.017336295917630196,0.0793650820851326
3,3,2.780266046524048,315,0,0.0,0.0,1.0,0.017412347719073296,0.0793650820851326
7,1,4.555428504943848,36,0,0.0,0.0,1.0,0.018342720344662666,0.0793650820851326
7,2,4.555428504943848,291,0,0.0,0.0,1.0,0.018305644392967224,0.0793650820851326
7,3,4.555436611175537,189,0,0.0,0.0,1.0,0.01825503446161747,0.0793650820851326
9,1,4.496387004852295,167,0,0.0,0.0,1.0,0.013027018867433071,0.0793650820851326
9,2,4.496389389038086,81,0,0.0,0.0,1.0,0.013047883287072182,0.0793650820851326
9,3,4.49639368057251,182,0,0.0,0.0,1.0,0.013070697896182537,0.0793650820851326
